区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
虹口区,上海市格致中学,745.5,否,414,141,130,138
虹口区,上海市大同中学,733,否,401,127,131,140
虹口区,上海外国语大学附属大境中学,714,否,397,125,136,129
虹口区,上海市光明中学,719,否,388,127,125,138
虹口区,上海市敬业中学,707.5,否,384,122,129,132
虹口区,上海市第二中学,726,否,400,123,130,132
虹口区,上海市南洋模范中学,742.5,否,405,139,128,144
虹口区,上海市上海中学,761,否,422,149,127,145
虹口区,上海市位育中学,743,否,410,131,139,135
虹口区,上海市南洋中学,707.5,否,392.5,125,121,122
虹口区,上海市第三女子中学,702,否,387.5,119,127,119.5
虹口区,上海市延安中学,731.5,否,411.5,139,130,127
虹口区,上海市复旦中学,706,否,388.5,120,128,124
虹口区,上海市育才中学,720.5,否,401.5,127,135,133
虹口区,上海市新中高级中学,725,否,392,129,120,138
虹口区,上海市市北中学,736.5,否,404.5,134,131,138
虹口区,上海市回民中学,662,否,350,130,113,123
虹口区,上海市第六十中学,704.5,否,384.5,122,128,134
虹口区,上海市华东模范中学,709,否,367,113,128,138
虹口区,上海市晋元高级中学,698,否,378,121,124,133
虹口区,上海市曹杨第二中学,738.5,否,406.5,124,135,138
虹口区,上海市宜川中学,718,否,392,126,127,132
虹口区,华东师范大学第二附属中学（普陀校区）,750.5,否,411.5,135,131,144
虹口区,上海市复兴高级中学,745,否,411,138,133,139
虹口区,华东师范大学第一附属中学,734,否,400,134,129,128
虹口区,上海财经大学附属北郊高级中学,722,否,398.5,123,129,131
虹口区,上海市杨浦高级中学,732,否,404.5,136,127,140
虹口区,上海市控江中学,730.5,否,401.5,135,127,136
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
虹口区,上海交通大学附属中学,753,否,420,143,133,145
虹口区,复旦大学附属中学,756.5,否,412.5,132,136,146
虹口区,同济大学第一附属中学,705.5,否,387.5,130,125,133
虹口区,上海市七宝中学,742,否,415,136,134,139
虹口区,华东师范大学第二附属中学闵行紫竹分校,743.5,否,406.5,138,123,141
虹口区,上海师范大学附属中学闵行分校,732,否,405.5,128,134,136
虹口区,上海市闵行中学,702,否,382,114,135,124
虹口区,上海市行知中学,732.5,否,397.5,126,129,138
虹口区,上海大学附属中学,704.5,否,386,126,119,129
虹口区,上海市吴淞中学,705,否,389,122,133,120
虹口区,华东师范大学第二附属中学（宝山校区）,737,否,408,137,133,127
虹口区,上海市嘉定区第一中学,713,否,386,112,136,132
虹口区,上海交通大学附属中学嘉定分校,751.5,否,411.5,132,134,143
虹口区,上海中学东校,721,否,391,124,122,137
虹口区,上海市建平中学,743,否,408.5,133,132,133
虹口区,上海市进才中学,700,否,376,116,119,131
虹口区,华东师范大学第二附属中学,753,否,415,144,126,141
虹口区,上海南汇中学,689,否,368,119,117,137
虹口区,上海市浦东复旦附中分校,746.5,否,412.5,138,131,138
虹口区,上海市洋泾中学,708.5,否,388.5,118,134,128
虹口区,上海市高桥中学,706,否,383.5,114,126,129
虹口区,上海市川沙中学,697,否,378,111,125,125
虹口区,上海市金山中学,724,否,395.5,127,125,135
虹口区,华东师范大学第三附属中学,703.5,否,370.5,123,118,140
虹口区,上海市松江二中,727.5,否,404,130,132,130
虹口区,上海市松江一中,687,否,386.5,121,123,116
虹口区,上海外国语大学附属外国语学校松江云间中学,719.5,否,387.5,119,129,143
虹口区,上海市青浦高级中学,701.5,否,387.5,118,129,125
虹口区,复旦大学附属中学青浦分校,743,否,408.5,135,132,138
虹口区,上海市朱家角中学,694.5,否,371,116,130,130
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
虹口区,上海市奉贤中学,737.5,否,411,135,132,134
虹口区,上海市崇明中学,708.5,否,387.5,122,127,129
虹口区,上海市实验学校东滩高级中学,704,否,392.5,125,131,122
