区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
闵行区,上海市格致中学,735,否,409.5,141,128,137
闵行区,上海市大同中学,742.5,否,409,130,134,140
闵行区,上海市向明中学（浦江校区）,728.5,否,403.5,127,135,135
闵行区,上海外国语大学附属大境中学,721,否,400,119,133,126
闵行区,上海市光明中学,699.5,否,374.5,111,124,132
闵行区,上海市敬业中学,715.5,否,385,132,126,137
闵行区,上海市卢湾高级中学,711,否,391,127,129,129
闵行区,上海市第二中学（梅陇校区）,733,否,399,133,125,139
闵行区,上海市南洋模范中学,751.5,否,420,138,137,135
闵行区,上海市上海中学,764,否,427,143,136,139
闵行区,上海市位育中学,743,否,412,141,130,142
闵行区,复旦大学附属中学徐汇分校,755,否,414.5,132,138,144
闵行区,上海市南洋中学,720.5,否,397,119,132,130
闵行区,上海市第三女子中学,731.5,否,395.5,119,133,139
闵行区,上海市延安中学,737.5,否,402.5,132,131,142
闵行区,上海市复旦中学,715,否,403,131,125,119
闵行区,上海市市西中学,726.5,否,399.5,127,129,135
闵行区,上海市育才中学,716,否,392,122,130,137
闵行区,上海市新中高级中学,701.5,否,391.5,119,131,120
闵行区,上海市市北中学,728.5,否,401.5,131,133,130
闵行区,上海市回民中学,693,否,384.5,124,125,120
闵行区,上海市第六十中学,692,否,368.5,115,124,130
闵行区,上海市华东模范中学,673.5,否,365.5,106,124,119
闵行区,上海市曹杨第二中学,751,否,420,138,136,136
闵行区,上海市宜川中学,721,否,392.5,125,129,135
闵行区,上海财经大学附属北郊高级中学,700.5,否,393,127,128,121
闵行区,上海市杨浦高级中学,717.5,否,389.5,129,122,131
闵行区,上海市控江中学,737,否,410,135,137,133
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
闵行区,上海交通大学附属中学,756.5,否,414.5,139,133,145
闵行区,复旦大学附属中学,758,否,421.5,137,139,141
闵行区,同济大学第一附属中学,708.5,否,383.5,128,127,131
闵行区,上海市七宝中学,757,否,416,133,136,144
闵行区,华东师范大学第二附属中学闵行紫竹分校,752,否,415,134,135,144
闵行区,上海师范大学附属中学闵行分校,739,否,410,129,136,134
闵行区,上海交通大学附属中学闵行分校,760,否,419,140,133,146
闵行区,上海市闵行中学,734.5,否,399.5,124,127,136
闵行区,上海市行知中学,727.5,否,397.5,122,135,138
闵行区,上海大学附属中学,708,否,392,117,132,127
闵行区,上海市吴淞中学,720.5,否,398,125,136,126
闵行区,华东师范大学第二附属中学（宝山校区）,749,否,413,136,133,141
闵行区,上海市嘉定区第一中学,721,否,394.5,125,131,134
闵行区,上海交通大学附属中学嘉定分校,754.5,否,420,145,132,142
闵行区,上海中学东校,735,否,404.5,132,131,133
闵行区,上海市建平中学,742,否,405,133,127,144
闵行区,上海市进才中学,727,否,409,134,130,126
闵行区,华东师范大学第二附属中学,757,否,424,140,138,140
闵行区,上海南汇中学,713.5,否,388.5,126,121,137
闵行区,上海市浦东复旦附中分校,741.5,否,410.5,128,135,131
闵行区,上海师范大学附属中学,736.5,否,407.5,128,137,132
闵行区,上海市洋泾中学,719,否,389,124,128,134
闵行区,上海市高桥中学,700,否,375.5,118,118,137
闵行区,上海市川沙中学,717.5,否,394.5,123,127,130
闵行区,上海市金山中学,732,否,403,129,129,136
闵行区,华东师范大学第三附属中学,713,否,392,127,132,133
闵行区,上海市松江二中,745.5,否,412.5,137,135,138
闵行区,华东师范大学第二附属中学松江分校,748.5,否,409.5,138,133,144
闵行区,上海市松江一中,716.5,否,391.5,118,129,134
闵行区,上海外国语大学附属外国语学校松江云间中学,731.5,否,397.5,123,131,139
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
闵行区,上海市青浦高级中学,729,否,405,141,129,133
闵行区,复旦大学附属中学青浦分校,743.5,否,411.5,144,130,137
闵行区,上海市朱家角中学,703,否,381,121,126,131
闵行区,上海市奉贤中学,745,否,401,134,132,147
闵行区,华东师范大学第二附属中学临港奉贤分校,740.5,否,403.5,134,128,142
闵行区,上海市崇明中学,708,否,389,117,133,128
