区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
青浦区,上海市大同中学,718.5,否,400.5,135,130,128
青浦区,上海市第二中学,687.5,否,377,119,121,122
青浦区,上海市南洋模范中学,743,否,409,125,137,138
青浦区,上海市上海中学,758.5,否,420.5,145,135,141
青浦区,上海市位育中学,734.5,否,401.5,120,134,139
青浦区,上海市南洋中学,713.5,否,385.5,116,133,134
青浦区,上海市第三女子中学,711,否,397,124,133,127
青浦区,上海市延安中学,732.5,否,398.5,125,133,137
青浦区,上海市复旦中学,728,否,393,125,129,142
青浦区,上海市育才中学,720,否,399,127,131,130
青浦区,上海市新中高级中学,707.5,否,386.5,123,128,135
青浦区,上海市晋元高级中学,719,否,406,131,131,119
青浦区,上海市曹杨第二中学,735.5,否,405.5,119,138,138
青浦区,上海市宜川中学,700,否,388,127,128,126
青浦区,华东师范大学第一附属中学,711.5,否,398.5,124,133,125
青浦区,上海市杨浦高级中学,713,否,397,142,125,128
青浦区,上海市控江中学,732,否,413,136,129,125
青浦区,上海交通大学附属中学,758,否,421,139,136,143
青浦区,复旦大学附属中学,755.5,否,413,132,134,147
青浦区,上海市七宝中学,758.5,否,419.5,144,128,144
青浦区,上海师范大学附属中学闵行分校,663,否,364,121,119,115
青浦区,上海交通大学附属中学闵行分校,747.5,否,410,130,134,142
青浦区,上海市闵行中学,717,否,385,123,130,138
青浦区,上海市行知中学,722,否,396.5,126,130,132
青浦区,上海大学附属中学,708,否,392,120,133,131
青浦区,上海市吴淞中学,706,否,389,122,127,122
青浦区,上海市嘉定区第一中学,710,否,397,128,126,121
青浦区,上海交通大学附属中学嘉定分校,755,否,419,144,133,142
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
青浦区,上海市建平中学,729.5,否,400.5,138,120,136
青浦区,上海市进才中学,738,否,408,131,134,139
青浦区,华东师范大学第二附属中学,760.5,否,420.5,142,132,144
青浦区,上海南汇中学,701,否,375,122,116,128
青浦区,上海师范大学附属中学,671.5,否,373.5,112,124,114
青浦区,上海市洋泾中学,710.5,否,393.5,123,129,126
青浦区,上海市高桥中学,680.5,否,378.5,118,126,122
青浦区,上海市川沙中学,689,否,381,109,128,115
青浦区,上海市金山中学,708,否,380,116,121,135
青浦区,华东师范大学第三附属中学,691,否,399,129,131,101
青浦区,上海市松江二中,738.5,否,399.5,133,128,147
青浦区,上海市松江一中,707.5,否,387,120,132,133
青浦区,上海外国语大学附属外国语学校松江云间中学,722.5,否,397.5,124,133,130
青浦区,上海市青浦高级中学,737,否,407,134,133,138
青浦区,复旦大学附属中学青浦分校,765.5,否,422.5,140,136,145
青浦区,上海市朱家角中学,711,否,384,117,127,134
青浦区,上海市奉贤中学,743,否,414,132,138,131
青浦区,上海市崇明中学,693.5,否,378,125,124,125
