初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市嘉定区启良中学,上海市嘉定区第一中学,722,否,386,115,128,140
上海市嘉定区启良中学,上海交通大学附属中学嘉定分校,728.5,否,391.5,122,126,142
上海市嘉定区方泰中学,上海市嘉定区第一中学,720.5,否,387.5,112,133,138
上海市嘉定区方泰中学,上海交通大学附属中学嘉定分校,732,否,403,134,128,139
上海市曹杨二中附属江桥实验中学,复旦大学附属中学,755,否,412,132,134,146
上海市曹杨二中附属江桥实验中学,上海市嘉定区第一中学,725,否,396,125,135,133
上海市曹杨二中附属江桥实验中学,上海交通大学附属中学嘉定分校,729,否,398,131,133,138
上海市嘉定区迎园中学,上海市嘉定区第一中学,731,否,404,122,134,134
上海市嘉定区迎园中学,上海交通大学附属中学嘉定分校,739,否,406,139,130,144
上海市嘉定区南苑中学,上海市嘉定区第一中学,722,否,398,126,128,132
上海市嘉定区南苑中学,上海交通大学附属中学嘉定分校,734,否,393,121,131,142
上海市嘉定区黄渡中学,上海市嘉定区第一中学,714.5,否,388.5,122,129,135
上海市嘉定区黄渡中学,上海交通大学附属中学嘉定分校,724,否,399,127,135,136
上海市嘉定区徐行中学,上海市嘉定区第一中学,727.5,否,399.5,129,133,133
上海市嘉定区徐行中学,上海交通大学附属中学嘉定分校,730.5,否,395.5,135,121,142
上海市嘉定区马陆育才联合中学,复旦大学附属中学,720.5,否,390,125,127,138
上海市嘉定区马陆育才联合中学,上海市嘉定区第一中学,704.5,否,388.5,115,131,129
上海市嘉定区马陆育才联合中学,上海交通大学附属中学嘉定分校,716.5,否,400.5,125,132,126
上海市民办嘉一联合中学,上海市嘉定区第一中学,728,否,390,122,129,140
上海市民办嘉一联合中学,上海交通大学附属中学嘉定分校,744.5,否,407.5,128,135,140
上海市嘉定区丰庄中学,上海市嘉定区第一中学,729.5,否,394,120,133,144
上海市嘉定区丰庄中学,上海交通大学附属中学嘉定分校,737.5,否,407,126,137,136
上海市嘉定区丰庄中学,上海师范大学附属中学,716.5,否,391.5,132,130,132
上海市嘉定区外冈中学,上海市嘉定区第一中学,710.5,否,389.5,114,135,126
上海市嘉定区外冈中学,上海交通大学附属中学嘉定分校,727.5,否,401.5,128,131,130
上海市嘉定区外冈中学,华东师范大学第二附属中学,743.5,否,409.5,131,135,140
上海民办华曜嘉定初级中学,上海市嘉定区第一中学,719,否,391,128,126,135
上海民办华曜嘉定初级中学,上海交通大学附属中学嘉定分校,749.5,否,411.5,137,128,145
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市嘉定区震川中学,上海市嘉定区第一中学,726,否,394,114,141,135
上海市嘉定区震川中学,上海交通大学附属中学嘉定分校,735.5,否,401.5,123,135,136
上海大学附属嘉定留云中学,上海市嘉定区第一中学,707.5,否,373.5,111,124,139
上海大学附属嘉定留云中学,上海交通大学附属中学嘉定分校,734,否,406,134,131,133
交大附中附属嘉定德富中学,上海交通大学附属中学,763,否,424,143,137,142
交大附中附属嘉定德富中学,上海市嘉定区第一中学,728,否,400,132,131,133
交大附中附属嘉定德富中学,上海交通大学附属中学嘉定分校,745,否,411,132,136,140
同济大学附属实验中学,上海市嘉定区第一中学,728,否,400.5,129,132,135
同济大学附属实验中学,上海交通大学附属中学嘉定分校,749.5,否,423.5,138,139,129
上海市嘉定区华江中学,上海市嘉定区第一中学,725.5,否,402.5,125,137,128
上海市嘉定区华江中学,上海交通大学附属中学嘉定分校,732,否,400.5,127,129,134
上海市嘉定区新城实验中学,上海市嘉定区第一中学,729.5,否,406.5,128,133,130
上海市嘉定区新城实验中学,上海交通大学附属中学嘉定分校,739,否,408,132,133,134
上海市嘉定区南翔中学,上海市嘉定区第一中学,728.5,否,400.5,124,130,131
上海市嘉定区南翔中学,上海交通大学附属中学嘉定分校,731.5,否,408.5,138,129,131
上海市嘉定区疁城实验学校,上海市嘉定区第一中学,715,否,386,110,138,138
上海市嘉定区疁城实验学校,上海交通大学附属中学嘉定分校,728,否,404,130,130,132
上海市嘉定区戬浜学校,上海市嘉定区第一中学,722.5,否,396.5,122,133,134
上海市嘉定区戬浜学校,上海交通大学附属中学嘉定分校,726.5,否,395,123,128,138
上海市嘉定区朱桥学校,上海市嘉定区第一中学,713.5,否,396,119,138,126
