初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市奉贤区青少年业余体育学校,上海市奉贤中学,661.5,否,343,103,123,129
上海市奉贤区古华中学,上海市格致中学（奉贤校区）,721,否,395,132,126,135
上海市奉贤区古华中学,上海市奉贤中学,715,否,384.5,134,119,142
上海市奉贤区古华中学,华东师范大学第二附属中学临港奉贤分校,705.5,否,376.5,119,120,136
上海市奉贤区实验中学,上海市格致中学（奉贤校区）,725.5,否,393.5,125,127,141
上海市奉贤区实验中学,上海市上海中学,753,否,420.5,139,136,142
上海市奉贤区实验中学,上海师范大学附属中学,722,否,387.5,123,125,142
上海市奉贤区实验中学,上海市奉贤中学,731,否,406,133,135,137
上海市奉贤区实验中学,华东师范大学第二附属中学临港奉贤分校,728,否,404,130,133,131
上海市奉贤中学附属南桥中学,上海市格致中学（奉贤校区）,720,否,396,132,127,132
上海市奉贤中学附属南桥中学,上海市奉贤中学,725.5,否,393.5,129,131,140
上海市奉贤中学附属南桥中学,华东师范大学第二附属中学临港奉贤分校,723.5,否,392.5,131,126,138
上海市奉贤区汇贤中学,上海市格致中学（奉贤校区）,732.5,否,400.5,133,132,134
上海市奉贤区汇贤中学,上海市奉贤中学,740,否,402,128,133,142
上海市奉贤区汇贤中学,华东师范大学第二附属中学临港奉贤分校,740.5,否,403,129,128,144
上海市奉贤区塘外中学,上海市奉贤中学,698,否,377,119,125,130
上海市奉贤区塘外中学,华东师范大学第二附属中学临港奉贤分校,675.5,否,352,112,120,133
上海市奉贤区青村中学,上海市格致中学（奉贤校区）,693,否,385,123,130,121
上海市奉贤区青村中学,上海市奉贤中学,720,否,400.5,126,131,131
上海市奉贤区青村中学,华东师范大学第二附属中学临港奉贤分校,688,否,389,116,133,113
上海市奉贤区奉城第二中学,上海市格致中学（奉贤校区）,709.5,否,381.5,122,125,137
上海市奉贤区奉城第二中学,上海市奉贤中学,712.5,否,385,114,133,133
上海市奉贤区奉城第二中学,华东师范大学第二附属中学临港奉贤分校,708,否,388,122,129,127
上海市奉贤区头桥中学,上海市格致中学（奉贤校区）,687,否,378.5,123,121,120
上海市奉贤区头桥中学,上海市奉贤中学,705,否,384,117,133,128
上海市奉贤区头桥中学,华东师范大学第二附属中学临港奉贤分校,700,否,374.5,117,126,133
上海市奉贤区洪庙中学,上海市格致中学（奉贤校区）,679,否,377.5,110,134,112
上海市奉贤区洪庙中学,上海市奉贤中学,687.5,否,379.5,113,129,113
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市奉贤区洪庙中学,华东师范大学第二附属中学临港奉贤分校,670.5,否,359.5,112,127,126
上海市奉贤区四团中学,上海市格致中学（奉贤校区）,701.5,否,374.5,117,120,134
上海市奉贤区四团中学,复旦大学附属中学,696.5,否,380.5,127,132,123
上海市奉贤区四团中学,上海市奉贤中学,714,否,380,115,130,138
上海市奉贤区四团中学,华东师范大学第二附属中学临港奉贤分校,728.5,否,404.5,122,140,128
上海市奉贤区青溪中学,上海市格致中学（奉贤校区）,727.5,否,398.5,127,128,138
上海市奉贤区青溪中学,上海交通大学附属中学,752.5,否,415.5,141,132,142
上海市奉贤区青溪中学,上海市奉贤中学,736,否,405.5,140,123,143
上海市奉贤区青溪中学,华东师范大学第二附属中学临港奉贤分校,736,否,403,126,132,140
上海市奉贤区尚同中学,上海市格致中学（奉贤校区）,724.5,否,393,127,133,137
上海市奉贤区尚同中学,上海市奉贤中学,733,否,405.5,131,136,136
上海市奉贤区尚同中学,华东师范大学第二附属中学临港奉贤分校,709.5,否,391,126,128,130
上海外国语大学附属奉贤实验中学,上海市格致中学（奉贤校区）,726.5,否,403,137,133,133
上海外国语大学附属奉贤实验中学,上海市奉贤中学,724,否,390.5,117,131,138
上海外国语大学附属奉贤实验中学,华东师范大学第二附属中学临港奉贤分校,731.5,否,406,133,130,134
上海市奉贤区崇实中学,上海市格致中学（奉贤校区）,727,否,400.5,129,133,136
上海市奉贤区崇实中学,上海市奉贤中学,739,否,402,136,125,139
上海市奉贤区崇实中学,华东师范大学第二附属中学临港奉贤分校,733,否,413,135,139,129
上海市奉贤区待问中学,上海市格致中学（奉贤校区）,733,否,398,125,132,139
上海市奉贤区待问中学,上海市奉贤中学,724,否,398.5,128,131,133
上海市奉贤区待问中学,华东师范大学第二附属中学临港奉贤分校,721.5,否,401.5,122,137,124
上海市奉贤中学附属初级中学,上海市格致中学（奉贤校区）,696.5,否,383.5,108,132,120
上海市奉贤中学附属初级中学,上海市奉贤中学,720,否,394.5,125,133,135
上海市奉贤中学附属初级中学,华东师范大学第二附属中学临港奉贤分校,721.5,否,397.5,130,130,133
上海市奉贤区肖塘中学,上海市格致中学（奉贤校区）,688,否,368.5,112,127,125
上海市奉贤区肖塘中学,上海市奉贤中学,716.5,否,382,130,124,142
上海市奉贤区肖塘中学,华东师范大学第二附属中学临港奉贤分校,709,否,384,115,131,129
上海市奉贤区育秀中学,上海市格致中学（奉贤校区）,733,否,415,143,133,134
上海市奉贤区育秀中学,上海市奉贤中学,736,否,405.5,133,130,139
