初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市淞谊中学,上海市行知中学,730,否,404,122,138,132
上海市淞谊中学,上海大学附属中学,715,否,392.5,126,129,128
上海市淞谊中学,上海师范大学附属中学宝山分校,702,否,384.5,118,126,127
上海市淞谊中学,上海市吴淞中学,716.5,否,394,124,129,132
上海市淞谊中学,华东师范大学第二附属中学（宝山校区）,745,否,411.5,134,136,139
上海市宝山区教育学院附属中学,上海市行知中学,732.5,否,398,127,131,141
上海市宝山区教育学院附属中学,上海大学附属中学,717.5,否,383.5,120,123,138
上海市宝山区教育学院附属中学,上海师范大学附属中学宝山分校,713.5,否,388,122,127,130
上海市宝山区教育学院附属中学,上海市吴淞中学,725.5,否,400.5,127,129,132
上海市宝山区教育学院附属中学,华东师范大学第二附属中学（宝山校区）,748,否,414,138,128,143
上海市吴淞初级中学,上海市行知中学,686.5,否,358.5,116,113,137
上海市吴淞初级中学,上海大学附属中学,664,否,351,107,125,124
上海市吴淞初级中学,上海市吴淞中学,675.5,否,365.5,116,123,118
上海市吴淞初级中学,华东师范大学第二附属中学（宝山校区）,676,否,363,114,125,126
上海市海滨第二中学,上海市行知中学,719,否,399,126,129,126
上海市海滨第二中学,上海大学附属中学,703.5,否,379.5,129,126,134
上海市海滨第二中学,上海市吴淞中学,718.5,否,391.5,123,131,135
上海市海滨第二中学,华东师范大学第二附属中学（宝山校区）,756,否,423.5,143,139,139
上海民办宝莲中学,复旦大学附属中学,759.5,否,420,145,131,144
上海民办宝莲中学,上海市行知中学,740,否,407,133,135,141
上海民办宝莲中学,上海大学附属中学,721.5,否,394.5,117,136,130
上海民办宝莲中学,上海师范大学附属中学宝山分校,727,否,399.5,131,127,138
上海民办宝莲中学,上海市吴淞中学,721.5,否,403.5,135,133,124
上海民办宝莲中学,华东师范大学第二附属中学（宝山校区）,755.5,否,421.5,131,143,139
上海市吴淞第二中学,上海市行知中学,712,否,386,125,132,131
上海市吴淞第二中学,上海大学附属中学,684,否,372.5,103,130,120
上海市吴淞第二中学,上海市吴淞中学,706,否,385,132,122,131
上海市吴淞第二中学,华东师范大学第二附属中学（宝山校区）,744,否,408,134,131,141
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市虎林中学,上海市上海中学,765.5,否,429.5,145,138,140
上海市虎林中学,上海市行知中学,715,否,399,133,125,130
上海市虎林中学,上海大学附属中学,715,否,384,116,127,138
上海市虎林中学,上海市吴淞中学,714,否,395.5,120,136,127
上海市虎林中学,华东师范大学第二附属中学（宝山校区）,735,否,400,133,133,139
上海市泗塘中学,上海市行知中学,731,否,408,140,134,132
上海市泗塘中学,上海大学附属中学,716,否,400,126,134,130
上海市泗塘中学,上海师范大学附属中学宝山分校,727.5,否,401,127,137,134
上海市泗塘中学,上海市吴淞中学,713,否,392,127,125,133
上海市泗塘中学,华东师范大学第二附属中学（宝山校区）,741.5,否,412.5,132,135,134
上海市宝山区求真中学北校,上海市行知中学,718.5,否,393,121,128,136
上海市宝山区求真中学北校,上海大学附属中学,714,否,380,117,128,143
上海市宝山区求真中学北校,上海市吴淞中学,707,否,380.5,126,120,134
上海市宝山区求真中学北校,华东师范大学第二附属中学（宝山校区）,745,否,411,138,130,138
上海市泗塘第二中学,上海交通大学附属中学,715,否,394.5,125,134,127
上海市泗塘第二中学,上海市行知中学,708.5,否,378.5,114,128,139
上海市泗塘第二中学,上海大学附属中学,696,否,380,124,123,130
上海市泗塘第二中学,上海师范大学附属中学宝山分校,660.5,否,358.5,107,121,117
上海市泗塘第二中学,上海市吴淞中学,703.5,否,391.5,117,133,126
上海市泗塘第二中学,华东师范大学第二附属中学（宝山校区）,718.5,否,392.5,122,127,134
上海市长江第二中学,上海市行知中学,722.5,否,402.5,135,128,127
上海市长江第二中学,上海大学附属中学,710.5,否,384.5,114,126,134
上海市长江第二中学,上海市吴淞中学,714,否,387,130,118,137
上海市长江第二中学,华东师范大学第二附属中学（宝山校区）,757,否,420,142,131,140
上海市宝山区求真中学,上海市行知中学,739,否,416,137,136,129
上海市宝山区求真中学,上海大学附属中学,719,否,390,125,127,135
上海市宝山区求真中学,上海师范大学附属中学宝山分校,731,否,396,123,129,140
上海市宝山区求真中学,上海市吴淞中学,717.5,否,396.5,129,129,126
上海市宝山区求真中学,华东师范大学第二附属中学（宝山校区）,752,否,413.5,142,131,142
上海市宝山区求真中学,华东师范大学第二附属中学,757.5,否,423,141,134,142
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市大场中学,复旦大学附属中学,729,否,416,140,130,119
上海市大场中学,上海市行知中学,712,否,396,131,123,132
上海市大场中学,上海大学附属中学,709.5,否,390.5,119,130,124
上海市大场中学,上海市吴淞中学,704.5,否,381,118,127,129
上海市大场中学,华东师范大学第二附属中学（宝山校区）,726.5,否,394.5,127,128,140
上海市大华中学,上海市行知中学,734.5,否,406,132,132,138
