初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市崇明区三星中学,上海市崇明中学,679.5,否,360.5,103,118,133
上海市崇明区三星中学,上海市实验学校东滩高级中学,666.5,否,364.5,116,124,117
上海市崇明区建设中学,上海市崇明中学,710.5,否,392,131,126,129
上海市崇明区建设中学,上海市实验学校东滩高级中学,717,否,390.5,127,124,135
上海市崇明区合兴中学,上海市崇明中学,687.5,否,376.5,113,128,118
上海市崇明区合兴中学,上海市实验学校东滩高级中学,718,否,393.5,130,129,133
上海市崇明区向化中学,上海市崇明中学,663.5,否,353,107,131,119
上海市崇明区向化中学,上海市实验学校东滩高级中学,706.5,否,377,128,125,135
上海市崇明区崇东中学,上海市崇明中学,662,否,357,103,125,113
上海市崇明区崇东中学,上海市实验学校东滩高级中学,703,否,374.5,114,129,137
上海市崇明区裕安中学,上海市崇明中学,694.5,否,380.5,114,129,122
上海市崇明区裕安中学,上海市实验学校东滩高级中学,703,否,377,113,133,133
上海市崇明区实验中学,上海市崇明中学,694,否,376.5,115,125,128
上海市崇明区实验中学,上海市实验学校东滩高级中学,697.5,否,381.5,116,122,126
上海市崇明中学附属东门中学,上海市崇明中学,695.5,否,372.5,120,124,131
上海市崇明中学附属东门中学,上海市实验学校东滩高级中学,717.5,否,392.5,123,132,131
上海市崇明区城桥中学附属明志初级中学,上海市上海中学,733,否,402,138,120,141
上海市崇明区城桥中学附属明志初级中学,上海市崇明中学,673.5,否,371,112,127,119
上海市崇明区城桥中学附属明志初级中学,上海市实验学校东滩高级中学,675,否,365,114,119,127
上海市崇明区长兴中学,上海市崇明中学,686.5,否,362,108,118,132
上海市崇明区长兴中学,上海市实验学校东滩高级中学,683.5,否,366.5,110,128,122
上海市崇明区长明中学,上海市崇明中学,662,否,380.5,125,117,99
上海市崇明区长明中学,上海市实验学校东滩高级中学,691,否,371,93,134,129
上海师范大学附属崇明正大中学,华东师范大学第二附属中学,747.5,否,412.5,138,130,141
上海师范大学附属崇明正大中学,上海市崇明中学,682.5,否,375,120,125,117
上海师范大学附属崇明正大中学,上海市实验学校东滩高级中学,712.5,否,384.5,115,130,136
上海市崇明区庙镇学校,上海交通大学附属中学,713,否,388.5,114,133,131
上海市崇明区庙镇学校,上海市崇明中学,680,否,372,124,123,125
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市崇明区庙镇学校,上海市实验学校东滩高级中学,676,否,364.5,108,124,123
上海市崇明区大新中学,上海市崇明中学,657,否,366,117,124,116
上海市崇明区大新中学,上海市实验学校东滩高级中学,681,否,375.5,119,126,118
上海市崇明区三烈中学,复旦大学附属中学,675,否,364,118,116,125
上海市崇明区三烈中学,上海市崇明中学,677,否,373,114,124,113
上海市崇明区三烈中学,上海市实验学校东滩高级中学,668.5,否,363.5,110,128,118
上海市崇明区大公中学,上海市崇明中学,683,否,375.5,120,128,119
上海市崇明区大公中学,上海市实验学校东滩高级中学,704,否,385.5,126,126,125
上海民办民一中学,上海市崇明中学,704.5,否,388.5,128,129,126
上海民办民一中学,上海市实验学校东滩高级中学,727,否,389,123,126,143
上海市崇明区横沙中学,上海市崇明中学,666.5,否,372.5,107,128,104
上海市崇明区横沙中学,上海市实验学校东滩高级中学,676.5,否,377.5,111,133,115
上海新纪元双语学校,上海市崇明中学,683,否,378,123,129,118
上海新纪元双语学校,上海市实验学校东滩高级中学,718.5,否,391.5,123,128,137
上海市崇明区新海学校,上海市崇明中学,697,否,382,118,132,125
上海市实验学校附属东滩学校,上海市崇明中学,684,否,378,123,126,115
上海市实验学校附属东滩学校,上海市实验学校东滩高级中学,708.5,否,386.5,124,128,129
