初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市洵阳中学,上海市晋元高级中学,710,否,381,115,129,135
上海市洵阳中学,上海市曹杨第二中学,741.5,否,404,131,131,144
上海市洵阳中学,上海市宜川中学,705.5,否,380.5,119,117,135
上海市洵阳中学,华东师范大学第二附属中学（普陀校区）,742,否,410,127,138,136
上海市北海中学,上海市晋元高级中学,726.5,否,396.5,120,134,134
上海市北海中学,上海市曹杨第二中学,731,否,403,128,129,135
上海市北海中学,上海市宜川中学,716,否,392,133,121,135
上海市北海中学,华东师范大学第二附属中学（普陀校区）,749.5,否,414.5,133,135,145
上海市延河中学,上海市晋元高级中学,725.5,否,388.5,118,132,141
上海市延河中学,上海市曹杨第二中学,728.5,否,400.5,129,133,134
上海市延河中学,上海市宜川中学,715,否,389,123,126,133
上海市延河中学,华东师范大学第二附属中学（普陀校区）,746,否,411,134,135,139
上海市曹杨第二中学附属实验中学,上海市晋元高级中学,720,否,390,118,130,134
上海市曹杨第二中学附属实验中学,上海市曹杨第二中学,724,否,396.5,129,126,137
上海市曹杨第二中学附属实验中学,上海市宜川中学,706.5,否,384.5,113,131,133
上海市曹杨第二中学附属实验中学,华东师范大学第二附属中学（普陀校区）,740,否,411,129,135,134
上海市曹杨第二中学附属实验中学,上海交通大学附属中学,762,否,421,136,141,142
华东师范大学第四附属中学,上海市晋元高级中学,723,否,398.5,124,132,132
华东师范大学第四附属中学,上海市曹杨第二中学,739.5,否,405.5,127,135,138
华东师范大学第四附属中学,上海市宜川中学,718.5,否,393.5,132,131,129
华东师范大学第四附属中学,华东师范大学第二附属中学（普陀校区）,757.5,否,415.5,139,130,144
华东师范大学第四附属中学,复旦大学附属中学,765,否,422,143,135,145
上海市怒江中学,上海市晋元高级中学,736,否,403,132,131,139
上海市怒江中学,上海市曹杨第二中学,707.5,否,383.5,122,128,139
上海市怒江中学,上海市宜川中学,693.5,否,367.5,109,122,134
上海市怒江中学,华东师范大学第二附属中学（普陀校区）,735,否,409.5,132,136,133
上海师范大学附属第二实验学校,上海市晋元高级中学,727.5,否,403,139,121,135
上海师范大学附属第二实验学校,上海市曹杨第二中学,749,否,412,133,131,140
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海师范大学附属第二实验学校,上海市宜川中学,722.5,否,398.5,117,139,128
上海师范大学附属第二实验学校,华东师范大学第二附属中学（普陀校区）,753,否,415,134,134,144
上海市真北中学,上海市晋元高级中学,727,否,407,126,135,126
上海市真北中学,上海市曹杨第二中学,745,否,406,129,134,141
