初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市铁岭中学,上海市杨浦高级中学,727,否,404,142,122,136
上海市铁岭中学,上海市控江中学,739,否,399,122,135,142
上海市铁岭中学,复旦大学附属中学,754,否,417,137,134,145
上海市铁岭中学,同济大学第一附属中学,718,否,387,122,124,137
上海市鞍山初级中学,上海市杨浦高级中学,730,否,397,124,136,139
上海市鞍山初级中学,上海市控江中学,739,否,405,126,133,138
上海市鞍山初级中学,上海交通大学附属中学,753.5,否,403.5,131,132,143
上海市鞍山初级中学,同济大学第一附属中学,723.5,否,390,123,124,139
上海市十五中学,上海市杨浦高级中学,725,否,398,128,129,131
上海市十五中学,上海市控江中学,744.5,否,411,137,133,136
上海市十五中学,同济大学第一附属中学,719.5,否,398,127,134,129
上海市杨浦初级中学,上海市杨浦高级中学,742,否,411,141,133,137
上海市杨浦初级中学,上海市控江中学,747,否,411,138,129,143
上海市杨浦初级中学,同济大学第一附属中学,720.5,否,387.5,115,132,138
上海市惠民中学,上海市杨浦高级中学,725,否,396.5,127,127,136
上海市惠民中学,上海市控江中学,741,否,412.5,128,138,133
上海市惠民中学,同济大学第一附属中学,721.5,否,391.5,123,127,135
上海市惠民中学,华东师范大学第二附属中学,749,否,415,138,136,141
上海市辽阳中学,上海市杨浦高级中学,730.5,否,395.5,122,135,138
上海市辽阳中学,上海市控江中学,740,否,414,140,130,130
上海市辽阳中学,同济大学第一附属中学,725,否,400.5,131,132,134
上海市新大桥中学,上海市杨浦高级中学,719,否,388.5,128,121,140
上海市新大桥中学,上海市控江中学,733,否,402,133,129,137
上海市新大桥中学,上海交通大学附属中学,746.5,否,407.5,136,129,144
上海市新大桥中学,同济大学第一附属中学,707,否,393,125,134,126
上海市建设初级中学,上海市杨浦高级中学,729.5,否,394.5,129,123,141
上海市建设初级中学,上海市控江中学,738.5,否,404,134,131,143
上海市建设初级中学,同济大学第一附属中学,716,否,393.5,130,128,132
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市东辽阳中学,上海市上海中学,722,否,391,123,135,135
上海市东辽阳中学,上海市杨浦高级中学,689,否,375.5,121,123,128
上海市东辽阳中学,上海市控江中学,744.5,否,406,135,134,141
上海市东辽阳中学,同济大学第一附属中学,678.5,否,373.5,111,129,115
上海市二十五中学,上海市杨浦高级中学,722,否,393,130,124,136
上海市二十五中学,上海市控江中学,725,否,402,126,133,131
上海市二十五中学,同济大学第一附属中学,710,否,387,122,126,133
上海市二十五中学,华东师范大学第二附属中学,747,否,402,131,128,147
上海理工大学附属初级中学,上海市杨浦高级中学,726.5,否,404.5,133,134,131
上海理工大学附属初级中学,上海市控江中学,736.5,否,407,134,134,140
上海理工大学附属初级中学,复旦大学附属中学,733.5,否,410.5,136,134,128
上海理工大学附属初级中学,同济大学第一附属中学,716,否,383,123,117,139
上海市杨浦区教育学院附属中学,上海市杨浦高级中学,715,否,394.5,121,132,127
上海市杨浦区教育学院附属中学,上海市控江中学,725,否,403.5,134,129,127
上海市杨浦区教育学院附属中学,同济大学第一附属中学,714,否,383.5,131,117,137
上海市同济初级中学,上海市杨浦高级中学,721,否,393.5,124,131,135
上海市同济初级中学,上海市控江中学,726.5,否,400.5,130,134,130
上海市同济初级中学,上海交通大学附属中学,759.5,否,422,147,131,145
上海市同济初级中学,同济大学第一附属中学,710,否,394,117,133,123
上海市三门中学(上海财经大学附属初级中学）,上海市杨浦高级中学,730,否,394.5,125,125,141
上海市三门中学(上海财经大学附属初级中学）,上海市控江中学,738,否,407.5,119,143,133
上海市三门中学(上海财经大学附属初级中学）,复旦大学附属中学,753.5,否,415,147,130,145
上海市三门中学(上海财经大学附属初级中学）,同济大学第一附属中学,718.5,否,389,128,126,140
上海市包头中学,上海市杨浦高级中学,701.5,否,378,113,129,127
上海市包头中学,上海市控江中学,724,否,394,118,136,140
上海市包头中学,上海交通大学附属中学,737.5,否,402.5,122,134,137
上海市包头中学,同济大学第一附属中学,696,否,377,119,123,126
上海市思源中学,上海市杨浦高级中学,722.5,否,403,121,141,128
上海市思源中学,上海市控江中学,733.5,否,394.5,125,130,146
上海市思源中学,复旦大学附属中学,737,否,405,141,125,141
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市思源中学,同济大学第一附属中学,711.5,否,390.5,127,124,131
上海市鞍山实验中学,上海市杨浦高级中学,731.5,否,404.5,128,134,134
上海市鞍山实验中学,上海市控江中学,742,否,409.5,137,129,140
上海市鞍山实验中学,同济大学第一附属中学,713,否,388,116,134,133
上海市同济第二初级中学,上海市杨浦高级中学,718.5,否,394.5,126,130,130
上海市同济第二初级中学,上海市控江中学,713,否,391,122,129,131
上海市同济第二初级中学,同济大学第一附属中学,715.5,否,396.5,121,131,124
上海市国和中学,上海市杨浦高级中学,722,否,398.5,131,127,128
上海市国和中学,上海市控江中学,735.5,否,403.5,138,129,141
上海市国和中学,上海交通大学附属中学,677,否,362,96,129,122
上海市国和中学,同济大学第一附属中学,717.5,否,385.5,113,132,139
上海理工大学附属实验初级中学,上海市杨浦高级中学,714.5,否,387.5,124,126,133
上海理工大学附属实验初级中学,上海市控江中学,732.5,否,398.5,134,129,140
上海理工大学附属实验初级中学,同济大学第一附属中学,707.5,否,389.5,131,125,130
上海市控江初级中学,上海市杨浦高级中学,715.5,否,391,135,120,139
上海市控江初级中学,上海市控江中学,723.5,否,406.5,137,129,125
上海市控江初级中学,复旦大学附属中学,758.5,否,417,144,129,143
上海市控江初级中学,同济大学第一附属中学,710,否,382,112,133,129
上海市存志学校,上海市杨浦高级中学,735,否,398,119,136,141
上海市存志学校,上海市控江中学,742.5,否,407.5,136,131,141
上海市存志学校,上海交通大学附属中学,757.5,否,415,145,129,146
上海市存志学校,同济大学第一附属中学,719,否,391.5,128,124,140
上海民办杨浦凯慧初级中学,上海市杨浦高级中学,731,否,400.5,138,124,140
上海民办杨浦凯慧初级中学,上海市控江中学,743,否,407,122,140,140
上海民办杨浦凯慧初级中学,复旦大学附属中学,755.5,否,419,140,132,141
上海民办杨浦凯慧初级中学,同济大学第一附属中学,717,否,398,135,124,128
上海市市东实验学校（上海市市东中学）,上海市杨浦高级中学,711.5,否,391,124,127,127
上海市市东实验学校（上海市市东中学）,上海市控江中学,724.5,否,391.5,119,132,140
上海市市东实验学校（上海市市东中学）,同济大学第一附属中学,702.5,否,372,114,125,139
上海市复旦实验中学,上海市杨浦高级中学,733,否,404.5,137,130,137
