初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市建平中学西校,上海中学东校,731,否,399.5,124,134,136
上海市建平中学西校,上海市建平中学,751,否,413.5,137,134,142
上海市建平中学西校,上海市进才中学,740.5,否,404,128,131,145
上海市建平中学西校,上海南汇中学,705.5,否,384,125,117,130
上海市建平中学西校,上海市浦东复旦附中分校,755.5,否,416.5,135,136,145
上海市建平中学西校,上海市洋泾中学,728.5,否,407.5,131,133,131
上海市建平中学西校,上海市高桥中学,714.5,否,392.5,126,126,130
上海市建平中学西校,上海市川沙中学,718.5,否,400.5,119,139,122
上海市进才中学北校,上海交通大学附属中学,756,否,423,141,133,138
上海市进才中学北校,上海中学东校,727,否,403,131,132,134
上海市进才中学北校,上海市建平中学,751,否,411.5,147,126,144
上海市进才中学北校,上海市进才中学,745,否,406.5,126,136,143
上海市进才中学北校,上海南汇中学,708.5,否,381.5,120,127,135
上海市进才中学北校,上海市浦东复旦附中分校,754.5,否,420.5,140,136,140
上海市进才中学北校,上海市洋泾中学,724,否,400.5,130,131,130
上海市进才中学北校,上海市高桥中学,711.5,否,389,112,133,129
上海市进才中学北校,上海市川沙中学,718.5,否,394,119,134,130
华东师范大学附属东昌中学南校,上海中学东校,725,否,395.5,126,129,136
华东师范大学附属东昌中学南校,上海市建平中学,745.5,否,428.5,147,135,131
华东师范大学附属东昌中学南校,上海市进才中学,740,否,397,125,127,147
华东师范大学附属东昌中学南校,华东师范大学第二附属中学,757.5,否,420.5,140,134,144
华东师范大学附属东昌中学南校,上海南汇中学,703,否,388.5,135,117,131
华东师范大学附属东昌中学南校,上海市浦东复旦附中分校,751.5,否,418,138,133,140
华东师范大学附属东昌中学南校,上海市洋泾中学,730.5,否,396.5,124,133,140
华东师范大学附属东昌中学南校,上海市高桥中学,701,否,384.5,125,126,127
华东师范大学附属东昌中学南校,上海市川沙中学,725,否,401,126,136,133
上海市洋泾中学东校,上海中学东校,725.5,否,406,131,132,140
上海市洋泾中学东校,上海市建平中学,726,否,404.5,132,129,131
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市洋泾中学东校,上海市进才中学,728.5,否,394,124,126,139
上海市洋泾中学东校,华东师范大学第二附属中学,752,否,419.5,141,132,135
上海市洋泾中学东校,上海南汇中学,703,否,392.5,121,129,121
上海市洋泾中学东校,上海市浦东复旦附中分校,732.5,否,403,127,136,136
上海市洋泾中学东校,上海市洋泾中学,724,否,400.5,128,134,135
上海市洋泾中学东校,上海市高桥中学,711,否,387,123,128,132
上海市洋泾中学东校,上海市川沙中学,718,否,388,127,125,144
上海市上南中学东校,上海中学东校,731.5,否,397,126,129,140
上海市上南中学东校,上海市建平中学,742.5,否,412.5,130,135,133
上海市上南中学东校,上海市进才中学,740.5,否,409.5,138,125,138
上海市上南中学东校,上海南汇中学,701,否,385,126,124,123
上海市上南中学东校,上海市浦东复旦附中分校,751,否,412,129,135,140
上海市上南中学东校,上海市洋泾中学,726.5,否,399,125,131,133
上海市上南中学东校,上海市高桥中学,707,否,386.5,127,126,123
上海市上南中学东校,上海市川沙中学,724,否,407,131,133,133
上海市上南中学北校,上海中学东校,715.5,否,394.5,120,130,127
上海市上南中学北校,上海市建平中学,741,否,410.5,133,134,135
上海市上南中学北校,上海市进才中学,727.5,否,397,130,132,139
上海市上南中学北校,华东师范大学第二附属中学,742.5,否,414.5,144,128,142
上海市上南中学北校,上海南汇中学,685,否,374.5,112,128,119
上海市上南中学北校,上海市浦东复旦附中分校,721,否,393,129,126,140
上海市上南中学北校,上海市洋泾中学,713,否,399.5,127,128,128
上海市上南中学北校,上海市高桥中学,705.5,否,392,121,127,125
上海市上南中学北校,上海市川沙中学,709,否,387.5,126,123,134
上海市三林中学北校,上海中学东校,730,否,402,130,131,135
上海市三林中学北校,上海市建平中学,737.5,否,402,133,129,144
上海市三林中学北校,上海市进才中学,730.5,否,408,138,132,133
上海市三林中学北校,华东师范大学第二附属中学,748.5,否,415.5,134,136,139
上海市三林中学北校,上海南汇中学,704,否,387.5,110,135,130
上海市三林中学北校,上海市浦东复旦附中分校,717.5,否,395.5,129,126,132
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市三林中学北校,上海市洋泾中学,720.5,否,399,121,132,131
上海市三林中学北校,上海市高桥中学,716.5,否,382.5,116,130,142
上海市三林中学北校,上海市川沙中学,717,否,389,121,126,134
上海市洪山中学,上海中学东校,711.5,否,400.5,130,130,125
上海市洪山中学,上海市建平中学,743.5,否,409.5,138,129,139
上海市洪山中学,上海市进才中学,739,否,414.5,142,131,134
上海市洪山中学,上海南汇中学,707,否,379.5,107,133,133
上海市洪山中学,上海市浦东复旦附中分校,739.5,否,410,129,136,135
上海市洪山中学,上海市洋泾中学,722.5,否,400,124,132,131
上海市洪山中学,上海市高桥中学,701,否,377.5,120,125,131
上海市洪山中学,上海市川沙中学,723,否,397.5,125,130,133
上海市上南中学南校,上海市上海中学,743,否,417,141,131,135
上海市上南中学南校,上海中学东校,733,否,396,128,131,142
上海市上南中学南校,上海市建平中学,735,否,404.5,131,130,138
上海市上南中学南校,上海市进才中学,743,否,407,129,134,142
上海市上南中学南校,上海南汇中学,723.5,否,392.5,125,131,145
上海市上南中学南校,上海市浦东复旦附中分校,741.5,否,404,136,132,143
上海市上南中学南校,上海市洋泾中学,720.5,否,394.5,133,124,137
上海市上南中学南校,上海市高桥中学,714.5,否,392.5,120,134,132
上海市上南中学南校,上海市川沙中学,712,否,394,128,124,127
上海市清流中学,上海中学东校,742,否,416.5,136,136,136
上海市清流中学,上海市建平中学,744.5,否,404,128,129,143
上海市清流中学,上海市进才中学,739.5,否,409,129,134,136
上海市清流中学,上海南汇中学,707.5,否,395,126,131,131
上海市清流中学,上海市浦东复旦附中分校,744,否,416,141,134,133
上海市清流中学,上海市洋泾中学,724,否,402.5,126,133,132.5
上海市清流中学,上海市高桥中学,708.5,否,385,119,131,132
上海市清流中学,上海市川沙中学,723.5,否,399.5,125,129,133
上海市浦泾中学,上海中学东校,707,否,381.5,112,127,133
上海市浦泾中学,上海市建平中学,735.5,否,402,126,134,139
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市浦泾中学,上海市进才中学,731.5,否,404.5,134,127,132
上海市浦泾中学,上海南汇中学,694.5,否,382.5,107,133,122
上海市浦泾中学,上海市浦东复旦附中分校,751.5,否,413,134,133,143
上海市浦泾中学,上海市洋泾中学,712.5,否,385.5,127,131,130
上海市浦泾中学,上海市高桥中学,708,否,384.5,113,130,129
上海市浦泾中学,上海市川沙中学,699,否,379,114,126,127
上海市浦泾中学,上海市实验学校,715.5,否,384.5,121,124,137
上海交通大学附属浦东实验中学北校,上海交通大学附属中学,748,否,417,144,127,135
上海交通大学附属浦东实验中学北校,上海中学东校,723.5,否,395,125,126,137
上海交通大学附属浦东实验中学北校,上海市建平中学,738,否,414.5,131,138,132
上海交通大学附属浦东实验中学北校,上海市进才中学,740.5,否,410,138,128,139
上海交通大学附属浦东实验中学北校,上海南汇中学,717,否,394.5,123,130,129
上海交通大学附属浦东实验中学北校,上海市浦东复旦附中分校,742,否,416,143,131,140.5
上海交通大学附属浦东实验中学北校,上海市洋泾中学,711.5,否,386,122,127,136
上海交通大学附属浦东实验中学北校,上海市高桥中学,707.5,否,384.5,130,119,130
上海交通大学附属浦东实验中学北校,上海市川沙中学,711.5,否,391,131,125,136
上海市浦东新区教育学院附属实验中学,上海中学东校,697.5,否,374.5,111,131,133
上海市浦东新区教育学院附属实验中学,上海市建平中学,706,否,382.5,118,122,135
上海市浦东新区教育学院附属实验中学,上海市进才中学,704,否,381.5,113,134,128
上海市浦东新区教育学院附属实验中学,上海南汇中学,681,否,370,113,132,123
上海市浦东新区教育学院附属实验中学,上海市浦东复旦附中分校,716.5,否,390.5,123,132,133
上海市浦东新区教育学院附属实验中学,上海市洋泾中学,661,否,355.5,115,126,114
上海市浦东新区教育学院附属实验中学,上海市高桥中学,698,否,372,120,126,134
上海市浦东新区教育学院附属实验中学,上海市川沙中学,699.5,否,385.5,128,130,124
上海市洋泾中学南校,上海中学东校,726,否,398.5,122,132,133
上海市洋泾中学南校,上海市建平中学,744.5,否,415.5,137,133,134
上海市洋泾中学南校,上海市进才中学,745.5,否,408,135,129,145
上海市洋泾中学南校,上海南汇中学,705.5,否,391,134,119,128
上海市洋泾中学南校,上海市浦东复旦附中分校,757.5,否,421.5,145,130,140
上海市洋泾中学南校,上海师范大学附属中学,723.5,否,396.5,121,134,139
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市洋泾中学南校,上海市洋泾中学,735.5,否,409.5,138,129,134
上海市洋泾中学南校,上海市高桥中学,708,否,384.5,116,132,134
上海市洋泾中学南校,上海市川沙中学,715,否,388,123,123,137
上海市东昌东校,上海中学东校,714,否,390.5,126,125,139
上海市东昌东校,上海市建平中学,735,否,405,140,125,142
上海市东昌东校,上海市进才中学,743,否,413,136,136,137
上海市东昌东校,上海南汇中学,712,否,383,116,130,141
上海市东昌东校,上海市浦东复旦附中分校,729,否,404.5,129,133,131
上海市东昌东校,上海师范大学附属中学,704,否,385,124,126,130
上海市东昌东校,上海市洋泾中学,705.5,否,381,124,122,131
上海市东昌东校,上海市高桥中学,704,否,379.5,120,119,126
上海市东昌东校,上海市川沙中学,703.5,否,382.5,121,127,130
上海市罗山中学,上海中学东校,740,否,415,135,138,132
上海市罗山中学,上海市建平中学,743,否,409,135,132,140
上海市罗山中学,上海市进才中学,737,否,410,129,135,138
上海市罗山中学,上海南汇中学,707.5,否,386.5,117,125,132
上海市罗山中学,上海市浦东复旦附中分校,737,否,399.5,126,132,143
