初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市罗星中学,上海交通大学附属中学,754,否,410,131,131,146
上海市罗星中学,上海市金山中学,728,否,396,119,134,135
上海市罗星中学,华东师范大学第三附属中学,694,否,387,117,129,119
上海市松隐中学,上海市金山中学,684,否,366,113,120,127
上海市松隐中学,华东师范大学第三附属中学,678,否,374,113,125,121
上海市亭新中学,上海市金山中学,714.5,否,383.5,121,126,133
上海市亭新中学,华东师范大学第三附属中学,704.5,否,383,122,125,131
上海市漕泾中学,上海市金山中学,728.5,否,397.5,119,134,138
上海市漕泾中学,华东师范大学第三附属中学,704,否,380,121,122,134
上海市山阳中学,上海市金山中学,724,否,397,129,128,133
上海市山阳中学,华东师范大学第三附属中学,711.5,否,379,120,122,139
上海市张堰第二中学,上海市金山中学,704,否,388.5,126,128,122
上海市张堰第二中学,华东师范大学第三附属中学,697,否,370.5,126,117,136
上海市廊下中学,上海市金山中学,676,否,352,113,126,132
上海市廊下中学,华东师范大学第三附属中学,659.5,否,365,119,126,108
上海市蒙山中学,上海市上海中学,757,否,419.5,138,133,144
上海市蒙山中学,上海市金山中学,729,否,395,119,132,143
上海市蒙山中学,华东师范大学第三附属中学,693.5,否,367.5,108,127,133
上海市金山区教育学院附属中学,上海市金山中学,717,否,393,127,124,135
上海市金山区教育学院附属中学,华东师范大学第三附属中学,700,否,376,124,119,131
上海市金山初级中学,上海市金山中学,725.5,否,394.5,130,126,137
上海市金山初级中学,华东师范大学第三附属中学,701.5,否,377.5,119,129,130.5
上海市西林中学,上海市金山中学,723,否,400.5,128,134,124
上海市西林中学,华东师范大学第三附属中学,692,否,379,116,131,125
上海市朱行中学,上海市金山中学,686.5,否,378,116,130,117
上海市朱行中学,华东师范大学第三附属中学,682.5,否,374.5,114,125,118
上海金山区健桥实验中学,上海市金山中学,722.5,否,396.5,127,128,137
上海金山区健桥实验中学,华东师范大学第三附属中学,699,否,374,122,120,139
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市金山区青少年业余体育学校,上海市金山中学,702,否,375,104,131,138
上海市同凯中学,上海市金山中学,716.5,否,390.5,117,134,134
上海市同凯中学,华东师范大学第三附属中学,704.5,否,376.5,114,129,135
上海市金山实验中学,复旦大学附属中学,747,否,408,129,133,145
上海市金山实验中学,上海市金山中学,722,否,388,123,124,143
上海市金山实验中学,华东师范大学第三附属中学,688.5,否,375.5,108,128,122
华东师范大学附属枫泾中学,上海市金山中学,712,否,383.5,124,122,137
华东师范大学附属枫泾中学,华东师范大学第三附属中学,694.5,否,380.5,125,121,124
上海市金卫中学,上海市金山中学,701.5,否,383,127,126,122
上海市金卫中学,华东师范大学第三附属中学,690,否,373,125,128,125
上海市干巷学校,上海市金山中学,725.5,否,390,117,129,144
上海市干巷学校,华东师范大学第三附属中学,705,否,381,110,129,131
上海市新农学校,上海市金山中学,685.5,否,372.5,123,127,121
上海市新农学校,华东师范大学第三附属中学,675.5,否,361.5,113,118,128
上海市民办金盟学校,上海市金山中学,722.5,否,394,128,124,132
上海市民办金盟学校,华东师范大学第三附属中学,699.5,否,385.5,121,136,125
上海金山区世外学校,上海市金山中学,724.5,否,389.5,127,129,138
上海金山区世外学校,华东师范大学第三附属中学,703,否,381,111,129,137
上海市金山区吕巷学校,上海师范大学附属中学,694.5,否,373.5,122,128,133
上海市金山区吕巷学校,上海市金山中学,683,否,365,110,126,126
上海市金山区吕巷学校,华东师范大学第三附属中学,657,否,349,120,122,122
上海市金山区钱圩学校,上海市金山中学,710,否,382,112,128,133
上海市金山区钱圩学校,华东师范大学第三附属中学,709.5,否,381.5,115,127,133
