初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市第三女子初级中学,上海市第三女子中学,694.5,否,374,121,127,129
上海市第三女子初级中学,上海市延安中学,733.5,否,406,135,134,135
上海市第三女子初级中学,上海市复旦中学,709,否,389,113,132,126
上海市天山第二中学,上海市上海中学,756,否,422.5,137,143,140
上海市天山第二中学,上海市第三女子中学,674.5,否,360.5,124,104,130
上海市天山第二中学,上海市延安中学,723,否,398.5,131,128,137
上海市天山第二中学,上海市复旦中学,707.5,否,383.5,127,113,138
上海市姚连生中学,上海市上海中学,747,否,410,128,138,139
上海市姚连生中学,上海市第三女子中学,698.5,否,384.5,119,129,129
上海市姚连生中学,上海市延安中学,718.5,否,386.5,120,129,140
上海市姚连生中学,上海市复旦中学,711.5,否,385.5,127,122,136
上海市天山初级中学,上海市第三女子中学,702,否,382,109,130,135
上海市天山初级中学,上海市延安中学,732.5,否,400.5,126,131,136
上海市天山初级中学,上海市复旦中学,714,否,389.5,119,133,131
上海市虹桥中学,上海市第三女子中学,708,否,381,108,132,129
上海市虹桥中学,上海市延安中学,716,否,393,123,127,131
上海市虹桥中学,上海市复旦中学,698,否,386.5,122,132,119
上海市延安实验初级中学,上海市第三女子中学,696,否,376,113,130,126
上海市延安实验初级中学,上海市延安中学,729.5,否,402.5,138,126,137
上海市延安实验初级中学,上海市复旦中学,719.5,否,396.5,136,124,132
上海市复旦初级中学,上海市第三女子中学,704,否,386.5,133,127,127
上海市复旦初级中学,上海市延安中学,735,否,404,130,130,137
上海市复旦初级中学,上海市复旦中学,712,否,391,120,128,127
上海市泸定中学,上海市第三女子中学,706,否,384.5,115,135,127
上海市泸定中学,上海市延安中学,737.5,否,395.5,124,134,145
上海市泸定中学,上海市复旦中学,723,否,406,127,132,122
上海市娄山中学,上海市第三女子中学,699,否,376,113,127,131
上海市娄山中学,上海市延安中学,733,否,411.5,140,127,134
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市娄山中学,上海市复旦中学,715,否,385,122,129,139
上海市西延安中学,上海市第三女子中学,699,否,384,116,132,119
上海市西延安中学,上海市延安中学,738.5,否,404.5,127,131,140
上海市西延安中学,上海市复旦中学,708,否,380.5,107,135,135
上海市西延安中学,华东师范大学第二附属中学,763,否,424.5,146,133,144
上海市西延安中学,上海师范大学附属中学,742,否,410.5,136,130,139
上海市新泾中学,上海市第三女子中学,708,否,387,105,136,125
上海市新泾中学,上海市延安中学,732.5,否,408,132,132,132
上海市新泾中学,上海市复旦中学,717.5,否,389.5,116,130,134
上海市民办新世纪中学,上海市第三女子中学,693,否,373.5,129,119,129
上海市民办新世纪中学,上海市延安中学,734.5,否,407.5,123,140,135
上海市民办新世纪中学,上海市复旦中学,718.5,否,389,128,124,133
上海市民办新世纪中学,华东师范大学第二附属中学,752.5,否,413.5,134,133,143
上海市延安初级中学,上海市第三女子中学,690,否,378.5,103,129,119
上海市延安初级中学,上海市延安中学,737.5,否,408,135,128,138
上海市延安初级中学,上海市复旦中学,708,否,386.5,128,125,132
上海市延安初级中学,上海交通大学附属中学,764.5,否,421,140,133,143
上海市建青实验学校,上海市第三女子中学,705,否,391,124,127,124
上海市建青实验学校,上海市延安中学,726.5,否,405.5,130,132,127
上海市建青实验学校,上海市复旦中学,716.5,否,386.5,124,126,138
上海市西郊学校,上海市第三女子中学,687,否,373.5,101,129,116
上海市西郊学校,上海市延安中学,703,否,382.5,122,122,132
上海市西郊学校,上海市复旦中学,699.5,否,379.5,115,135,127
上海市西郊学校,上海交通大学附属中学,727.5,否,401,128,130,135
华东政法大学附属中学,上海市第三女子中学,698,否,382.5,125,123,125
华东政法大学附属中学,上海市延安中学,735.5,否,407.5,128,138,138
华东政法大学附属中学,上海市复旦中学,721,否,393,129,123,138
上海市仙霞高级中学,上海市第三女子中学,687,否,369.5,114,124,125
上海市仙霞高级中学,上海市延安中学,735.5,否,395.5,117,134,144
上海市仙霞高级中学,上海市复旦中学,721.5,否,400.5,131,128,131
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市开元学校,上海市第三女子中学,694.5,否,381.5,119,127,124
上海市开元学校,上海市延安中学,726.5,否,399.5,127,129,139
上海市开元学校,上海市复旦中学,707.5,否,386,125,128,137
上海市开元学校,复旦大学附属中学,742.5,否,410.5,142,128,142
