初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市航华中学,上海市第二中学（梅陇校区）,731,否,402,123,136,137
上海市航华中学,复旦大学附属中学,758,否,423,150,128,138
上海市航华中学,上海市七宝中学,733.5,否,400.5,132,133,137
上海市航华中学,华东师范大学第二附属中学闵行紫竹分校,730,否,394,122,130,141
上海市航华中学,上海师范大学附属中学闵行分校,734,否,409,123,139,129
上海市航华中学,上海交通大学附属中学闵行分校,737.5,否,413.5,137,128,129
上海市航华中学,上海市闵行中学,727,否,404,128,129,132
上海市闵行区上虹中学,上海市第二中学（梅陇校区）,708,否,379.5,114,123,133
上海市闵行区上虹中学,上海市上海中学,746.5,否,413.5,132,134,140
上海市闵行区上虹中学,上海市七宝中学,743,否,402,127,134,146
上海市闵行区上虹中学,华东师范大学第二附属中学闵行紫竹分校,741,否,418,142,131,123
上海市闵行区上虹中学,上海师范大学附属中学闵行分校,733,否,397.5,134,131,140
上海市闵行区上虹中学,上海交通大学附属中学闵行分校,741.5,否,411.5,143,123,139
上海市闵行区上虹中学,上海市闵行中学,722,否,399,127,130,130
上海市龙柏中学,上海市第二中学（梅陇校区）,734,否,400,127,130,140
上海市龙柏中学,上海交通大学附属中学,762,否,419,143,132,143
上海市龙柏中学,上海市七宝中学,747.5,否,416.5,142,131,142
上海市龙柏中学,华东师范大学第二附属中学闵行紫竹分校,734,否,403.5,140,129,137
上海市龙柏中学,上海师范大学附属中学闵行分校,722.5,否,395,120,134,135
上海市龙柏中学,上海交通大学附属中学闵行分校,739,否,405,126,134,139
上海市龙柏中学,上海市闵行中学,718,否,387.5,118,133,134
上海市闵行区七宝第二中学,上海市向明中学（浦江校区）,735,否,401,129,129,142
上海市闵行区七宝第二中学,上海市第二中学（梅陇校区）,729,否,391.5,125,134,140
上海市闵行区七宝第二中学,上海市上海中学,753,否,417,137,136,141
上海市闵行区七宝第二中学,上海市七宝中学,746,否,407.5,134,131,141
上海市闵行区七宝第二中学,华东师范大学第二附属中学闵行紫竹分校,741,否,406.5,132,133,141
上海市闵行区七宝第二中学,上海师范大学附属中学闵行分校,735.5,否,400,121,136,133
上海市闵行区七宝第二中学,上海交通大学附属中学闵行分校,743,否,409.5,137,127,144
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
