初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市青浦区实验中学,上海市上海中学,764,否,425,145,136,143
上海市青浦区实验中学,上海市青浦高级中学,720.5,否,394,119,133,135
上海市青浦区实验中学,复旦大学附属中学青浦分校,747,否,415,138,134,141
上海市青浦区实验中学,上海市朱家角中学,703,否,382,107,129,130
上海市青浦区东方中学,上海市青浦高级中学,719,否,395,129,125,133
上海市青浦区东方中学,复旦大学附属中学青浦分校,739.5,否,414,136,133,134
上海市青浦区东方中学,上海市朱家角中学,694,否,378,116,124,126
上海市青浦区尚美中学,上海市青浦高级中学,722.5,否,400.5,136,130,128
上海市青浦区尚美中学,复旦大学附属中学青浦分校,742.5,否,405.5,136,124,142
上海市青浦区尚美中学,上海市朱家角中学,699.5,否,382.5,121,126,123
上海市青浦区徐泾中学,上海市青浦高级中学,720,否,397,124,129,130
上海市青浦区徐泾中学,复旦大学附属中学青浦分校,741,否,413,139,134,132
上海市青浦区徐泾中学,上海市朱家角中学,698,否,384,117,131,120
上海市青浦区凤溪中学,上海市青浦高级中学,720,否,398,121,136,127
上海市青浦区凤溪中学,复旦大学附属中学青浦分校,734,否,398,129,126,141
上海市青浦区凤溪中学,上海市朱家角中学,706,否,380.5,115,128,129
上海市青浦区重固中学,上海市青浦高级中学,708,否,390,116,128,122
上海市青浦区重固中学,复旦大学附属中学青浦分校,747,否,411,141,127,142
上海市青浦区重固中学,上海市朱家角中学,701.5,否,392.5,111,134,114
上海市青浦区豫才中学,上海师范大学附属中学,737.5,否,413.5,135,137,133
上海市青浦区豫才中学,上海市青浦高级中学,718.5,否,395.5,128,127,133
上海市青浦区豫才中学,复旦大学附属中学青浦分校,744,否,409,128,137,138
上海市青浦区豫才中学,上海市朱家角中学,695.5,否,381.5,105,135,120
上海市青浦区华新中学,上海市青浦高级中学,721,否,393,125,130,139
上海市青浦区华新中学,复旦大学附属中学青浦分校,742.5,否,410,133,132,137
上海市青浦区华新中学,上海市朱家角中学,696.5,否,387.5,120,131,116
上海市青浦区白鹤中学,华东师范大学第二附属中学,743,否,410,133,131,139
上海市青浦区白鹤中学,上海市青浦高级中学,702,否,378.5,123,118,133
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市青浦区白鹤中学,复旦大学附属中学青浦分校,712.5,否,384.5,115,125,134
上海市青浦区白鹤中学,上海市朱家角中学,692,否,372,117,134,134
上海市青浦区珠溪中学,上海市青浦高级中学,701,否,384.5,116,124,133
上海市青浦区珠溪中学,复旦大学附属中学青浦分校,722.5,否,397.5,130,123,132
上海市青浦区珠溪中学,上海市朱家角中学,694.5,否,379.5,111,131,123
上海市青浦区沈巷中学,上海市青浦高级中学,688,否,377,120,127,126
上海市青浦区沈巷中学,复旦大学附属中学青浦分校,673.5,否,359.5,112,115,123
上海市青浦区沈巷中学,上海市朱家角中学,681.5,否,367.5,120,128,126
上海市青浦区颜安中学,上海市青浦高级中学,686,否,373,114,121,122
上海市青浦区颜安中学,复旦大学附属中学青浦分校,699,否,370.5,107,124,135
上海市青浦区颜安中学,上海市朱家角中学,671,否,345,118,118,136
上海市青浦区金泽中学,上海市青浦高级中学,691.5,否,368.5,121,120,136
上海市青浦区金泽中学,复旦大学附属中学青浦分校,725,否,400,124,131,132
上海市青浦区金泽中学,上海市朱家角中学,668,否,350.5,107,127,126
上海政法学院附属青浦崧淀中学,上海市青浦高级中学,711,否,390,116,130,125
上海政法学院附属青浦崧淀中学,复旦大学附属中学青浦分校,730,否,398.5,131,125,138
上海政法学院附属青浦崧淀中学,上海市朱家角中学,692,否,374,117,124,125
上海市教育学会青浦清河湾中学,上海市青浦高级中学,722.5,否,397,128,127,136
