初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市市西初级中学,上海市市西中学,737.5,否,403.5,130,128,139
上海市市西初级中学,上海市育才中学,712,否,395,126,128,124
上海市市西初级中学,上海市新中高级中学,703,否,387,119,123,129
上海市市西初级中学,上海市市北中学,728,否,397,128,127,138
上海市市西初级中学,上海市回民中学,658.5,否,346.5,93,121,122
上海市市西初级中学,上海市第六十中学,657,否,355,106,120,115
上海市市西初级中学,上海市华东模范中学,673.5,否,377,126,121,113
上海市育才初级中学,上海市市西中学,734,否,406,131,131,136
上海市育才初级中学,上海市育才中学,718,否,390,123,125,136
上海市育才初级中学,上海市新中高级中学,699.5,否,380,116,131,130
上海市育才初级中学,上海市市北中学,722,否,394,126,127,138
上海市育才初级中学,上海市第六十中学,670.5,否,367.5,112,122,120
上海市静安区协和双语培明学校,上海市市西中学,719.5,否,401.5,135,125,125
上海市静安区协和双语培明学校,上海市育才中学,700,否,390.5,122,132,118
上海市静安区协和双语培明学校,上海市新中高级中学,690,否,382.5,116,128,126
上海市静安区协和双语培明学校,上海市市北中学,700.5,否,375.5,115,126,133
上海市静安区协和双语培明学校,上海市回民中学,657.5,否,363.5,105,125,108
上海市静安区协和双语培明学校,上海市第六十中学,677.5,否,368.5,131,120,118
上海市静安区协和双语培明学校,上海市华东模范中学,671.5,否,363,123,123,128
上海市静安区协和双语培明学校,上海交通大学附属中学,753.5,否,420.5,139,134,138
上海市时代中学,上海市市西中学,726,否,389.5,127,127,144
上海市时代中学,上海市育才中学,732,否,398,125,131,139
上海市时代中学,上海市新中高级中学,699.5,否,387.5,122,130,124
上海市时代中学,上海市市北中学,709.5,否,381.5,112,127,138
上海市时代中学,上海市回民中学,666.5,否,366.5,109,126,113
上海市时代中学,上海市第六十中学,687,否,376.5,100,138,111
上海市时代中学,上海市华东模范中学,670.5,否,370.5,116,121,113
上海市五四中学,上海市市西中学,734,否,401,128,131,139
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市五四中学,上海市育才中学,714,否,382.5,117,132,138
上海市五四中学,上海市新中高级中学,704,否,383.5,115,132,127
上海市五四中学,上海市市北中学,729,否,399.5,128,131,139
上海市五四中学,上海市回民中学,675.5,否,380.5,118,129,105
上海市五四中学,上海市第六十中学,664,否,373,110,127,104
上海市五四中学,上海市华东模范中学,679.5,否,363.5,122,126,135
民办上海上外静安外国语中学,上海市市西中学,735.5,否,405.5,134,132,137
民办上海上外静安外国语中学,上海市育才中学,710,否,395.5,124,130,127
民办上海上外静安外国语中学,上海市新中高级中学,706,否,383.5,114,129,131
民办上海上外静安外国语中学,上海市市北中学,724,否,399,128,134,133
民办上海上外静安外国语中学,上海市第六十中学,678,否,365.5,111,127,122
民办上海上外静安外国语中学,上海市华东模范中学,657.5,否,363.5,93,128,110
民办上海上外静安外国语中学,复旦大学附属中学,743.5,否,404,133,128,141
上海市静安区市北初级中学北校,上海市市西中学,730.5,否,397.5,140,130,140
上海市静安区市北初级中学北校,上海市育才中学,706,否,384,118,123,128
上海市静安区市北初级中学北校,上海市新中高级中学,715,否,394,133,129,129
上海市静安区市北初级中学北校,上海市市北中学,722,否,392.5,125,129,135
上海市静安区市北初级中学北校,上海市回民中学,674.5,否,368.5,108,129,119
上海市静安区市北初级中学北校,上海市第六十中学,693.5,否,389,119,131,115
上海市静安区市北初级中学北校,上海市华东模范中学,682.5,否,368,110,125,125
上海市静安区市北初级中学北校,复旦大学附属中学,745,否,408.5,135,128,143
上海市新中初级中学,上海市上海中学,748.5,否,409.5,125,136,144
上海市新中初级中学,上海市市西中学,734,否,407,128,135,138
上海市新中初级中学,上海市育才中学,707,否,388,114,133,126
上海市新中初级中学,上海市新中高级中学,713,否,388.5,118,127,132
上海市新中初级中学,上海市市北中学,728,否,400,130,131,133
上海市新中初级中学,上海市回民中学,665.5,否,366,114,128,112
上海市新中初级中学,上海市第六十中学,686.5,否,378,122,123,124
上海市新中初级中学,上海市华东模范中学,665.5,否,374,117,122,112
上海市静安区实验中学,上海市市西中学,708.5,否,383.5,121,126,137
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
