初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市格致初级中学,上海市格致中学,738,否,406,127,134,135
上海市格致初级中学,上海市格致中学（奉贤校区）,723,否,400.5,126,130,127
上海市格致初级中学,上海市大同中学,733.5,否,405.5,138,124,134
上海市格致初级中学,上海市向明中学,722,否,393,130,126,133
上海市格致初级中学,上海市向明中学（浦江校区）,709,否,387,124,133,130
上海市格致初级中学,上海外国语大学附属大境中学,700,否,387,120,130,121
上海市格致初级中学,上海市光明中学,678.5,否,362.5,111,121,121
上海市格致初级中学,上海市敬业中学,706,否,386,113,129,126
上海市格致初级中学,上海市卢湾高级中学,676,否,365,112,129,125
上海市大同初级中学,上海市格致中学,734,否,404.5,128,134,138
上海市大同初级中学,上海市格致中学（奉贤校区）,727.5,否,401.5,127,132,132
上海市大同初级中学,上海市大同中学,739,否,406.5,128,135,137
上海市大同初级中学,上海市向明中学,723.5,否,395,125,126,136
上海市大同初级中学,上海市向明中学（浦江校区）,725.5,否,408.5,137,129,129
上海市大同初级中学,上海外国语大学附属大境中学,691,否,380.5,115,124,127
上海市大同初级中学,上海市光明中学,676.5,否,363.5,111,124,120
上海市大同初级中学,上海市敬业中学,702.5,否,378,120,127,135
上海市大同初级中学,上海市卢湾高级中学,679.5,否,375.5,114,123,112
上海市向明初级中学,上海市格致中学,727.5,否,398.5,119,132,132
上海市向明初级中学,上海市格致中学（奉贤校区）,713.5,否,388.5,122,127,135.5
上海市向明初级中学,上海市大同中学,734,否,403,138,120,136
上海市向明初级中学,上海市向明中学,719,否,396,124,129,127
上海市向明初级中学,上海市向明中学（浦江校区）,711.5,否,384.5,115,123,134
上海市向明初级中学,上海外国语大学附属大境中学,695,否,384,122,125,123
上海市向明初级中学,上海市光明中学,677.5,否,369.5,124,126,118
上海市向明初级中学,上海市敬业中学,701.5,否,379,116,124,131
上海市向明初级中学,上海市卢湾高级中学,694.5,否,370.5,126,122,133
上海外国语大学附属大境初级中学,上海市格致中学,729.5,否,396.5,127,130,138
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海外国语大学附属大境初级中学,上海市格致中学（奉贤校区）,729,否,401.5,126,128,134
上海外国语大学附属大境初级中学,上海市大同中学,720,否,397,121,130,129
上海外国语大学附属大境初级中学,上海市向明中学,719.5,否,387.5,115,134,137
上海外国语大学附属大境初级中学,上海市向明中学（浦江校区）,697,否,377,113,127,123
上海外国语大学附属大境初级中学,上海外国语大学附属大境中学,698.5,否,373,112,121,135
上海外国语大学附属大境初级中学,上海市光明中学,685,否,374,117,125,120
上海外国语大学附属大境初级中学,上海市敬业中学,710,否,391,115,131,129
上海外国语大学附属大境初级中学,上海市卢湾高级中学,692.5,否,367.5,113,122,129
上海市光明初级中学,上海市格致中学,723,否,398,128,128,131
上海市光明初级中学,上海市格致中学（奉贤校区）,730.5,否,409.5,136,130,132
上海市光明初级中学,上海市大同中学,735.5,否,405.5,132,132,131
上海市光明初级中学,上海市向明中学,714,否,396.5,123,128,123
上海市光明初级中学,上海市向明中学（浦江校区）,699.5,否,379.5,117,129,126
上海市光明初级中学,上海外国语大学附属大境中学,702,否,379,116,129,129
上海市光明初级中学,上海市光明中学,668.5,否,358.5,105,118,115
上海市光明初级中学,上海市敬业中学,708,否,388.5,119,125,127
上海市光明初级中学,上海市卢湾高级中学,701.5,否,385.5,133,123,129
上海市敬业初级中学,上海市格致中学,728,否,402.5,139,125,130
上海市敬业初级中学,上海市格致中学（奉贤校区）,713,否,388.5,126,125,133
上海市敬业初级中学,上海市大同中学,731.5,否,407,128,135,133
上海市敬业初级中学,上海市向明中学,716,否,391,137,115,138
上海市敬业初级中学,上海市向明中学（浦江校区）,665,否,360,106,122,115
上海市敬业初级中学,上海外国语大学附属大境中学,703,否,395.5,125,134,119
上海市敬业初级中学,上海市光明中学,677.5,否,365.5,120,118,118
上海市敬业初级中学,上海市敬业中学,704,否,383.5,127,121,133
上海市敬业初级中学,上海市卢湾高级中学,681.5,否,363.5,117,122,126
上海市卢湾中学,上海市格致中学,733.5,否,404.5,130,133,133
上海市卢湾中学,上海市格致中学（奉贤校区）,716,否,382.5,124,124,140
上海市卢湾中学,上海市大同中学,734,否,409.5,136,137,128
上海市卢湾中学,上海市向明中学,722.5,否,392.5,132,121,135
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市卢湾中学,上海市向明中学（浦江校区）,697,否,375.5,101,128,129
上海市卢湾中学,上海外国语大学附属大境中学,707,否,389,116,130,123
上海市卢湾中学,上海市光明中学,683,否,364,110,120,125
上海市卢湾中学,上海市敬业中学,705.5,否,384.5,123,124,130
上海市卢湾中学,上海市卢湾高级中学,696.5,否,375,107,128,127
上海市卢湾中学,上海市上海中学,758,否,427,142,141,135
上海市市八初级中学,上海市格致中学,713,否,399,125,133,118
上海市市八初级中学,上海市格致中学（奉贤校区）,720.5,否,399.5,130,128,129
上海市市八初级中学,上海市大同中学,724,否,400.5,130,125,128
上海市市八初级中学,上海市向明中学,689,否,368.5,114,125,134
上海市市八初级中学,上海市向明中学（浦江校区）,702,否,384.5,110,134,127
上海市市八初级中学,上海外国语大学附属大境中学,678.5,否,373,112,123,113
上海市市八初级中学,上海市光明中学,677.5,否,371.5,111,126,119
上海市市八初级中学,上海市敬业中学,686.5,否,378.5,111,126,117
上海市市八初级中学,上海市卢湾高级中学,683.5,否,379,128,118,119
上海市尚文中学,上海市格致中学,722.5,否,399,121,133,132
