序号,学校招生代码,学校名称,所属区,办别,学校类型,寄宿情况,计划区域,计划数
1,042032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,松江,10
2,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,松江,11
3,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,松江,10
4,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,松江,8
5,152006,上海师范大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,松江,9
6,012001,上海市格致中学,黄浦区,公办,市实验性示范性高中,部分寄宿,松江,12
7,012003,上海市大同中学,黄浦区,公办,市实验性示范性高中,部分寄宿,松江,7
8,012008,上海市光明中学,黄浦区,公办,市实验性示范性高中,无寄宿,松江,5
9,012009,上海市敬业中学,黄浦区,公办,市实验性示范性高中,无寄宿,松江,3
10,012010,上海市卢湾高级中学,黄浦区,公办,市实验性示范性高中,部分寄宿,松江,10
11,042001,上海市第二中学,徐汇区,公办,市实验性示范性高中,无寄宿,松江,3
12,042008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,松江,5
13,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,松江,4
14,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,松江,4
15,052001,上海市第三女子中学,长宁区,公办,市实验性示范性高中,部分寄宿,松江,4
16,052002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,松江,3
17,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,松江,2
18,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,松江,3
19,064001,上海市华东模范中学,静安区,公办,市实验性示范性高中,无寄宿,松江,1
20,072001,上海市晋元高级中学,普陀区,公办,市实验性示范性高中,全部寄宿,松江,10
21,072002,上海市曹杨第二中学,普陀区,公办,市实验性示范性高中,部分寄宿,松江,3
22,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,松江,5
23,092002,华东师范大学第一附属中学,虹口区,公办,市实验性示范性高中,部分寄宿,松江,7
24,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,松江,8
25,102032,上海市控江中学,杨浦区,公办,市实验性示范性高中,部分寄宿,松江,1
26,103002,同济大学第一附属中学,杨浦区,公办,市实验性示范性高中,部分寄宿,松江,2
27,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,松江,15
28,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,松江,11
29,122003,上海师范大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,松江,8
30,122004,上海交通大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,松江,3
31,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,部分寄宿,松江,2
32,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,松江,5
33,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,松江,2
34,142002,上海交通大学附属中学嘉定分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,松江,3
35,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,松江,4
36,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,全部寄宿,松江,10
37,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,松江,7
38,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,松江,8
39,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,松江,8
40,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,松江,3
41,151078,上海中学东校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,松江,6
42,152005,上海市浦东复旦附中分校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,松江,2
43,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,松江,11
44,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,松江,6
45,172001,上海市松江二中,松江区,公办,市实验性示范性高中,全部寄宿,松江,8
46,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,松江,8
47,172002,华东师范大学第二附属中学松江分校,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,松江,2
48,174003,上海外国语大学附属外国语学校松江云间中学,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,松江,8
49,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,松江,15
50,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,松江,13
51,182002,复旦大学附属中学青浦分校,青浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,松江,4
52,202001,上海市奉贤中学,奉贤区,公办,市实验性示范性高中,全部寄宿,松江,8
53,512000,上海市崇明中学,崇明区,公办,市实验性示范性高中,全部寄宿,松江,6
