序号,学校招生代码,学校名称,所属区,办别,学校类型,寄宿情况,计划区域,计划数
1,042032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,青浦,4
2,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,青浦,6
3,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,青浦,4
4,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,青浦,5
5,152006,上海师范大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,青浦,2
6,012003,上海市大同中学,黄浦区,公办,市实验性示范性高中,部分寄宿,青浦,2
7,042001,上海市第二中学,徐汇区,公办,市实验性示范性高中,无寄宿,青浦,3
8,042008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,青浦,4
9,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,青浦,5
10,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,青浦,2
11,052001,上海市第三女子中学,长宁区,公办,市实验性示范性高中,部分寄宿,青浦,4
12,052002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,青浦,3
13,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,青浦,2
14,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,青浦,3
15,062003,上海市新中高级中学,静安区,公办,市实验性示范性高中,部分寄宿,青浦,2
16,072001,上海市晋元高级中学,普陀区,公办,市实验性示范性高中,全部寄宿,青浦,4
17,072002,上海市曹杨第二中学,普陀区,公办,市实验性示范性高中,部分寄宿,青浦,3
18,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,青浦,3
19,092002,华东师范大学第一附属中学,虹口区,公办,市实验性示范性高中,部分寄宿,青浦,2
20,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,青浦,2
21,102032,上海市控江中学,杨浦区,公办,市实验性示范性高中,部分寄宿,青浦,3
22,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,青浦,7
23,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,青浦,5
24,122003,上海师范大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,青浦,4
25,122004,上海交通大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,青浦,3
26,132001,上海市行知中学,宝山区,公办,市实验性示范性高中,部分寄宿,青浦,3
27,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,部分寄宿,青浦,2
28,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,青浦,2
29,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,青浦,6
30,142002,上海交通大学附属中学嘉定分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,青浦,3
31,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,青浦,4
32,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,全部寄宿,青浦,5
33,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,青浦,5
34,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,青浦,6
35,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,青浦,6
36,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,青浦,2
37,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,青浦,4
38,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,青浦,3
39,172001,上海市松江二中,松江区,公办,市实验性示范性高中,全部寄宿,青浦,11
40,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,青浦,8
41,174003,上海外国语大学附属外国语学校松江云间中学,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,青浦,9
42,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,青浦,11
43,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,青浦,11
44,182002,复旦大学附属中学青浦分校,青浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,青浦,2
45,202001,上海市奉贤中学,奉贤区,公办,市实验性示范性高中,全部寄宿,青浦,2
46,512000,上海市崇明中学,崇明区,公办,市实验性示范性高中,全部寄宿,青浦,2
