序号,"初中学
校代码",初中学校名称,"招生学
校代码",学校名称,所属区,"计划
数"
1,201001,上海市奉贤区青少年业余体育学校,012002,上海市格致中学（奉贤校区）,黄浦区,1
2,201001,上海市奉贤区青少年业余体育学校,202001,上海市奉贤中学,奉贤区,2
3,201001,上海市奉贤区青少年业余体育学校,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,1
4,201002,上海市奉贤区古华中学,012002,上海市格致中学（奉贤校区）,黄浦区,1
5,201002,上海市奉贤区古华中学,202001,上海市奉贤中学,奉贤区,8
6,201002,上海市奉贤区古华中学,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,1
7,201003,上海市奉贤区实验中学,012002,上海市格致中学（奉贤校区）,黄浦区,2
8,201003,上海市奉贤区实验中学,042032,上海市上海中学,徐汇区,1
9,201003,上海市奉贤区实验中学,152006,上海师范大学附属中学,浦东新区,1
10,201003,上海市奉贤区实验中学,202001,上海市奉贤中学,奉贤区,16
11,201003,上海市奉贤区实验中学,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,2
12,201004,上海市奉贤中学附属南桥中学,012002,上海市格致中学（奉贤校区）,黄浦区,1
13,201004,上海市奉贤中学附属南桥中学,202001,上海市奉贤中学,奉贤区,7
14,201004,上海市奉贤中学附属南桥中学,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,1
15,201005,上海市奉贤区汇贤中学,012002,上海市格致中学（奉贤校区）,黄浦区,2
16,201005,上海市奉贤区汇贤中学,202001,上海市奉贤中学,奉贤区,12
17,201005,上海市奉贤区汇贤中学,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,2
18,201010,上海市奉贤区塘外中学,012002,上海市格致中学（奉贤校区）,黄浦区,1
19,201010,上海市奉贤区塘外中学,202001,上海市奉贤中学,奉贤区,2
20,201010,上海市奉贤区塘外中学,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,1
21,201011,上海市奉贤区青村中学,012002,上海市格致中学（奉贤校区）,黄浦区,1
22,201011,上海市奉贤区青村中学,202001,上海市奉贤中学,奉贤区,2
23,201011,上海市奉贤区青村中学,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,1
24,201012,上海市奉贤区奉城第二中学,012002,上海市格致中学（奉贤校区）,黄浦区,1
25,201012,上海市奉贤区奉城第二中学,202001,上海市奉贤中学,奉贤区,5
26,201012,上海市奉贤区奉城第二中学,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,1
27,201013,上海市奉贤区头桥中学,012002,上海市格致中学（奉贤校区）,黄浦区,1
28,201013,上海市奉贤区头桥中学,202001,上海市奉贤中学,奉贤区,2
29,201013,上海市奉贤区头桥中学,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,1
30,201014,上海市奉贤区洪庙中学,012002,上海市格致中学（奉贤校区）,黄浦区,1
31,201014,上海市奉贤区洪庙中学,202001,上海市奉贤中学,奉贤区,2
32,201014,上海市奉贤区洪庙中学,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,1
33,201015,上海市奉贤区四团中学,012002,上海市格致中学（奉贤校区）,黄浦区,1
34,201015,上海市奉贤区四团中学,102057,复旦大学附属中学,杨浦区,1
35,,,202001,上海市奉贤中学,奉贤区,3
36,,,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,1
37,201016,上海市奉贤区青溪中学,012002,上海市格致中学（奉贤校区）,黄浦区,2
38,201016,上海市奉贤区青溪中学,102056,上海交通大学附属中学,杨浦区,1
39,201016,上海市奉贤区青溪中学,202001,上海市奉贤中学,奉贤区,10
40,201016,上海市奉贤区青溪中学,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,2
41,201017,上海市奉贤区尚同中学,012002,上海市格致中学（奉贤校区）,黄浦区,1
42,201017,上海市奉贤区尚同中学,202001,上海市奉贤中学,奉贤区,4
43,201017,上海市奉贤区尚同中学,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,1
44,201018,上海外国语大学附属奉贤实验中学,012002,上海市格致中学（奉贤校区）,黄浦区,1
45,201018,上海外国语大学附属奉贤实验中学,202001,上海市奉贤中学,奉贤区,4
46,201018,上海外国语大学附属奉贤实验中学,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,1
47,201019,上海市奉贤区崇实中学,012002,上海市格致中学（奉贤校区）,黄浦区,2
48,201019,上海市奉贤区崇实中学,202001,上海市奉贤中学,奉贤区,11
49,201019,上海市奉贤区崇实中学,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,2
50,201020,上海市奉贤区待问中学,012002,上海市格致中学（奉贤校区）,黄浦区,1
51,201020,上海市奉贤区待问中学,202001,上海市奉贤中学,奉贤区,6
52,201020,上海市奉贤区待问中学,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,1
53,201021,上海市奉贤中学附属初级中学,012002,上海市格致中学（奉贤校区）,黄浦区,1
54,201021,上海市奉贤中学附属初级中学,202001,上海市奉贤中学,奉贤区,2
55,201021,上海市奉贤中学附属初级中学,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,1
56,204002,上海市奉贤区肖塘中学,012002,上海市格致中学（奉贤校区）,黄浦区,1
57,204002,上海市奉贤区肖塘中学,202001,上海市奉贤中学,奉贤区,3
58,204002,上海市奉贤区肖塘中学,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,1
59,205002,上海市奉贤区育秀中学,012002,上海市格致中学（奉贤校区）,黄浦区,2
60,205002,上海市奉贤区育秀中学,202001,上海市奉贤中学,奉贤区,14
61,205002,上海市奉贤区育秀中学,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,2
62,205003,上海市奉贤区华亭学校,012002,上海市格致中学（奉贤校区）,黄浦区,1
63,205003,上海市奉贤区华亭学校,202001,上海市奉贤中学,奉贤区,9
64,205003,上海市奉贤区华亭学校,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,2
65,205004,上海市奉贤区西渡学校,012002,上海市格致中学（奉贤校区）,黄浦区,1
66,205004,上海市奉贤区西渡学校,202001,上海市奉贤中学,奉贤区,6
67,205004,上海市奉贤区西渡学校,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,1
68,205005,上海市奉贤区新寺学校,012002,上海市格致中学（奉贤校区）,黄浦区,1
69,205005,上海市奉贤区新寺学校,202001,上海市奉贤中学,奉贤区,1
70,205005,上海市奉贤区新寺学校,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,1
71,205006,,012002,上海市格致中学（奉贤校区）,黄浦区,1
72,,上海奉贤区博华双语学校,202001,上海市奉贤中学,奉贤区,2
73,,上海奉贤区博华双语学校,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,1
74,205007,上海市奉贤区胡桥学校,012002,上海市格致中学（奉贤校区）,黄浦区,1
75,205007,上海市奉贤区胡桥学校,202001,上海市奉贤中学,奉贤区,2
76,205007,上海市奉贤区胡桥学校,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,1
77,205008,上海市奉贤区柘林学校,012002,上海市格致中学（奉贤校区）,黄浦区,1
78,205008,上海市奉贤区柘林学校,202001,上海市奉贤中学,奉贤区,2
79,205008,上海市奉贤区柘林学校,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,1
80,205009,上海市奉贤区阳光外国语学校,012002,上海市格致中学（奉贤校区）,黄浦区,1
81,205009,上海市奉贤区阳光外国语学校,202001,上海市奉贤中学,奉贤区,8
82,205009,上海市奉贤区阳光外国语学校,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,1
83,205010,上海市奉贤区庄行学校,012002,上海市格致中学（奉贤校区）,黄浦区,1
84,205010,上海市奉贤区庄行学校,202001,上海市奉贤中学,奉贤区,3
