初中学校代码,初中学校名称,上海市控江中学,"上海市
杨浦高级中学",同济大学 第一附属中学,上海交通大学附属中学,复旦大学附属中学,华东师范大学第二附属中学,上海市上海中学
初中学校代码,初中学校名称,102032,102004,103002,102056,102057,152003,042032
101000,上海市铁岭中学,14,14,12,,1,,
101001,上海市鞍山初级中学,7,7,6,1,,,
101002,上海市十五中学,5,5,4,,,,
101003,上海市杨浦初级中学,1,1,1,,,,
101004,上海市惠民中学,4,4,3,,,1,
101005,上海市辽阳中学,9,9,7,,,,
101006,上海市新大桥中学,4,4,3,1,,,
101007,上海市建设初级中学,2,2,2,,,,
101008,上海市东辽阳中学,1,1,1,,,,1
101009,上海市二十五中学,4,4,3,,,1,
101012,上海理工大学附属初级中学,9,9,8,,1,,
101014,上海市杨浦区教育学院附属中学,2,2,2,,,,
101015,上海市同济初级中学,7,7,6,1,,,
101016,"上海市三门中学（上海财经大学
附属初级中学）",9,9,7,,1,,
101018,上海市包头中学,4,4,3,1,,,
101019,上海市思源中学,6,6,5,,1,,
初中学校代码,初中学校名称,102032,102004,103002,102056,102057,152003,042032
101020,上海市鞍山实验中学,6,6,5,,,,
101021,上海市同济第二初级中学,5,5,4,,,,
101022,上海市国和中学,10,10,8,1,,,
101023,上海理工大学附属实验初级中学,5,5,4,,,,
101024,上海市控江初级中学,11,11,9,,1,,
101026,上海市存志学校,8,8,7,1,,,
101027,上海民办杨浦凯慧初级中学,6,6,5,,1,,
103012,"上海市市东实验学校（上海市市
东中学）",6,6,5,,,,
103075,上海市复旦实验中学,9,9,8,1,,,
104001,上海民办兰生中学,7,7,6,,,,1
104014,上海市长阳实验学校,5,5,4,,,,
104067,上海民办杨浦实验学校,5,5,4,1,,,
104073,上海市体育学院附属中学,1,1,1,,,,
105000,上海音乐学院实验学校,12,12,10,1,,,
105001,上海市黄兴学校,5,5,4,,,,
105002,上海市昆明学校,6,6,5,,1,,
105003,上海市育鹰学校,3,3,2,,1,,
105004,上海杨浦双语学校,8,8,7,,1,,
105005,上海市市光学校,8,8,7,1,,,
105006,上海民办沪东外国语学校,2,2,2,,,,
105007,上海同大实验学校,4,4,3,,,,
105008,复旦大学第二附属学校,10,10,8,,1,,
