序号,初中学校名称,上海市上海中学,复旦大学附属中学,上海交通大学附属中学,华东师范大学第二附属中学,上海师范大学附属中学,上海市实验学校,上海市建平中学,上海市进才中学,上海市洋泾中学,上海市川沙中学,上海 南汇中学,上海市高桥中学,上海中学东校,上海市浦东复旦附中分校,华东师范大学第二附属中学临港奉贤分校
1,上海市建平中学西校,0,0,0,0,0,0,12,11,12,9,15,8,5,1,0
2,上海市进才中学北校,0,0,1,0,0,0,8,8,9,7,11,6,4,1,0
3,华东师范大学附属东昌中学南校,0,0,0,1,0,0,2,3,2,1,3,2,2,1,0
4,上海市洋泾中学东校,0,0,0,1,0,0,1,2,1,1,1,1,1,1,0
5,上海市上南中学东校,0,0,0,0,0,0,4,3,4,3,5,2,2,1,0
6,上海市上南中学北校,0,0,0,1,0,0,1,2,1,1,1,2,1,1,0
7,上海市三林中学北校,0,0,0,1,0,0,4,4,3,2,4,3,1,1,0
8,上海市洪山中学,0,0,0,0,0,0,1,2,1,1,4,2,2,1,0
9,上海市上南中学南校,1,0,0,0,0,0,1,1,2,2,1,1,1,1,0
10,上海市清流中学,0,0,0,0,0,0,3,3,4,3,4,2,1,1,0
11,上海市浦泾中学,0,0,0,0,0,1,1,2,1,1,1,1,1,1,0
12,上海交通大学附属浦东实验中学北校,0,0,1,0,0,0,1,2,1,1,1,2,1,1,0
13,上海市浦东新区教育学院附属实验中学,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
14,上海市洋泾中学南校,0,0,0,0,1,0,1,1,1,2,1,1,1,1,0
15,上海市东昌东校,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0
16,上海市罗山中学,0,0,0,0,0,0,3,2,3,2,4,1,1,1,0
17,上海市金杨中学,0,1,0,0,0,0,1,2,1,1,1,1,1,1,0
18,上海市金川中学,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0
19,上海市华林中学,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0
20,上海市孙桥中学,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0
21,上海市育人中学,0,0,0,0,0,0,2,1,2,2,4,1,1,1,0
22,上海市东林中学,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
23,上海市施湾中学,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
24,上海市黄楼中学,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0
25,上海市王港中学,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0
26,上海市杨园中学,0,0,0,0,1,0,1,2,1,1,2,2,2,1,0
27,上海市东沟中学,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
28,上海师范大学附属高桥实验中学,0,0,1,0,0,0,3,4,3,2,7,3,3,0,0
29,上海市凌桥中学,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
30,上海市顾路中学,0,0,0,0,0,0,2,1,2,2,1,1,1,1,0
31,上海市浦东模范中学,0,0,0,0,0,1,3,3,2,2,3,3,1,1,0
32,上海市川沙中学华夏西校,0,0,0,1,0,0,3,4,3,2,4,3,2,1,0
33,上海市陆行中学北校,0,0,0,1,0,0,1,1,1,2,1,1,1,1,0
34,上海市致远中学,0,0,0,0,0,0,2,3,2,2,3,3,2,1,0
35,上海市浦东新区进才实验中学南校,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0
36,上海市蔡路中学,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0
37,上海市六团中学,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0
38,"上海戏剧学院附属浦东实验中学（原上海
市唐镇中学）",0,1,0,0,0,0,1,1,1,2,1,1,1,1,0
39,上海市浦兴中学,0,0,0,0,0,0,1,2,1,1,2,2,2,1,0
40,上海浦东新区民办恒洋外国语学校,0,0,0,1,0,0,2,1,2,1,4,1,1,1,0
41,上海浦东新区民办欣竹中学,0,0,0,0,0,0,4,3,4,2,6,2,2,1,0
42,上海市新云台中学,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
43,上海市陆行中学南校,1,0,0,0,0,0,1,1,2,1,1,1,1,1,0
44,上海市杨思中学,0,0,0,0,1,0,3,2,3,2,3,1,1,1,0
45,上海民办浦东交中初级中学,0,0,0,0,0,0,1,1,2,2,2,1,1,1,0
46,上海市建平香梅中学,0,0,0,0,0,0,3,2,3,2,2,1,1,1,0
47,上海市南汇第二中学,0,0,0,0,0,1,5,4,5,3,9,3,3,1,0
48,上海市南汇第三中学,0,0,1,0,0,0,2,1,2,2,4,1,1,1,0
49,上海市新港中学,0,0,0,0,1,0,1,1,1,1,1,1,1,1,3
50,上海市书院中学,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3
51,上海市大团中学,0,0,0,0,0,1,1,2,1,1,1,1,1,1,5
52,上海市坦直中学,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0
53,上海市傅雷中学,0,0,0,0,0,0,4,5,4,3,5,4,3,1,0
54,上海市澧溪中学,0,0,0,1,0,0,5,4,5,3,5,3,2,1,0
55,上海市六灶中学,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0
56,上海市浦东教育发展研究院附属中学,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
57,上海市南汇第四中学,0,0,0,1,0,0,5,4,5,3,5,3,3,1,0
58,上海中学东校,0,0,1,0,0,0,3,2,3,2,4,1,1,1,9
59,上海市浦东模范中学东校,0,0,0,0,0,0,2,1,2,1,2,1,2,1,0
60,上海市北蔡中学,0,0,1,0,0,0,3,4,3,2,6,3,3,1,0
61,上海市临港第一中学,0,0,0,0,1,0,1,1,2,1,1,2,1,1,6
62,上海民办光华中学,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0
63,上海市南汇第五中学,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0
64,上海市浦东新区进才中学南校,0,0,0,0,0,0,1,1,2,2,1,1,1,1,0
65,上海市临港实验中学,0,1,0,0,0,0,1,2,1,1,1,2,1,1,6
66,上海市浦东新区进才中学东校,1,0,0,0,0,0,2,2,1,1,1,2,1,1,0
