招生学校代码,招生学校名称,初中学校代码,初中学校名称,计划数
042032,上海市上海中学,181001,上海市青浦区实验中学,1
102056,上海交通大学附属中学,181019,上海市青浦区教师进修学院附属中学,1
102057,复旦大学附属中学,184005,上海市青浦区第一中学,1
152003,华东师范大学第二附属中学,181009,上海市青浦区白鹤中学,1
152006,上海师范大学附属中学,181007,上海市青浦区豫才中学,1
182002,复旦大学附属中学青浦分校,181001,上海市青浦区实验中学,13
182002,复旦大学附属中学青浦分校,181002,上海市青浦区东方中学,9
182002,复旦大学附属中学青浦分校,181003,上海市青浦区尚美中学,2
182002,复旦大学附属中学青浦分校,181004,上海市青浦区徐泾中学,5
182002,复旦大学附属中学青浦分校,181005,上海市青浦区凤溪中学,2
182002,复旦大学附属中学青浦分校,181006,上海市青浦区重固中学,2
182002,复旦大学附属中学青浦分校,181007,上海市青浦区豫才中学,5
182002,复旦大学附属中学青浦分校,181008,上海市青浦区华新中学,6
182002,复旦大学附属中学青浦分校,181009,上海市青浦区白鹤中学,3
182002,复旦大学附属中学青浦分校,181011,上海市青浦区珠溪中学,3
182002,复旦大学附属中学青浦分校,181012,上海市青浦区沈巷中学,1
182002,复旦大学附属中学青浦分校,181013,上海市青浦区颜安中学,3
182002,复旦大学附属中学青浦分校,181016,上海市青浦区金泽中学,1
182002,复旦大学附属中学青浦分校,181017,上海政法学院附属青浦崧淀中学,1
182002,复旦大学附属中学青浦分校,181018,上海市教育学会青浦清河湾中学,6
182002,复旦大学附属中学青浦分校,181019,上海市青浦区教师进修学院附属中学,4
182002,复旦大学附属中学青浦分校,184005,上海市青浦区第一中学,6
182002,复旦大学附属中学青浦分校,185001,上海市毓华学校,1
182002,复旦大学附属中学青浦分校,185003,上海市青浦区崧泽学校,4
182002,复旦大学附属中学青浦分校,185004,上海市博文学校,1
182002,复旦大学附属中学青浦分校,185005,上海市青浦区少年业余体育学校,1
182002,复旦大学附属中学青浦分校,185007,上海市毓秀学校,7
182002,复旦大学附属中学青浦分校,185008,上海宋庆龄学校,1
182002,复旦大学附属中学青浦分校,185009,上海市佳信学校,1
182002,复旦大学附属中学青浦分校,185011,上海五浦汇实验学校,5
182002,复旦大学附属中学青浦分校,185012,上海青浦区世外学校,1
182002,复旦大学附属中学青浦分校,185013,上海青浦平和双语学校,1
182002,复旦大学附属中学青浦分校,185014,上海青浦区协和双语学校,1
招生学校代码,招生学校名称,初中学校代码,初中学校名称,计划数
182001,上海市青浦高级中学,181001,上海市青浦区实验中学,34
182001,上海市青浦高级中学,181002,上海市青浦区东方中学,23
182001,上海市青浦高级中学,181003,上海市青浦区尚美中学,7
182001,上海市青浦高级中学,181004,上海市青浦区徐泾中学,13
182001,上海市青浦高级中学,181005,上海市青浦区凤溪中学,6
182001,上海市青浦高级中学,181006,上海市青浦区重固中学,6
182001,上海市青浦高级中学,181007,上海市青浦区豫才中学,13
182001,上海市青浦高级中学,181008,上海市青浦区华新中学,16
182001,上海市青浦高级中学,181009,上海市青浦区白鹤中学,8
182001,上海市青浦高级中学,181011,上海市青浦区珠溪中学,8
182001,上海市青浦高级中学,181012,上海市青浦区沈巷中学,1
182001,上海市青浦高级中学,181013,上海市青浦区颜安中学,9
182001,上海市青浦高级中学,181016,上海市青浦区金泽中学,3
182001,上海市青浦高级中学,181017,上海政法学院附属青浦崧淀中学,4
182001,上海市青浦高级中学,181018,上海市教育学会青浦清河湾中学,15
182001,上海市青浦高级中学,181019,上海市青浦区教师进修学院附属中学,10
182001,上海市青浦高级中学,184005,上海市青浦区第一中学,15
182001,上海市青浦高级中学,185001,上海市毓华学校,1
182001,上海市青浦高级中学,185003,上海市青浦区崧泽学校,10
182001,上海市青浦高级中学,185004,上海市博文学校,3
182001,上海市青浦高级中学,185005,上海市青浦区少年业余体育学校,1
182001,上海市青浦高级中学,185007,上海市毓秀学校,19
182001,上海市青浦高级中学,185008,上海宋庆龄学校,2
182001,上海市青浦高级中学,185009,上海市佳信学校,1
182001,上海市青浦高级中学,185011,上海五浦汇实验学校,12
182001,上海市青浦高级中学,185012,上海青浦区世外学校,3
182001,上海市青浦高级中学,185013,上海青浦平和双语学校,3
182001,上海市青浦高级中学,185014,上海青浦区协和双语学校,3
招生学校代码,招生学校名称,初中学校代码,初中学校名称,计划数
183002,上海市朱家角中学,181001,上海市青浦区实验中学,34
183002,上海市朱家角中学,181002,上海市青浦区东方中学,23
183002,上海市朱家角中学,181003,上海市青浦区尚美中学,7
183002,上海市朱家角中学,181004,上海市青浦区徐泾中学,13
183002,上海市朱家角中学,181005,上海市青浦区凤溪中学,6
183002,上海市朱家角中学,181006,上海市青浦区重固中学,6
183002,上海市朱家角中学,181007,上海市青浦区豫才中学,13
183002,上海市朱家角中学,181008,上海市青浦区华新中学,16
183002,上海市朱家角中学,181009,上海市青浦区白鹤中学,8
183002,上海市朱家角中学,181011,上海市青浦区珠溪中学,8
183002,上海市朱家角中学,181012,上海市青浦区沈巷中学,1
183002,上海市朱家角中学,181013,上海市青浦区颜安中学,9
183002,上海市朱家角中学,181016,上海市青浦区金泽中学,3
183002,上海市朱家角中学,181017,上海政法学院附属青浦崧淀中学,4
183002,上海市朱家角中学,181018,上海市教育学会青浦清河湾中学,15
183002,上海市朱家角中学,181019,上海市青浦区教师进修学院附属中学,10
183002,上海市朱家角中学,184005,上海市青浦区第一中学,15
183002,上海市朱家角中学,185001,上海市毓华学校,1
183002,上海市朱家角中学,185003,上海市青浦区崧泽学校,10
183002,上海市朱家角中学,185004,上海市博文学校,3
183002,上海市朱家角中学,185005,上海市青浦区少年业余体育学校,1
183002,上海市朱家角中学,185007,上海市毓秀学校,19
183002,上海市朱家角中学,185008,上海宋庆龄学校,2
183002,上海市朱家角中学,185009,上海市佳信学校,1
183002,上海市朱家角中学,185011,上海五浦汇实验学校,12
183002,上海市朱家角中学,185012,上海青浦区世外学校,3
183002,上海市朱家角中学,185013,上海青浦平和双语学校,3
183002,上海市朱家角中学,185014,上海青浦区协和双语学校,3
