"招生学校
初中毕业学校","招生学校
初中毕业学校",062001,062002,062003,062004,062011,063004,064001,042032,102056,102057,152003
"招生学校
初中毕业学校","招生学校
初中毕业学校",上海市市西中学,上海市育才中学,上海市新中高级中学,上海市市北中学,上海市回民中学,上海市第六十中学,上海市华东模范中学,上海市上海中学,"上海交通大学附属
中学",复旦大学附属中学,"华东师范大学第二附
属中学"
061001,上海市市西初级中学,10,9,9,10,6,7,5,,,,
061002,上海市育才初级中学,5,5,5,5,3,4,2,,,,
061003,上海市静安区协和双语培明学校,2,2,2,2,2,2,2,,1,,
061005,上海市时代中学,2,2,2,2,2,2,1,,,,
061008,上海市五四中学,2,2,2,2,2,2,2,,,,
061009,民办上海上外静安外国语中学,4,4,4,4,2,3,2,,,1,
061050,上海市静安区市北初级中学北校,5,5,5,6,3,4,3,,,1,
061051,上海市新中初级中学,8,7,7,8,4,6,4,1,,,
061053,上海市静安区实验中学,3,3,3,3,2,2,2,,,,1
061055,上海市朝阳中学,1,1,1,2,1,1,1,,,,
061059,上海市市北初级中学,10,10,10,11,6,8,5,,,,
061060,上海市风华初级中学,19,19,19,20,10,13,8,,,1,
061061,上海市彭浦初级中学,6,6,6,7,4,5,3,,1,,
061062,上海外国语大学苏河湾实验中学,3,3,3,3,2,2,2,,,,
061066,上海市青云中学,6,6,6,6,3,4,3,,,,
061071,上海市岭南中学,3,3,3,3,2,2,2,,,,
061072,上海市保德中学,2,2,2,2,2,2,1,,,,1
061073,上海市彭浦第三中学,5,4,4,5,3,3,2,,,,
061074,上海市彭浦第四中学,3,3,3,3,2,2,2,,,,
062011,上海市回民中学,2,2,2,3,21,2,2,,,,
063001,上海市民立中学,3,2,2,3,2,2,2,,,,
063002,上海市第一中学,4,4,4,4,2,3,2,,,1,
063008,上海市久隆模范中学,4,4,4,5,3,3,2,,,,1
063077,上海市闸北第八中学,4,4,4,4,3,3,2,,1,,
064001,上海市华东模范中学,3,3,3,3,2,2,2,,,,
064003,同济大学附属七一中学,5,5,5,5,3,4,3,,1,,
064007,上海市向东中学,3,3,3,3,2,2,2,,,,
064020,上海田家炳中学,4,4,4,4,3,3,2,1,,,
064021,上海市民办扬波中学,6,6,6,6,3,4,3,,1,,
064023,上海市民办新和中学,4,3,3,4,2,3,2,,,,
064024,上海市民办风范中学,4,4,4,4,3,3,2,,1,,
065001,上海市爱国学校,2,2,2,2,2,2,1,,,,1
065002,上海市静安区教育学院附属学校,5,5,5,5,3,4,2,,,1,
065056,上海市华灵学校,2,2,2,2,1,2,1,,,,
065057,上海市三泉学校,2,2,2,3,2,2,2,,,,
065058,上海戏剧学院附属静安学校,1,1,1,2,1,1,1,,,,
065078,上海市静安区大宁国际学校,3,3,3,3,2,2,2,,,,
