学校代码名称,格致 (012001),格致奉贤 (012002),大同 (012003),向明 (012005),向明浦江 (012006),大境 (012007 ),光明 (012008),敬业 (012009),卢高 (012010),上海中学 (042032),交大附中 (102056),复旦附中 (102057),华二附中 (152003 )
011001 格致初级中学,17,8,10,9,3,11,11,11,12,0,0,0,0
011002 大同初级中学,9,2,13,7,1,10,10,10,10,0,0,0,0
011003 向明初级中学,11,2,10,13,6,11,11,11,11,0,0,0,0
011004 大境初级中学,11,2,9,9,2,14,10,10,10,0,0,0,0
011005 光明初级中学,2,1,2,2,1,2,3,2,2,0,0,0,0
011006 敬业初级中学,5,2,5,4,1,6,6,8,6,0,0,0,0
011007 卢湾中学,7,2,7,6,1,7,7,7,8,1,0,0,0
011008 市八初级中学,4,2,4,4,1,4,4,7,5,0,0,0,0
011009 尚文中学,4,1,5,3,1,4,4,4,4,0,1,0,0
011012 交附黄浦实验,5,2,5,4,1,6,8,6,6,0,0,0,0
011014 清华中学,1,1,1,2,3,2,2,1,1,0,0,0,0
011015 民办明珠中学,6,5,5,4,1,5,5,5,4,0,0,0,1
011016 民办立达中学,13,3,17,9,3,12,12,12,12,0,0,0,0
011017 民办震旦外国语,4,1,5,3,1,4,6,4,4,0,0,1,0
013003 市十中学,7,2,7,6,1,8,8,10,8,0,0,0,0
013004 储能中学,3,3,2,2,1,2,3,2,3,0,0,1,0
014001 金陵中学,1,1,2,2,3,1,1,1,2,0,0,0,1
014003 市南中学,4,1,5,3,1,4,4,4,4,0,0,0,0
014004 上音比乐中学,5,2,5,4,1,5,5,5,7,1,0,0,0
015003 中山学校,5,2,5,4,1,7,5,5,5,0,1,0,0
015004 民办永昌学校,3,1,3,3,1,3,3,3,2,0,0,0,1
015005 康德双语实验学校,1,0,1,1,0,1,1,1,1,0,0,0,0
017777 大同初级中学（原黄浦学校）,3,1,3,2,1,2,2,2,4,0,0,0,0
