区名,学校代码,学校名称,录取最低分,语数外,数学,语文,综合测试
黄浦区,011001,上海市格致中学,680.5,402.5,141.0,122.0,135.0
黄浦区,011002,上海市大同中学,682.0,397.0,139.0,121.0,141.0
黄浦区,011003,上海市向明中学,673.5,394.0,137.0,119.0,133.0
黄浦区,011004,上海市大境中学,664.0,386.0,130.0,118.0,133.0
黄浦区,011005,上海市光明中学,652.0,378.0,127.0,115.0,127.0
黄浦区,011006,上海市敬业中学,661.0,388.0,135.0,118.0,127.0
黄浦区,011007,上海市卢湾高级中学,655.5,383.0,132.0,116.0,129.0
黄浦区,011008,上海市第八中学,640.0,374.0,125.0,115.0,122.0
黄浦区,011009,上海市五爱高级中学,642.5,375.0,127.0,114.0,124.0
黄浦区,011010,上海市第十中学,625.0,363.0,122.0,111.0,119.0
黄浦区,011011,上海市市南中学,593.5,347.0,115.0,109.0,111.0
黄浦区,011012,上海市金陵中学,600.0,351.0,118.0,110.0,113.0
黄浦区,011013,上海市储能中学,618.0,360.0,121.0,111.0,118.0
黄浦区,011014,上海市比乐中学,607.0,354.0,119.0,110.0,114.0
黄浦区,011015,上海市李惠利中学,581.5,339.0,113.0,107.0,110.0
黄浦区,011016,上海市澄衷高级中学,600.5,350.0,118.0,109.0,114.0
黄浦区,011017,上海外国语大学附属大境中学,664.0,386.0,130.0,118.0,133.0
黄浦区,011018,上海市震旦外国语中学,565.0,329.0,110.0,105.0,103.0
黄浦区,011019,上海市民办明珠中学,573.0,334.0,112.0,106.0,105.0
黄浦区,011020,上海民办立达中学,585.0,341.0,115.0,108.0,108.0
黄浦区,011021,上海外国语大学附属大境初级中学,667.5,388.0,131.0,118.0,134.0
黄浦区,011022,上海音乐学院附属黄浦比乐中学,674.5,393.0,133.0,119.0,135.0
黄浦区,011023,上海交通大学附属黄浦实验中学,672.5,392.0,132.0,119.0,134.0
黄浦区,011024,上海理工大学附属储能中学,699.5,408.0,138.0,123.0,141.0
黄浦区,011025,上海市敬业初级中学,671.5,391.0,131.0,119.0,134.0
黄浦区,011026,上海市第十中学,671.0,391.0,131.0,119.0,134.0
黄浦区,011027,上海市尚文中学,679.5,396.0,133.0,120.0,136.0
黄浦区,011028,上海民办永昌学校,681.5,397.0,134.0,120.0,137.0
黄浦区,011029,上海市金陵中学,677.0,395.0,132.0,120.0,135.0
黄浦区,011030,上海市光明初级中学,667.0,389.0,130.0,118.0,133.0
黄浦区,011031,上海市市南中学,684.0,399.0,135.0,121.0,137.0
黄浦区,011032,上海市清华中学,708.0,413.0,140.0,124.0,142.0
黄浦区,011033,上海市大同初级中学,701.5,409.0,138.0,123.0,141.0
黄浦区,011034,上海市市八初级中学,702.0,410.0,139.0,123.0,141.0
黄浦区,011035,上海市向明初级中学,736.0,430.0,146.0,128.0,148.0
黄浦区,011036,上海市格致初级中学,735.5,429.0,146.0,128.0,148.0
黄浦区,011037,上海市黄浦区教育学院附属中山学校,735.5,429.0,146.0,128.0,148.0
黄浦区,011038,上海市卢湾中学,732.5,427.0,145.0,127.0,147.0
黄浦区,011039,上海市震旦外国语中学,730.5,426.0,144.0,127.0,147.0
黄浦区,011040,上海外国语大学附属大境初级中学,730.0,426.0,144.0,127.0,147.0
徐汇区,021001,上海市上海中学,710.0,417.0,144.0,127.0,140.0
徐汇区,021002,上海市南洋模范中学,700.5,409.0,140.0,125.0,139.0
徐汇区,021003,上海市位育中学,689.0,402.0,137.0,123.0,135.0
