区名,初中学校,招生学校,录取最低分,是否同分优待,综合素质评价,语数外,数学,语文,综合测试
黄浦区,格致初级中学,格致中学,741.0,否,50,401.5,135,119,142
黄浦区,格致初级中学,格致中学（奉贤校区）,714.0,否,50,384,118,122,134
黄浦区,格致初级中学,大同中学,735.5,否,50,414.5,135,132,126
黄浦区,格致初级中学,向明中学,717.5,否,50,394,136,118,127.5
黄浦区,格致初级中学,向明中学（浦江校区）,706.5,否,50,387.5,122,128,124
黄浦区,格致初级中学,外国语大学附属大境中学,683.0,否,50,381,120,124,108
黄浦区,格致初级中学,光明中学,656.5,否,50,364.5,111,119,101
黄浦区,格致初级中学,敬业中学,689.0,否,50,383,137,112,122
黄浦区,格致初级中学,卢湾高级中学,669.0,否,50,354,105,112,124
黄浦区,大同初级中学,格致中学,734.0,否,50,406.5,132,134,134
黄浦区,大同初级中学,格致中学（奉贤校区）,708.0,否,50,389,134,115,128
黄浦区,大同初级中学,大同中学,739.5,否,50,399.5,132,122,142
黄浦区,大同初级中学,向明中学,701.5,否,50,385.5,114,128,123
黄浦区,大同初级中学,向明中学（浦江校区）,704.5,否,50,389,137,114,121
黄浦区,大同初级中学,外国语大学附属大境中学,680.5,否,50,377.5,120,125,113
黄浦区,大同初级中学,光明中学,661.5,否,50,355.5,97,118,113
黄浦区,大同初级中学,敬业中学,697.5,否,50,381.5,118,124,121
黄浦区,大同初级中学,卢湾高级中学,674.0,否,50,362.5,112,118,117
黄浦区,向明初级中学,格致中学,735.0,否,50,400,135,118,140
黄浦区,向明初级中学,格致中学（奉贤校区）,716.5,否,50,379.5,133,110,142
黄浦区,向明初级中学,大同中学,736.0,否,50,391,141,119,144
黄浦区,向明初级中学,向明中学,716.5,否,50,384.5,129,122,135
黄浦区,向明初级中学,向明中学（浦江校区）,704.0,否,50,387,128,117,123
黄浦区,向明初级中学,外国语大学附属大境中学,675.0,否,50,360,113,120,119
黄浦区,向明初级中学,光明中学,655.5,否,50,343,119,115,120
黄浦区,向明初级中学,敬业中学,693.5,否,50,373.5,122,122,132
黄浦区,向明初级中学,卢湾高级中学,673.0,否,50,371,121,124,111
黄浦区,外国语大学附属大境初级中学,格致中学,726.5,否,50,398.5,143,116,132
黄浦区,外国语大学附属大境初级中学,格致中学（奉贤校区）,716.5,否,50,396.5,128,122,126
黄浦区,外国语大学附属大境初级中学,大同中学,730.0,否,50,398,133,126,135
黄浦区,外国语大学附属大境初级中学,向明中学,714.0,否,50,400,135,124,124
黄浦区,外国语大学附属大境初级中学,向明中学（浦江校区）,713.0,否,50,396,135,125,132
黄浦区,外国语大学附属大境初级中学,外国语大学附属大境中学,689.5,否,50,382,130,112,114
黄浦区,外国语大学附属大境初级中学,光明中学,667.5,否,50,354.5,115,119,118
黄浦区,外国语大学附属大境初级中学,敬业中学,695.0,否,50,383.5,123,127,116
黄浦区,外国语大学附属大境初级中学,卢湾高级中学,683.0,否,50,369.5,114,118,121
黄浦区,光明初级中学,格致中学,727.0,否,50,395,127,127,140
黄浦区,光明初级中学,格致中学（奉贤校区）,711.5,否,50,389,133,121,132
黄浦区,光明初级中学,大同中学,723.0,否,50,394,146,111,134
黄浦区,光明初级中学,向明中学,705.0,否,50,382,128,119,129
黄浦区,光明初级中学,向明中学（浦江校区）,688.5,否,50,381.5,130,123,113
黄浦区,光明初级中学,外国语大学附属大境中学,677.0,否,50,373,126,123,112
黄浦区,光明初级中学,光明中学,667.0,否,50,359,110,113,113
黄浦区,光明初级中学,敬业中学,704.0,否,50,386,134,116,127
黄浦区,光明初级中学,卢湾高级中学,677.0,否,50,368.5,113,122,119
黄浦区,光明初级中学,复旦大学附属中学,748.0,否,50,412,145,128,137
黄浦区,敬业初级中学,格致中学,724.5,否,50,402,141,123,130
黄浦区,敬业初级中学,格致中学（奉贤校区）,719.0,否,50,398.5,125,131,126
黄浦区,敬业初级中学,大同中学,728.5,否,50,408,142,127,131
黄浦区,敬业初级中学,向明中学,707.0,否,50,392,139,119,126
黄浦区,敬业初级中学,向明中学（浦江校区）,684.0,否,50,362,118,106,129
黄浦区,敬业初级中学,外国语大学附属大境中学,696.5,否,50,387.5,111,134,115
黄浦区,敬业初级中学,光明中学,671.5,否,50,373.5,134,111,119
黄浦区,敬业初级中学,敬业中学,704.5,否,50,383.5,122,124,127
黄浦区,敬业初级中学,卢湾高级中学,676.5,否,50,365.5,120,111,124
黄浦区,敬业初级中学,中学,743.5,否,50,410.5,150,117,136
黄浦区,卢湾中学,格致中学,731.5,否,50,409.5,137,125,130
黄浦区,卢湾中学,格致中学（奉贤校区）,716.0,否,50,380,126,124,142
黄浦区,卢湾中学,大同中学,732.5,否,50,401.5,136,123,134
黄浦区,卢湾中学,向明中学,721.0,否,50,397.5,137,124,133
黄浦区,卢湾中学,向明中学（浦江校区）,711.0,否,50,392,128,127,122
黄浦区,卢湾中学,外国语大学附属大境中学,672.0,否,50,366.5,112,119,119.5
黄浦区,卢湾中学,光明中学,666.5,否,50,355.5,104,118,122
黄浦区,卢湾中学,敬业中学,691.5,否,50,374.5,111,126,121
黄浦区,卢湾中学,卢湾高级中学,675.5,否,50,356.5,135,117,127
黄浦区,卢湾中学,中学,751.0,否,50,412,146,122,144
