序号,招生代码,学校名称,所属区,区代码,学校类型,寄宿情况,计划区域,计划数
1,042032,上海市上海中学,上海市,SH,市实验性示范性高中,全部寄宿,全市,291
2,102056,上海交通大学附属中学,上海市,SH,市实验性示范性高中,部分寄宿,全市,336
3,102057,复旦大学附属中学,上海市,SH,市实验性示范性高中,部分寄宿,全市,271
4,152003,华东师范大学第二附属中学,上海市,SH,市实验性示范性高中,部分寄宿,全市,280
5,152006,上海师范大学附属中学,上海市,SH,市实验性示范性高中,部分寄宿,全市,208
6,155001,上海市实验学校,上海市,SH,市实验性示范性高中,部分寄宿,全市,52
7,012001,上海市格致中学,黄浦区,HP,市实验性示范性高中,部分寄宿,全市,126
8,012003,上海市大同中学,黄浦区,HP,市实验性示范性高中,部分寄宿,全市,136
9,012005,上海市向明中学,黄浦区,HP,市实验性示范性高中,无寄宿,全市,59
10,012007,上海外国语大学附属大境中学,黄浦区,HP,市实验性示范性高中,部分寄宿,全市,96
11,012008,上海市光明中学,黄浦区,HP,市实验性示范性高中,无寄宿,全市,86
12,012009,上海市敬业中学,黄浦区,HP,市实验性示范性高中,无寄宿,全市,76
13,012010,上海市卢湾高级中学,黄浦区,HP,市实验性示范性高中,部分寄宿,全市,96
14,012002,上海市格致中学（奉贤校区）,黄浦区,HP,享受市实验性示范性高中招生政策高中,全部寄宿,全市,40
15,012006,上海市向明中学（浦江校区）,黄浦区,HP,享受市实验性示范性高中招生政策高中,全部寄宿,全市,38
16,012011,同济大学科技中学,黄浦区,HP,参照"探索建立拔尖创新人才培养基地"项目高中,部分寄宿,全市,47
17,042001,上海市第二中学,徐汇区,XH,市实验性示范性高中,无寄宿,全市,52
18,042008,上海市南洋模范中学,徐汇区,XH,市实验性示范性高中,部分寄宿,全市,90
19,042035,上海市位育中学,徐汇区,XH,市实验性示范性高中,全部寄宿,全市,90
20,043015,上海市南洋中学,徐汇区,XH,市实验性示范性高中,部分寄宿,全市,82
21,042002,上海市第二中学（梅陇校区）,徐汇区,XH,享受市实验性示范性高中招生政策高中,全部寄宿,全市,53
22,042036,复旦大学附属中学徐汇分校,徐汇区,XH,享受市实验性示范性高中招生政策高中,部分寄宿,全市,31
23,052001,上海市第三女子中学,长宁区,CN,市实验性示范性高中,部分寄宿,全市,78
24,052002,上海市延安中学,长宁区,CN,市实验性示范性高中,全部寄宿,全市,72
25,053004,上海市复旦中学,长宁区,CN,市实验性示范性高中,全部寄宿,全市,53
26,062001,上海市市西中学,静安区,JA,市实验性示范性高中,部分寄宿,全市,74
27,062002,上海市育才中学,静安区,JA,市实验性示范性高中,全部寄宿,全市,74
28,062003,上海市新中高级中学,静安区,JA,市实验性示范性高中,部分寄宿,全市,74
29,062004,上海市市北中学,静安区,JA,市实验性示范性高中,无寄宿,全市,82
30,062011,上海市回民中学,静安区,JA,市实验性示范性高中,部分寄宿,全市,59
31,063004,上海市第六十中学,静安区,JA,市实验性示范性高中,无寄宿,全市,56
32,064001,上海市华东模范中学,静安区,JA,市实验性示范性高中,无寄宿,全市,44
33,072001,上海市晋元高级中学,普陀区,PT,市实验性示范性高中,全部寄宿,全市,84
34,072002,上海市曹杨第二中学,普陀区,PT,市实验性示范性高中,部分寄宿,全市,82
35,073003,上海市宜川中学,普陀区,PT,市实验性示范性高中,无寄宿,全市,89
36,073082,华东师范大学第二附属中学（普陀校区）,普陀区,PT,享受市实验性示范性高中招生政策高中,部分寄宿,全市,53
37,092001,复旦大学附属复兴中学,虹口区,HK,市实验性示范性高中,部分寄宿,全市,77
38,092002,华东师范大学第一附属中学,虹口区,HK,市实验性示范性高中,部分寄宿,全市,71
39,093001,上海财经大学附属北郊高级中学,虹口区,HK,市实验性示范性高中,无寄宿,全市,56
40,102004,上海市杨浦高级中学,杨浦区,YP,市实验性示范性高中,部分寄宿,全市,103
41,102032,上海市控江中学,杨浦区,YP,市实验性示范性高中,部分寄宿,全市,103
42,103002,同济大学第一附属中学,杨浦区,YP,市实验性示范性高中,部分寄宿,全市,86
43,122001,上海市七宝中学,闵行区,MH,市实验性示范性高中,部分寄宿,全市,120
