各初中学校排行榜（分区分榜）— 区内排名为主,,,,,,,,,,,,,,
"排名方法：
· 榜A 生源强度：对每所市重，在该校『名额到校录取线』的初中间计算标准分 z=(分-均值)/标准差（区内池与全市池各算一次）；某校生源强度指数=其所有市重 z 的均值。z 分消除了市重难度差异，全量覆盖全部拿到到校名额的初中。
· 榜B 高分产出：按『700+占比%(推算)』（700+人数÷推算考生数）区内排名（仅民间统计到的学校有值）。
· 榜D 声誉口碑：来自网页可检索的公开排名/口碑汇总（机构公众号、家长论坛、百度百家号等），逐校标注来源，属主观判断、仅供参考；本项目内数据不完整，故排名不能只靠 A/B。
· 综合得分(数据+声誉)：区内将 A、B、D 各自归一化到 0–100 后加权合成（A:B:D=2:1.5:6.5，声誉主导），因项目内『名额到校录取线/700+』对自招强校易失真（尖子走四校自招、到校线反而低），故以公开口碑为主、数据为辅；凡校名可匹配到声誉数据者即用此式（缺 A/B 的维度取中性 50，数据不完整不惩罚）；无声誉数据者回退到原 A:B=6:4 数据综合，并标『声誉待补』。
· 区内排名为本表主排序（同区共用同一批市重名额池，最可比）；全市排名为跨区全局 z，仅供参考、不宜跨区比高低。
· 口径：到校录取线为 800 制（含综评50），仅在校内/校际的到校线之间比较，不混入平行志愿 750 制。推算考生数与 700+ 均为推算/民间值，声誉为主观口碑，见『数据完整度』列。",,,,,,,,,,,,,,
区,初中学校,推算考生数(人),到校名额合计,生源强度(榜A·区内z),700+人数,700+占比%(推算),声誉口碑(榜D),声誉来源/梯队,综合得分(数据+声誉),区内排名A,区内排名B,区内排名(综合),全市排名A,数据完整度
浦东新区,上海市张江集团中学,274,17,0.948,100,36.5,92,第一梯队｜机构公众号梯队列,99.7,3,1,1,23,双覆盖·含声誉
浦东新区,上海民办浦东交中初级中学,178,11,0.698,50,28.1,92,第一梯队｜机构公众号梯队列,94.3,25,2,2,86,双覆盖·含声誉
浦东新区,上海市实验学校东校,307,19,0.815,,,92,第一梯队｜机构公众号梯队列,91.4,9,,3,61,全量(仅A)·含声誉
浦东新区,上海市建平中学西校,1017,63,0.724,,,92,第一梯队｜机构公众号梯队列,91,19,,4,84,全量(仅A)·含声誉
浦东新区,上海民办华曜浦东实验学校,210,13,0,40,19,92,第一梯队｜机构公众号梯队列,81.7,129,5,5,653,仅B(缺A)·含声誉
浦东新区,上海交通大学附属浦东实验中学,129,8,0.824,,,,,77,7,,6,45,全量(仅A)·声誉待补
浦东新区,上海中学东校,484,30,0.821,,,,,76.9,8,,7,66,全量(仅A)·声誉待补
浦东新区,上海立信会计金融学院附属学校,404,25,0.812,,,,,76.8,10,,8,49,全量(仅A)·声誉待补
浦东新区,上海市建平香梅中学,339,21,0.809,,,,,76.7,12,,9,53,全量(仅A)·声誉待补
