各初中学校 700 分以上人数（民间统计，非官方）,,,,,,,,,,,
数据来源：上海中考/教培类公众号、视频号、今日头条等民间渠道的 2026 中考高分统计汇总（上海择校升学转学·冯老师 2026-07-16、锐思教育·坦途网 2026-07-17、今日头条『700分+扎堆』2026-07-18 等）。这是『初中校分数分布』在 700 分以上的高分段尾巴，仅部分初中有统计，并非完整分数分布，也不是考生人数。『可靠度』列标注：多源一致 / 单一来源 / 网传存疑 / 仅最高分。网传或口径冲突的数据已在『备注』说明，请勿直接使用此类数字做精确比较；本表仅供了解各校高分产出量级。『700+占比%(推算)』= 该校700+人数 ÷ 『各初中考生人数(推算)』推算考生数。校名匹配采用三档稳健策略（精确→人工别名[简称↔全称/分校]→归一化子串去歧义），并在『推算匹配校名(全称)』『匹配方式』两列标注；未能唯一匹配（推算表无该校 / 多候选歧义 / 数据缺口）的，占比留空，详见 match_report_700plus.csv 人工复查。,,,,,,,,,,,
区,初中学校,推算匹配校名(全称),匹配方式,700+人数,710+人数,720+人数,最高分,中考人数(已知),700+占比%(推算),可靠度,备注
浦东新区,建平西校,上海市建平实验中学,归一化,300,,,,,53.1,网传存疑,700+300(梦回/锐思/头条一致·标注网传)；1200+人中考
浦东新区,建平地杰,上海市建平实验中学,归一化,114,,,,,20.2,单一来源,700+114/中考516(梦回/锐思)
浦东新区,尚德实验,上海市民办尚德实验学校,别名,102,,,736.5,,21.8,多源一致,700+102(锐思)/最高736.5(头条)
浦东新区,张江集团中学,上海市张江集团中学,别名,100,50,,,269,36.5,单一来源,700+100+/710+50/中考269/占比37%(梦回)
浦东新区,欣竹中学,上海浦东新区民办欣竹中学,归一化,60,,,,,15.5,单一来源,700+60+(梦回)；锐思约50
浦东新区,交中初级,上海民办浦东交中初级中学,别名,50,,,,,28.1,网传存疑,700+约50(梦回/锐思)；中考158
浦东新区,华二前滩,华东师范大学第二附属中学前滩学校,别名,50,12,2,722,155,28.1,单一来源,700+50/710+12/720+2/中考155(梦回)
浦东新区,建平张江,上海市建平实验中学,归一化,40,,,731,,7.1,单一来源,700+40+/最高731(梦回)
浦东新区,华曜浦东,上海民办华曜浦东实验学校,别名,40,,,,,19,单一来源,700+40+(梦回)
浦东新区,进才森兰,上海市浦东新区进才森兰实验中学,归一化,30,,,,,10.9,单一来源,700+30+/715+10(梦回)
浦东新区,川沙南校,上海市川沙中学南校,别名,25,,,,,4.7,单一来源,700+25/725+5(梦回)
浦东新区,上中东校,上海中学东校,别名,,,,736.5,,,仅最高分,最高736.5(梦回)
浦东新区,建平远翔,上海浦东新区民办远翔实验学校,别名,,,,737,,,仅最高分,最高737浦东状元(梦回/锐思)
浦东新区,浦外,,未匹配(数据缺口),,,,735,,,仅最高分,最高735(梦回/锐思)
浦东新区,建平临港,上海市浦东新区建平临港中学,归一化,,,,731,,,仅最高分,首届最高731(梦回)
浦东新区,进才实验,上海市进才实验中学,别名,,,,736.5,,,仅最高分,最高736.5(梦回/头条)
浦东新区,北蔡中学,上海市北蔡中学,归一化,,,,721,,,仅最高分,最高721(梦回)
黄浦区,格致初级中学,格致初级中学,精确,80,,,723.5,,16.4,单一来源,700+80(头条)；最高723.5(冯/梦回)
黄浦区,立达中学,民办立达中学,别名,,,,728.5,,,仅最高分,最高分728.5(冯/头条/梦回一致)；700+无统计
黄浦区,大同初级中学,大同初级中学,精确,,,,725,,,仅最高分,最高分725(梦回)
黄浦区,向明初级中学,向明初级中学,精确,,,,724.5,,,仅最高分,最高分724.5(冯/锐思/梦回)
黄浦区,永昌中学,民办永昌学校,别名,,,,,,,网传存疑,"锐思:700+接近全校一半(占比估,非计数)"
徐汇区,徐汇中学,,歧义(需人工),67,28,,,,,多源一致,700+67/710+28(梦回)；锐思一致
徐汇区,园南中学,上海市园南中学,归一化,60,,,,,18.7,单一来源,学校通报700+60+(梦回)
徐汇区,田林第三中学,上海市田林第三中学,归一化,50,,,725.5,,10.3,网传存疑,700+50+(梦回)；最高725.5
徐汇区,南模初级中学,上海民办南模中学,归一化,40,,,,,29.4,单一来源,700+40+(梦回)
徐汇区,市二初级中学,上海市第二初级中学,归一化,30,10,5,731,180,12.8,单一来源,700+30/710+10/720+5(梦回)；中考180+
徐汇区,紫阳中学,上海市紫阳中学,归一化,30,16,,732,,12.3,单一来源,700+30/710+16(梦回)；最高732
徐汇区,上汇实验中学,上海市徐汇区上汇实验学校,归一化,25,,,731,,23.4,单一来源,700+25(冯/梦回)
徐汇区,师三附中,上海师范大学第三附属实验学校,别名,22,,,,,10.8,单一来源,"700+20多位(梦回,去年13)"
徐汇区,市四中学,上海市第四中学,归一化,22,,,731,,5,单一来源,700+22(梦回/冯)
徐汇区,康健外国语实验学校,上海市康健外国语实验中学,别名,22,,,,,6.9,网传存疑,年级20多个700+(梦回)；锐思网传200存疑→取22
徐汇区,中国中学,上海市中国中学,归一化,10,,,,,2.5,单一来源,重点班39人700+10+(梦回)
徐汇区,华理附中,华东理工大学附属中学,别名,10,,,,,3.3,单一来源,700+10+(梦回)
徐汇区,华育中学,上海市民办华育中学,归一化,,,,736.5,,,仅最高分,最高736(梦回)/736.5(头条)；好班均分715；700+无明确数
徐汇区,世外中学,,别名缺失,,,,736,,,单一来源,最高736；730+批量(冯/梦回)
徐汇区,徐教院附中,上海市徐汇区教育学院附属实验中学,别名,,6,,,,,单一来源,一个班710+6(梦回/冯)
长宁区,延安初级中学,上海市延安初级中学,别名,20,,,725,,3.6,网传存疑,700+约20(梦回/锐思)；720+不少
长宁区,西延安中学,上海市西延安中学,归一化,20,,,725.5,,6.5,网传存疑,700+20+(梦回)；最高725.5
长宁区,开元学校,上海市开元学校,归一化,17,,,725.5,,7.5,单一来源,"700+17(梦回,中考<180)"
长宁区,娄山中学,上海市娄山中学,归一化,,,,727,,,仅最高分,某班最高727(梦回)
静安区,风华中学,上海市风华初级中学,别名,120,,,,,13.2,多源一致,700+120(冯/锐思/梦回一致)
静安区,市第一中学,上海市第一中学,归一化,5,,,,,3,单一来源,700+至少5(梦回)
静安区,苏河湾实验中学,上海外国语大学苏河湾实验中学,归一化,,,,733,,,仅最高分,2个733(锐思/梦回)
普陀区,梅陇中学,上海市梅陇中学,别名,100,,,,,16.5,多源一致,700+100+(冯/锐思/头条/梦回)
普陀区,培佳双语,上海培佳双语学校,归一化,40,,,,,18.6,单一来源,700+40+(梦回)
普陀区,进华中学,上海华东师范大学附属进华中学,归一化,,,,731,,,仅最高分,最高731(冯/梦回)
普陀区,江宁学校,上海市江宁学校,归一化,,,,733,,,仅最高分,最高733(冯/梦回)
普陀区,晋元中学,,歧义(需人工),,,,727,,,仅最高分,最高727(梦回)
普陀区,同济二附中,同济大学第二附属中学,别名,,,,724.5,,,仅最高分,最高724.5(梦回)
普陀区,长征中学,上海市长征中学,归一化,,,,723.5,,,仅最高分,最高723.5(梦回)
普陀区,曹杨附中,上海市曹杨第二中学附属实验中学,别名,,8,3,,,,单一来源,710+8/720+3(梦回)
普陀区,华外实验,华东师范大学附属外国语实验学校,别名,,,,730,,,网传存疑,730+好几个(梦回)
虹口区,新北郊中学,上海市民办新北郊初级中学,归一化,20,,,,,5.3,单一来源,700+20+(梦回)；最高729
虹口区,五十二中学,上海市第五十二中学,归一化,8,,,729,,7.2,单一来源,700+8(一对729/724)(梦回)
虹口区,新华初级中学,上海市民办新华初级中学,归一化,,,,732.5,,,仅最高分,最高分731.5/732.5；700+无明确数
虹口区,新复兴中学,上海市民办新复兴初级中学,归一化,,,,727,,,仅最高分,最高727(梦回)
杨浦区,辽阳双语学校,上海市辽阳中学,归一化,35,,,,,14.8,单一来源,700+35(头条)
杨浦区,国和中学,上海市国和中学,归一化,15,,,730,,5,多源一致,700+15(冯/头条/梦回)；最高730
杨浦区,昆明学校,上海市昆明学校,归一化,,,,722,,,仅最高分,最高722/719.5(梦回)
闵行区,莘松中学,上海市闵行区莘松中学,归一化,200,,25,737.5,,13.9,单一来源,最高737.5全市状元；700+200+(梦回)；720+20-30；锐思150-200
闵行区,闵华二附中,华东师范大学第二附属中学附属初级中学,别名,123,59,21,735,355,26.1,多源一致,700+123/710+59/720+21(梦回)；中考355；头条123/锐思118
闵行区,交大二附中,上海交通大学附属第二中学,别名,109,,,,,21.9,多源一致,700+109(梦回/头条)
闵行区,文来中学,上海市文来中学,别名,100,,,,,29.7,多源一致,700+100+(冯/锐思/梦回)
闵行区,七宝二中,上海市闵行区七宝第二中学,别名,80,,,,,7.6,单一来源,700+80+(梦回)
闵行区,实验西校,上海市实验学校西校,别名,80,,,,,16.1,单一来源,700+至少80(梦回)
闵行区,马桥复旦万科,上海市闵行区马桥复旦万科实验中学,归一化,50,,2,732,,14.8,单一来源,700+50/730+2(梦回)
闵行区,七宝三中,上海市闵行区七宝第三中学,别名,45,,10,731.5,,11.1,单一来源,700+至少40(估50-60)/720+10来个(梦回)
闵行区,圣华紫竹,上海民办圣华紫竹双语学校,归一化,41,8,,,140,30.4,单一来源,700+41/720+8(梦回)；中考140+
闵行区,七宝实验,上海市七宝实验中学,归一化,40,,,728,,12.4,单一来源,700+40/最高728(梦回)
闵行区,晶城中学,上海中医药大学附属闵行晶城中学,归一化,35,,,,,11.8,单一来源,700+35(梦回)
闵行区,七宝文来,上海市闵行区七宝文来学校,归一化,30,,,,,10.1,单一来源,700+近30(梦回)
闵行区,博世凯,上海博世凯外国语学校,归一化,20,,3,,,18.5,单一来源,700+近20/720+3(梦回)
闵行区,浦江一中,上海市闵行区浦江第一中学,别名,10,,3,,,2.7,单一来源,700+10+/720+3(梦回)
闵行区,龙茗中学,上海市闵行区龙茗中学,归一化,,,,702.5,280,,单一来源,中考280；702.5校排15→700+约≤15(梦回)
闵行区,颛桥中学,上海市闵行区颛桥中学,归一化,,,,725,,,仅最高分,最高725(梦回)
闵行区,田园外语中学,上海市闵行区田园外国语中学,别名,,,,734,,,仅最高分,最高734(梦回)
