各初中学校考生人数（按到校名额占比推算，非官方公布）,,,,
推算方法：名额分配到校计划按各初中应届毕业生占全区比例均衡分配，故 推算考生数 = 全区考生数 × (该校到校名额合计 ÷ 全区到校名额合计)。全区考生数取自本工作簿『考生人数』Sheet（16区为民间估算，非官方口径）；到校名额合计取自『名额分配到校计划(逐校)』。结果四舍五入，单校误差约 ±(全区考生数÷全区到校名额) 人/名额；仅覆盖实际拿到到校名额的初中，个别 0 名额校（多为无中招报名资格或极小规模）不在此表。此数为推算值，仅供量级参考，正式用途以上海市教育考试院公布为准。,,,,
区,初中学校,推算考生数(人),到校名额合计,占全区比例(%)
浦东新区,上海市建平中学西校,1017,63,3.05
浦东新区,上海市进才中学北校,807,50,2.42
浦东新区,上海市南汇第二中学,630,39,1.89
浦东新区,上海市澧溪中学,630,39,1.89
浦东新区,上海市南汇第四中学,581,36,1.74
浦东新区,上海市建平实验中学,565,35,1.69
浦东新区,上海市川沙中学南校,533,33,1.6
浦东新区,上海市临港实验中学,517,32,1.55
浦东新区,上海中学东校,484,30,1.45
浦东新区,上海市建平实验地杰中学,468,29,1.4
浦东新区,上海市民办尚德实验学校,468,29,1.4
浦东新区,上海市傅雷中学,452,28,1.36
浦东新区,上海市上南中学东校,436,27,1.31
浦东新区,上海市川沙中学华夏西校,436,27,1.31
浦东新区,上海师范大学附属高桥实验中学,420,26,1.26
浦东新区,上海市北蔡中学,420,26,1.26
浦东新区,上海立信会计金融学院附属学校,404,25,1.21
浦东新区,上海市进才实验中学,404,25,1.21
浦东新区,上海市浦东新区彭镇中学,404,25,1.21
浦东新区,上海市清流中学,387,24,1.16
浦东新区,上海浦东新区民办欣竹中学,387,24,1.16
浦东新区,上海市侨光中学,387,24,1.16
浦东新区,上海市航头学校,371,23,1.11
浦东新区,上海市南汇第一中学,355,22,1.06
浦东新区,上海市三林中学北校,339,21,1.02
浦东新区,上海市建平香梅中学,339,21,1.02
浦东新区,上海市实验学校南校,323,20,0.97
浦东新区,华东师范大学附属东昌中学南校,307,19,0.92
浦东新区,上海市五三中学,307,19,0.92
浦东新区,上海市实验学校东校,307,19,0.92
浦东新区,上海市周浦实验学校,291,18,0.87
浦东新区,上海市浦东模范中学,274,17,0.82
浦东新区,上海市致远中学,274,17,0.82
浦东新区,上海市南汇第三中学,274,17,0.82
浦东新区,上海市浦东新区进才森兰实验中学,274,17,0.82
浦东新区,上海市浦东新区建平临港中学,274,17,0.82
浦东新区,上海市张江集团中学,274,17,0.82
浦东新区,上海市浦东新区进才万祥学校,274,17,0.82
浦东新区,上海市罗山中学,258,16,0.77
浦东新区,上海市杨思中学,258,16,0.77
浦东新区,上海市浦东模范中学东校,258,16,0.77
浦东新区,上海市洪山中学,242,15,0.73
浦东新区,上海市浦东新区新场实验中学,242,15,0.73
浦东新区,上海市洋泾菊园实验学校,242,15,0.73
浦东新区,上海市实验学校附属光明学校,242,15,0.73
浦东新区,上海市康城学校,242,15,0.73
浦东新区,上海市育人中学,226,14,0.68
浦东新区,上海市顾路中学,226,14,0.68
浦东新区,上海市浦东新区进才中学东校,226,14,0.68
浦东新区,上海市建平实验张江中学,226,14,0.68
浦东新区,上海市浦东新区建平康梧中学,226,14,0.68
浦东新区,上海立信会计金融学院附属高行中学,226,14,0.68
浦东新区,上海市上南中学南校,210,13,0.63
浦东新区,上海浦东新区民办恒洋外国语学校,210,13,0.63
浦东新区,上海市育民中学,210,13,0.63
浦东新区,上海第二工业大学附属龚路中学,210,13,0.63
浦东新区,上海中医药大学附属浦东鹤沙学校,210,13,0.63
浦东新区,上海浦东新区民办远翔实验学校,210,13,0.63
浦东新区,上海浦东新区民办进德外国语中学,210,13,0.63
浦东新区,上海民办华曜浦东实验学校,210,13,0.63
浦东新区,上海市大团中学,194,12,0.58
浦东新区,上海市浦东新区进才中学南校,194,12,0.58
浦东新区,上海市浦东模范实验中学,194,12,0.58
浦东新区,华东师范大学张江实验中学,194,12,0.58
浦东新区,上海市泥城中学,194,12,0.58
浦东新区,上海师范大学附属浦东秋萍学校,194,12,0.58
浦东新区,上海市上南中学北校,178,11,0.53
浦东新区,上海市杨园中学,178,11,0.53
浦东新区,上海民办浦东交中初级中学,178,11,0.53
浦东新区,上海市浦东新区进才书院学校,178,11,0.53
浦东新区,上海市书院中学,178,11,0.53
浦东新区,上海市浦东新区建平培德实验中学,178,11,0.53
浦东新区,上海师范大学附属浦东临港中学,178,11,0.53
浦东新区,上海市江镇中学,178,11,0.53
浦东新区,上海市民办平和学校,178,11,0.53
浦东新区,上海市浦东新区建平南汇实验学校,178,11,0.53
浦东新区,上海市三墩学校,178,11,0.53
浦东新区,华东师范大学第二附属中学前滩学校,178,11,0.53
浦东新区,上海浦东民办来科技学校,178,11,0.53
浦东新区,上海市洋泾中学东校,161,10,0.48
浦东新区,上海市浦东新区进才实验中学南校,161,10,0.48
浦东新区,上海市浦兴中学,161,10,0.48
浦东新区,上海市竹园中学,161,10,0.48
浦东新区,上海市民办金苹果学校,161,10,0.48
浦东新区,上海市今日学校,161,10,0.48
浦东新区,上海市浦泾中学,145,9,0.44
浦东新区,上海市浦东新区教育学院附属实验中学,145,9,0.44
浦东新区,上海市洋泾中学南校,145,9,0.44
浦东新区,上海市华林中学,145,9,0.44
浦东新区,上海市孙桥中学,145,9,0.44
浦东新区,上海市东林中学,145,9,0.44
浦东新区,上海市施湾中学,145,9,0.44
浦东新区,上海市黄楼中学,145,9,0.44
浦东新区,上海市王港中学,145,9,0.44
浦东新区,上海市东沟中学,145,9,0.44
浦东新区,上海市凌桥中学,145,9,0.44
浦东新区,上海市陆行中学北校,145,9,0.44
浦东新区,上海市蔡路中学,145,9,0.44
浦东新区,上海市六团中学,145,9,0.44
浦东新区,上海戏剧学院附属浦东实验中学,145,9,0.44
浦东新区,上海市陆行中学南校,145,9,0.44
浦东新区,上海市六灶中学,145,9,0.44
浦东新区,上海市浦东教育发展研究院附属中学,145,9,0.44
浦东新区,上海民办光华中学,145,9,0.44
浦东新区,上海市浦东外国语学校东校,145,9,0.44
浦东新区,上海市浦东新区三灶实验中学,145,9,0.44
浦东新区,上海市浦东新区懿德中学,145,9,0.44
浦东新区,上海市历城中学,145,9,0.44
浦东新区,上海市泾南中学,145,9,0.44
浦东新区,上海市香山中学,145,9,0.44
浦东新区,上海市沪新中学,145,9,0.44
浦东新区,上海市三林中学东校,145,9,0.44
浦东新区,上海市川沙中学北校,145,9,0.44
浦东新区,上海浦东新区民办正达外国语学校,145,9,0.44
浦东新区,上海市老港中学,145,9,0.44
浦东新区,上海市长岛中学,145,9,0.44
浦东新区,上海市绿川学校,145,9,0.44
浦东新区,上海民办启能东方外国语学校,145,9,0.44
浦东新区,上海市民办中芯学校,145,9,0.44
浦东新区,上海市三灶学校,145,9,0.44
浦东新区,上海市黄路学校,145,9,0.44
浦东新区,上海市宣桥学校,145,9,0.44
浦东新区,上海浦东新区民办东鼎外国语学校,145,9,0.44
浦东新区,上海浦东新区民办沪港学校,145,9,0.44
浦东新区,上海浦东新区民办更新学校,145,9,0.44
浦东新区,上海浦东新区民办万科学校,145,9,0.44
浦东新区,上海浦东新区民办惠立学校,145,9,0.44
浦东新区,上海科技大学附属学校,145,9,0.44
浦东新区,上海交通大学附属浦东实验中学,129,8,0.39
浦东新区,上海市东昌东校,129,8,0.39
浦东新区,上海市金杨中学,129,8,0.39
浦东新区,上海市坦直中学,129,8,0.39
浦东新区,上海市南汇第五中学,129,8,0.39
浦东新区,上海市合庆中学,129,8,0.39
浦东新区,上海市高东中学,129,8,0.39
浦东新区,上海浦东新区民办协和双语学校,129,8,0.39
浦东新区,上海市周浦育才学校,129,8,0.39
浦东新区,上海市东海学校,129,8,0.39
浦东新区,上海浦东新区民办宏文学校,129,8,0.39
浦东新区,上海市浦东新区东城学校,129,8,0.39
黄浦区,格致初级中学,488,117,11.75
黄浦区,向明初级中学,379,91,9.14
黄浦区,大同初级中学,350,84,8.43
黄浦区,民办立达中学,288,69,6.93
黄浦区,大境初级中学,271,65,6.53
黄浦区,卢湾中学,246,59,5.92
黄浦区,交附黄浦实验,242,58,5.82
黄浦区,中山学校,229,55,5.52
黄浦区,市十中学,225,54,5.42
黄浦区,尚文中学,167,40,4.02
黄浦区,敬业初级中学,163,39,3.92
黄浦区,市南中学,158,38,3.82
黄浦区,上音比乐中学,158,38,3.82
黄浦区,民办明珠中学,133,32,3.21
黄浦区,光明初级中学,129,31,3.11
黄浦区,市八初级中学,104,25,2.51
黄浦区,民办震旦外国语,100,24,2.41
黄浦区,储能中学,96,23,2.31
黄浦区,民办永昌学校,75,18,1.81
黄浦区,金陵中学,63,15,1.51
黄浦区,清华中学,58,14,1.41
黄浦区,康德双语实验学校,29,7,0.7
徐汇区,上海市徐汇中学,536,55,6.12
徐汇区,上海市西南位育中学,536,55,6.12
徐汇区,上海市西南模范中学,526,54,6.01
徐汇区,上海市田林第三中学,487,50,5.56
徐汇区,上海市第四中学,438,45,5.01
徐汇区,上海市南洋模范初级中学,428,44,4.89
徐汇区,上海市位育初级中学,399,41,4.56
徐汇区,上海市中国中学,399,41,4.56
徐汇区,上海市世外中学,370,38,4.23
徐汇区,上海市民办华育中学,370,38,4.23
徐汇区,上海市徐汇区教育学院附属实验中学,360,37,4.12
徐汇区,上海市南洋初级中学,321,33,3.67
徐汇区,上海市园南中学,321,33,3.67
徐汇区,上海市康健外国语实验中学,321,33,3.67
