各区中考分数水平（平行志愿线代理，由官方平行志愿线推算）,,,,,,,,,
代理方法：用本工作簿『平行志愿分数线』Sheet 中各区官方录取最低分，计算每区的均值/中位数/最高最低线，以及 ≥700 / ≥680 / ≥650 分的学校占比，作为『分区分数水平』的可复现代理指标。⚠ 这是区级分数水平的近似，并非官方『分区一分一段表』（官方从不公布分区一分一段）。宝山区官方以图片发布，仅能从公开报道提取到 6 所头部本区高中，故宝山区均值为偏高的部分值，已在『数据状态』标注。,,,,,,,,,
区,高中数(本区招生),平行志愿线均值,中位数,最高线,最低线,≥700占比%,≥680占比%,≥650占比%,数据状态
浦东新区,102,606.06,619,715.5,480.5,9.8,17.6,30.4,完整·官方平行志愿线
黄浦区,63,620.56,609.5,714.5,508.5,7.9,20.6,33.3,完整·官方平行志愿线
徐汇区,63,611.25,615.5,716,472,12.7,19,28.6,完整·官方平行志愿线
长宁区,50,618.35,610.75,715,477,10,18,28,完整·官方平行志愿线
静安区,60,614.67,618.25,713.5,483,8.3,18.3,31.7,完整·官方平行志愿线
普陀区,58,606.16,602.5,719.5,459,12.1,20.7,31,完整·官方平行志愿线
虹口区,44,613.52,597.25,716.5,512,9.1,18.2,31.8,完整·官方平行志愿线
杨浦区,47,614.4,627.5,715.5,451,8.5,17,38.3,完整·官方平行志愿线
闵行区,80,603.86,611,718,468,10,18.8,31.2,完整·官方平行志愿线
宝山区,6,684.92,686.25,704.5,659.5,16.7,66.7,100,部分·仅头部6所(官方图片未全解析)
嘉定区,47,609.85,611,718,492.5,8.5,17,27.7,完整·官方平行志愿线
松江区,58,601.05,610.75,717.5,488.5,10.3,19,25.9,完整·官方平行志愿线
青浦区,45,589.48,579.5,718.5,451.5,8.9,15.6,22.2,完整·官方平行志愿线
奉贤区,41,601.56,616.5,718,491,9.8,19.5,26.8,完整·官方平行志愿线
金山区,29,613.48,622.5,717,452,17.2,20.7,31,完整·官方平行志愿线
崇明区,20,595.98,595,711.5,441.5,20,20,35,完整·官方平行志愿线
