2026 年上海中考 各区统一招生(1-15志愿)批次 招生计划（已知区，来源：vsxue/头条汇总）,,,,
,,,,
区,本区高中计划(人),外区高中计划(人),合计(人),备注
浦东新区,16354,274,16628,本区高中66所；新增临港科高/洋泾南校/群峰高中
闵行区,6838,659,7497,本区31所；扩招771，多为普高
徐汇区,3529,310,3839,市二梅陇校区减35、本部增48；民办位育新开70
杨浦区,3061,182,3243,本区13所；扩招330多为区重点
静安区,3150,—,3150,本区21所；复附静安首招45；市重红利区
黄浦区,1365,—,1365,本区17所；同济科中首招5
虹口区,1868,—,1868,本区9所；普高录取率最高约75%
青浦区,1841,—,1841,本区11所；上师附青浦首届176
嘉定区,3872,179,4051,本区13所；扩招550
宝山区,5091,—,5091,本区22所；市重扩招87
,,,,
注：长宁/普陀/金山/松江/奉贤/崇明等区统招计划数公开源暂缺；此表仅为统一招生(1-15志愿)批次，不含自招与名额分配批次。,,,,
