2026 年上海中考 名额分配到校 招生计划（逐校明细 · 初中×高中组合，来源：16区教育局/招考机构公示）,,,
,,,
区,初中学校,招生学校,计划数
嘉定区,上海市嘉定区启良中学,上海市嘉定区第一中学,6
嘉定区,上海市嘉定区启良中学,上海交通大学附属中学嘉定分校,7
嘉定区,上海市嘉定区启良中学,上海师范大学附属中学嘉定新城分校,4
嘉定区,上海市嘉定区方泰中学,上海师范大学附属中学,1
嘉定区,上海市嘉定区方泰中学,上海市嘉定区第一中学,2
嘉定区,上海市嘉定区方泰中学,上海交通大学附属中学嘉定分校,2
嘉定区,上海市嘉定区方泰中学,上海师范大学附属中学嘉定新城分校,1
嘉定区,上海市曹杨二中附属江桥实验中学,上海市嘉定区第一中学,8
嘉定区,上海市曹杨二中附属江桥实验中学,上海交通大学附属中学嘉定分校,9
嘉定区,上海市曹杨二中附属江桥实验中学,上海师范大学附属中学嘉定新城分校,5
嘉定区,上海市嘉定区迎园中学,华东师范大学第二附属中学,1
嘉定区,上海市嘉定区迎园中学,上海市嘉定区第一中学,10
嘉定区,上海市嘉定区迎园中学,上海交通大学附属中学嘉定分校,11
嘉定区,上海市嘉定区迎园中学,上海师范大学附属中学嘉定新城分校,6
嘉定区,上海市嘉定区南苑中学,上海市嘉定区第一中学,4
嘉定区,上海市嘉定区南苑中学,上海交通大学附属中学嘉定分校,5
嘉定区,上海市嘉定区南苑中学,上海师范大学附属中学嘉定新城分校,3
嘉定区,上海市嘉定区黄渡中学,上海市嘉定区第一中学,6
嘉定区,上海市嘉定区黄渡中学,上海交通大学附属中学嘉定分校,7
嘉定区,上海市嘉定区黄渡中学,上海师范大学附属中学嘉定新城分校,4
嘉定区,上海市嘉定区徐行中学,华东师范大学第二附属中学,1
嘉定区,上海市嘉定区徐行中学,上海市嘉定区第一中学,3
嘉定区,上海市嘉定区徐行中学,上海交通大学附属中学嘉定分校,3
嘉定区,上海市嘉定区徐行中学,上海师范大学附属中学嘉定新城分校,1
嘉定区,上海市嘉定区马陆育才联合中学,上海市嘉定区第一中学,4
嘉定区,上海市嘉定区马陆育才联合中学,上海交通大学附属中学嘉定分校,5
嘉定区,上海市嘉定区马陆育才联合中学,上海师范大学附属中学嘉定新城分校,2
嘉定区,上海市民办嘉宜初级中学,上海市嘉定区第一中学,8
嘉定区,上海市民办嘉宜初级中学,上海交通大学附属中学嘉定分校,9
嘉定区,上海市民办嘉宜初级中学,上海师范大学附属中学嘉定新城分校,5
嘉定区,上海市嘉定区丰庄中学,上海市嘉定区第一中学,6
嘉定区,上海市嘉定区丰庄中学,上海交通大学附属中学嘉定分校,7
嘉定区,上海市嘉定区丰庄中学,上海师范大学附属中学嘉定新城分校,4
嘉定区,上海市嘉定区外冈中学,上海市嘉定区第一中学,3
嘉定区,上海市嘉定区外冈中学,上海交通大学附属中学嘉定分校,4
嘉定区,上海市嘉定区外冈中学,上海师范大学附属中学嘉定新城分校,2
嘉定区,上海民办华曜嘉定初级中学,上海市上海中学,1
嘉定区,上海民办华曜嘉定初级中学,上海市嘉定区第一中学,5
嘉定区,上海民办华曜嘉定初级中学,上海交通大学附属中学嘉定分校,7
嘉定区,上海民办华曜嘉定初级中学,上海师范大学附属中学嘉定新城分校,4
嘉定区,上海市嘉定区震川中学,复旦大学附属中学,1
嘉定区,上海市嘉定区震川中学,上海市嘉定区第一中学,11
嘉定区,上海市嘉定区震川中学,上海交通大学附属中学嘉定分校,15
嘉定区,上海市嘉定区震川中学,上海师范大学附属中学嘉定新城分校,8
嘉定区,上海大学附属嘉定留云中学,上海交通大学附属中学,1
嘉定区,上海大学附属嘉定留云中学,上海市嘉定区第一中学,9
嘉定区,上海大学附属嘉定留云中学,上海交通大学附属中学嘉定分校,11
嘉定区,上海大学附属嘉定留云中学,上海师范大学附属中学嘉定新城分校,5
嘉定区,交大附中附属嘉定德富中学,上海市嘉定区第一中学,7
嘉定区,交大附中附属嘉定德富中学,上海交通大学附属中学嘉定分校,9
嘉定区,交大附中附属嘉定德富中学,上海师范大学附属中学嘉定新城分校,5
嘉定区,同济大学附属实验中学,上海市嘉定区第一中学,6
嘉定区,同济大学附属实验中学,上海交通大学附属中学嘉定分校,8
嘉定区,同济大学附属实验中学,上海师范大学附属中学嘉定新城分校,4
嘉定区,上海市嘉定区华江中学,上海市嘉定区第一中学,6
嘉定区,上海市嘉定区华江中学,上海交通大学附属中学嘉定分校,8
嘉定区,上海市嘉定区华江中学,上海师范大学附属中学嘉定新城分校,4
嘉定区,上海市嘉定区新城实验中学,华东师范大学第二附属中学,1
嘉定区,上海市嘉定区新城实验中学,上海市嘉定区第一中学,7
嘉定区,上海市嘉定区新城实验中学,上海交通大学附属中学嘉定分校,10
嘉定区,上海市嘉定区新城实验中学,上海师范大学附属中学嘉定新城分校,5
嘉定区,上海市嘉定区南翔中学,上海市嘉定区第一中学,7
嘉定区,上海市嘉定区南翔中学,上海交通大学附属中学嘉定分校,9
嘉定区,上海市嘉定区南翔中学,上海师范大学附属中学嘉定新城分校,5
嘉定区,上海市嘉定区疁城实验学校,上海市嘉定区第一中学,9
嘉定区,上海市嘉定区疁城实验学校,上海交通大学附属中学嘉定分校,10
嘉定区,上海市嘉定区疁城实验学校,上海师范大学附属中学嘉定新城分校,6
嘉定区,上海市嘉定区戬浜学校,上海市嘉定区第一中学,1
嘉定区,上海市嘉定区戬浜学校,上海交通大学附属中学嘉定分校,1
嘉定区,上海市嘉定区戬浜学校,上海师范大学附属中学嘉定新城分校,1
嘉定区,上海市嘉定区朱桥学校,上海市上海中学,1
嘉定区,上海市嘉定区朱桥学校,上海市嘉定区第一中学,2
嘉定区,上海市嘉定区朱桥学校,上海交通大学附属中学嘉定分校,1
嘉定区,上海市嘉定区朱桥学校,上海师范大学附属中学嘉定新城分校,1
嘉定区,上海市嘉定区苏民学校,复旦大学附属中学,1
嘉定区,上海市嘉定区苏民学校,上海市嘉定区第一中学,6
嘉定区,上海市嘉定区苏民学校,上海交通大学附属中学嘉定分校,7
嘉定区,上海市嘉定区苏民学校,上海师范大学附属中学嘉定新城分校,4
嘉定区,上海市民办远东学校,上海市嘉定区第一中学,4
