2026 年上海中考 名额分配到区 招生录取最低分数线（按接收区）,,,,,,,,,
,,,,,,,,,
接收区,招生学校,隶属区,办学性质,录取最低分,语数外,数学,语文,综合测试,是否同分优待
浦东新区,上海市格致中学,,748.5,414,143,127,140,否,
浦东新区,上海市大同中学,,748,417,138,133,135,否,
浦东新区,上海市向明中学,,733.5,395.5,128,121,147,否,
浦东新区,上海外国语大学附属大境中学,,717.5,386.5,131,125,136,否,
浦东新区,上海市光明中学,,711,391,128,123,127,否,
浦东新区,上海市敬业中学,,722.5,385.5,117,126,144,否,
浦东新区,上海市卢湾高级中学,,717.5,393,123,129,129,否,
浦东新区,同济大学科技中学,,763.5,418.5,141,130,148,否,
浦东新区,上海市第二中学,,726,397.5,122,129,130.5,否,
浦东新区,上海市南洋模范中学,,761,418,146,128,147,否,
浦东新区,上海市上海中学,,766.5,424.5,148,133,144,否,
浦东新区,上海市位育中学,,748.5,411.5,146,119,141,否,
浦东新区,复旦大学附属中学徐汇分校,,754,412.5,141,128,147,否,
浦东新区,上海市南洋中学,,727.5,392,120,126,144,否,
浦东新区,上海市第三女子中学,,723.5,399,124,132,130,否,
浦东新区,上海市延安中学,,743.5,415,143,128,138,否,
浦东新区,上海市复旦中学,,722,398,126,126,133,否,
浦东新区,上海市市西中学,,745,408,131,131,143,否,
浦东新区,上海市育才中学,,736.5,397,130,127,145,否,
浦东新区,上海市新中高级中学,,727.5,392.5,138,115,144,否,
浦东新区,上海市市北中学,,733,403,126,132,135,否,
浦东新区,上海市回民中学,,694.5,372.5,104,127,126,否,
浦东新区,上海市第六十中学,,703,370.5,114,120,138,否,
浦东新区,上海市华东模范中学,,688,366.5,101,122,131,否,
浦东新区,上海市晋元高级中学,,737.5,407.5,137,129,137,否,
浦东新区,上海市曹杨第二中学,,754,412,142,133,145,否,
浦东新区,上海市宜川中学,,711.5,392.5,145,117,138,否,
浦东新区,复旦大学附属复兴中学,,748,407,128,134,143,否,
浦东新区,华东师范大学第一附属中学,,739.5,401.5,125,131,142,否,
浦东新区,上海财经大学附属北郊高级中学,,715,389,134,119,138,否,
浦东新区,上海市杨浦高级中学,,736.5,403,141,121,140,否,
浦东新区,上海市控江中学,,756.5,421.5,143,132,140,否,
浦东新区,上海交通大学附属中学,,767,426,148,134,144,否,
浦东新区,复旦大学附属中学,,764.5,425.5,144,133,147,否,
浦东新区,同济大学第一附属中学,,726,398.5,137,119,139,否,
浦东新区,上海市七宝中学,,757.5,415,150,124,148,否,
浦东新区,华东师范大学第二附属中学闵行紫竹分校,,761.5,425.5,147,130,141,否,
浦东新区,上海师范大学附属中学闵行分校,,743.5,411.5,140,125,135,否,
浦东新区,上海交通大学附属中学闵行分校,,763.5,419.5,142,134,146,否,
浦东新区,上海市闵行中学,,730,391,121,129,139,否,
浦东新区,上海市行知中学,,740.5,403.5,141,119,144,否,
浦东新区,上海大学附属中学,,727.5,395.5,128,125,139,否,
浦东新区,上海师范大学附属中学宝山分校,,732.5,401.5,134,124,137,否,
浦东新区,上海市吴淞中学,,724.5,396.5,125,131,132,否,
浦东新区,华东师范大学第二附属中学,,752,415,143,128,141,否,
浦东新区,上海市嘉定区第一中学,,733.5,401,142,122,142,否,
