2026 年上海中考 名额分配到校 招生录取最低分数线（初中×高中组合）,,,,,,,,,
,,,,,,,,,
区,初中学校,招生学校,录取最低分,综合素质评价,语数外,数学,语文,综合测试,是否同分优待
plan_嘉定,上海市嘉定区启良中学,上海市嘉定区第一中学,6,,,,,,
plan_嘉定,上海市嘉定区启良中学,上海交通大学附属中学嘉定分校,7,,,,,,
plan_嘉定,上海市嘉定区启良中学,上海师范大学附属中学嘉定新城分校,4,,,,,,
plan_嘉定,上海市嘉定区方泰中学,上海师范大学附属中学,1,,,,,,
plan_嘉定,上海市嘉定区方泰中学,上海市嘉定区第一中学,2,,,,,,
plan_嘉定,上海市嘉定区方泰中学,上海交通大学附属中学嘉定分校,2,,,,,,
plan_嘉定,上海市嘉定区方泰中学,上海师范大学附属中学嘉定新城分校,1,,,,,,
plan_嘉定,上海市曹杨二中附属江桥实验中学,上海市嘉定区第一中学,8,,,,,,
plan_嘉定,上海市曹杨二中附属江桥实验中学,上海交通大学附属中学嘉定分校,9,,,,,,
plan_嘉定,上海市曹杨二中附属江桥实验中学,上海师范大学附属中学嘉定新城分校,5,,,,,,
plan_嘉定,上海市嘉定区迎园中学,华东师范大学第二附属中学,1,,,,,,
plan_嘉定,上海市嘉定区迎园中学,上海市嘉定区第一中学,10,,,,,,
plan_嘉定,上海市嘉定区迎园中学,上海交通大学附属中学嘉定分校,11,,,,,,
plan_嘉定,上海市嘉定区迎园中学,上海师范大学附属中学嘉定新城分校,6,,,,,,
plan_嘉定,上海市嘉定区南苑中学,上海市嘉定区第一中学,4,,,,,,
plan_嘉定,上海市嘉定区南苑中学,上海交通大学附属中学嘉定分校,5,,,,,,
plan_嘉定,上海市嘉定区南苑中学,上海师范大学附属中学嘉定新城分校,3,,,,,,
plan_嘉定,上海市嘉定区黄渡中学,上海市嘉定区第一中学,6,,,,,,
plan_嘉定,上海市嘉定区黄渡中学,上海交通大学附属中学嘉定分校,7,,,,,,
plan_嘉定,上海市嘉定区黄渡中学,上海师范大学附属中学嘉定新城分校,4,,,,,,
plan_嘉定,上海市嘉定区徐行中学,华东师范大学第二附属中学,1,,,,,,
plan_嘉定,上海市嘉定区徐行中学,上海市嘉定区第一中学,3,,,,,,
plan_嘉定,上海市嘉定区徐行中学,上海交通大学附属中学嘉定分校,3,,,,,,
plan_嘉定,上海市嘉定区徐行中学,上海师范大学附属中学嘉定新城分校,1,,,,,,
plan_嘉定,上海市嘉定区马陆育才联合中学,上海市嘉定区第一中学,4,,,,,,
plan_嘉定,上海市嘉定区马陆育才联合中学,上海交通大学附属中学嘉定分校,5,,,,,,
plan_嘉定,上海市嘉定区马陆育才联合中学,上海师范大学附属中学嘉定新城分校,2,,,,,,
plan_嘉定,上海市民办嘉宜初级中学,上海市嘉定区第一中学,8,,,,,,
plan_嘉定,上海市民办嘉宜初级中学,上海交通大学附属中学嘉定分校,9,,,,,,
plan_嘉定,上海市民办嘉宜初级中学,上海师范大学附属中学嘉定新城分校,5,,,,,,
plan_嘉定,上海市嘉定区丰庄中学,上海市嘉定区第一中学,6,,,,,,
plan_嘉定,上海市嘉定区丰庄中学,上海交通大学附属中学嘉定分校,7,,,,,,
plan_嘉定,上海市嘉定区丰庄中学,上海师范大学附属中学嘉定新城分校,4,,,,,,
plan_嘉定,上海市嘉定区外冈中学,上海市嘉定区第一中学,3,,,,,,
plan_嘉定,上海市嘉定区外冈中学,上海交通大学附属中学嘉定分校,4,,,,,,
plan_嘉定,上海市嘉定区外冈中学,上海师范大学附属中学嘉定新城分校,2,,,,,,
plan_嘉定,上海民办华曜嘉定初级中学,上海市上海中学,1,,,,,,
plan_嘉定,上海民办华曜嘉定初级中学,上海市嘉定区第一中学,5,,,,,,
plan_嘉定,上海民办华曜嘉定初级中学,上海交通大学附属中学嘉定分校,7,,,,,,
plan_嘉定,上海民办华曜嘉定初级中学,上海师范大学附属中学嘉定新城分校,4,,,,,,
plan_嘉定,上海市嘉定区震川中学,复旦大学附属中学,1,,,,,,
plan_嘉定,上海市嘉定区震川中学,上海市嘉定区第一中学,11,,,,,,
plan_嘉定,上海市嘉定区震川中学,上海交通大学附属中学嘉定分校,15,,,,,,
plan_嘉定,上海市嘉定区震川中学,上海师范大学附属中学嘉定新城分校,8,,,,,,
plan_嘉定,上海大学附属嘉定留云中学,上海交通大学附属中学,1,,,,,,
plan_嘉定,上海大学附属嘉定留云中学,上海市嘉定区第一中学,9,,,,,,
plan_嘉定,上海大学附属嘉定留云中学,上海交通大学附属中学嘉定分校,11,,,,,,
plan_嘉定,上海大学附属嘉定留云中学,上海师范大学附属中学嘉定新城分校,5,,,,,,
plan_嘉定,交大附中附属嘉定德富中学,上海市嘉定区第一中学,7,,,,,,
plan_嘉定,交大附中附属嘉定德富中学,上海交通大学附属中学嘉定分校,9,,,,,,
plan_嘉定,交大附中附属嘉定德富中学,上海师范大学附属中学嘉定新城分校,5,,,,,,
