字段数据字典（各 Sheet 字段含义、取值/单位、注意事项）,,,,
,,,,
所属 Sheet,字段名,含义,取值 / 单位,注意事项
考生人数,区域,区名或『全市』,文本,全市=16区合计(官方)；其余为各区
考生人数,考生人数(人),该区参加中考人数,整数,全市为官方 138000；各区为民间估算，非官方口径
考生人数,数据性质,数据来源性质,官方/民间估算,官方仅全市，各区均为估算
考生人数,备注,来源与说明,文本,
各初中考生人数(推算),区,区名,文本,按区汇总行的联动键
各初中考生人数(推算),初中学校,初中学校全称,文本,实际拿到到校名额的初中
各初中考生人数(推算),推算考生数(人),该校推算考生数,整数,
各初中考生人数(推算),到校名额合计,该校名额分配到校计划总数,整数,来自『名额分配到校计划(逐校)』按校求和
各初中考生人数(推算),占全区比例(%),该校名额占全区到校名额比,0-100,≈该校考生占全区比，即推算依据
初中校700分以上人数(民间统计),区,区名,文本,按区汇总联动键
初中校700分以上人数(民间统计),初中学校,初中学校全称,文本,民间统计口径，校名可能与官方略有出入
初中校700分以上人数(民间统计),700+人数,该校中考 700 分及以上人数,整数/空,民间统计；空=未统计到；可靠度见『可靠度』列
初中校700分以上人数(民间统计),710+人数,该校 710 分及以上人数,整数/空,部分学校才有细分
初中校700分以上人数(民间统计),720+人数,该校 720 分及以上人数,整数/空,部分学校才有细分
初中校700分以上人数(民间统计),最高分,该校已曝光最高分,小数/空,部分仅披露最高分，无 700+ 计数
初中校700分以上人数(民间统计),中考人数(已知),该校实际中考人数(若渠道披露),整数/空,仅少数学校披露，可用于校验推算考生数
初中校700分以上人数(民间统计),可靠度,数据可信度分级,枚举,多源一致/单一来源/网传存疑/仅最高分
初中校700分以上人数(民间统计),备注,来源与口径说明,文本,含来源、冲突标注(如徐汇中学67 vs 估30+)
初中校700分以上人数(民间统计),700+占比%(推算),700+人数 ÷ 推算考生数,0-100/空,推算考生数来自『各初中考生人数(推算)』，仅校名可匹配时填列
初中学校排行榜(分区分榜),区,区名,文本,按区汇总联动键
初中学校排行榜(分区分榜),初中学校,初中学校全称,文本,拿到到校名额的初中
初中学校排行榜(分区分榜),推算考生数(人),该校推算考生数,整数/空,来自『各初中考生人数(推算)』
初中学校排行榜(分区分榜),到校名额合计,该校名额分配到校计划总数,整数/空,来自『名额分配到校计划(逐校)』
