2026 年上海中考 1-15志愿（平行志愿）统一招生录取最低分数线,,,,,,,,,,
,,,,,,,,,,
区,招生代码,招生学校,录取最低分,语数外,数学,语文,综合测试,是否同分优待,备注,
浦东新区,042032,上海市上海中学,715.5,425.5,149,133,144,否,,
浦东新区,102056,上海交通大学附属中学,714,427,149,134,144,否,,
浦东新区,102057,复旦大学附属中学,715,420,146,127,150,否,,
浦东新区,152003,华东师范大学第二附属中学,715,425.5,141,138,143,否,,
浦东新区,155001,上海市实验学校,709,416,139,128,145,否,,
浦东新区,152006,上海师范大学附属中学,701.5,419,146,130,141,否,,
浦东新区,152001,上海市建平中学,706,415,142,132,144,否,,
浦东新区,152002,上海市进才中学,703.5,412.5,136,131,142,否,,
浦东新区,152004,上海南汇中学,685,407,129,136,131,否,,
浦东新区,153001,上海市洋泾中学,697,413,142,124,141,否,,
浦东新区,153005,上海市川沙中学,695.5,408.5,139,128,147,否,,
浦东新区,151078,上海中学东校,700,414,136,132,139,否,,
浦东新区,152005,上海市浦东复旦附中分校,710,416,138,136,147,否,,
浦东新区,153004,上海市高桥中学,684,412,137,129,131,否,,
浦东新区,153002,华东师范大学附属东昌中学,686.5,400.5,130,126,139,否,,
浦东新区,154013,上海海事大学附属北蔡高级中学,674.5,388,135,119,142,否,,
浦东新区,154009,上海市香山中学,619.5,359,120,117,129,否,,
浦东新区,152007,上海市建平中学筠溪分校,690.5,401,132,127,144,否,,
浦东新区,152008,上海市进才中学根林分校,682,393,129,122,146,否,,
浦东新区,152009,上海市川沙中学友仁分校,678,394,132,118,144,否,,
浦东新区,151019,上海市洋泾中学南校,672.5,389,119,132,143,否,,
浦东新区,151087,上海市浦东外国语学校东校,642,380,121,124,121,否,,
浦东新区,153003,上海市上南中学,659,395.5,127,127,125.5,否,,
浦东新区,153006,上海市三林中学,647.5,394.5,129,122,108,否,,
浦东新区,153007,上海市杨思高级中学,641,366,113,117,132,否,,
浦东新区,153008,上海市新川中学,658,386,130,123,130,否,,
浦东新区,153009,华东师范大学附属周浦中学,667,389,115,132,131,否,,
浦东新区,153010,上海海洋大学附属大团高级中学,610.5,359.5,98,124,118,否,,
浦东新区,153011,上海市新场中学,579,351,102,115,96,否,,
浦东新区,153012,华东理工大学附属浦东科技高级中学,665,394,132,125,129,否,,
浦东新区,153013,华东师范大学附属浦东临港高级中学,654.5,384,116,127,129,否,,
浦东新区,153014,上海市浦东临港科技高级中学,656.5,384,123,123,133,否,,
浦东新区,154003,上海市文建中学,605.5,345,92,125,120,否,,
浦东新区,154011,上海市陆行中学,646.5,363,115,116,139,否,,
浦东新区,154012,上海市浦东中学,600,349.5,112,114,114,否,,
浦东新区,154016,上海立信会计金融学院附属高行中学,637.5,366.5,108,123,125,否,,
浦东新区,154044,上海市建平世纪中学,632.5,365,105,126,128,否,,
浦东新区,154046,上海交通大学附属中学浦东实验高中,614.5,351,109,110,122,否,,
浦东新区,154050,上海市南汇第一中学,627,364.5,114,117,129,否,,
浦东新区,154008,上海市泾南中学,581.5,353.5,103,117,103,否,,
浦东新区,154010,上海市沪新中学,560,322.5,118,104,108,否,,
浦东新区,154015,上海市育民中学,622,374.5,123,115,108,否,,
浦东新区,154017,上海第二工业大学附属龚路中学,590,336,91,116,118.5,否,,
浦东新区,154020,上海市江镇中学,584.5,342,94,124,108,否,,
浦东新区,154024,华东师范大学张江实验中学,627,360,97,119,127,否,,
浦东新区,154026,上海市三林中学东校,576,336,106,105,107,否,,
浦东新区,154045,上海市高东中学,567.5,328.5,94,118,99,否,,
浦东新区,154047,上海市祝桥高级中学,567.5,330.5,111,109,107,否,,
浦东新区,154051,上海市老港中学,543.5,319.5,98,114,90,否,,
浦东新区,154052,上海市泥城中学,534,285.5,107,118,112,否,,
浦东新区,154053,上海市吴迅中学,555.5,316.5,92,106,110,否,,
浦东新区,154054,上海市浦东新区群峰高级中学,600,349,109,106,116,否,,
浦东新区,155002,上海市长岛中学,589,345.5,108,114,108,否,,
浦东新区,151082,上海民办光华中学,505.5,311,66,118,68,否,未录满,
浦东新区,154033,上海市浦东新区民办浦实高级中学,504,279,94,107,93,否,未录满,
浦东新区,154037,上海市民办育辛高级中学,501,272.5,91,104,105,否,未录满,
浦东新区,154039,上海市民办丰华高级中学,501.5,291,65,110,87,否,未录满,
浦东新区,154048,民办上海工商外国语职业学院附属中学,490.5,261,86,118,90,否,未录满,
浦东新区,155013,上海市民办金苹果学校,501,287,88,108,91,否,未录满,
浦东新区,155041,上海浦东新区民办东鼎外国语学校,480.5,262.5,57,105,92,否,未录满,
浦东新区,155043,上海市民办尚德实验学校,627,358.5,98,122,126,否,,
浦东新区,155047,上海浦东新区民办沪港学校,513.5,326.5,89,105,67.5,否,未录满,
浦东新区,155049,上海民办华曜浦东实验学校,672.5,394.5,125,123,138,否,,
浦东新区,155050,上海浦东新区民办万科学校,506,297.5,83,84,88,否,未录满,
浦东新区,155052,上海浦东新区民办惠立学校,502.5,305.5,73,113,72,否,未录满,
浦东新区,155053,上海浦东新区民办宏文学校,508,292.5,74,117,92,否,未录满,
