数据覆盖与缺口清单,,
,,
维度,覆盖情况,说明
维度,覆盖情况,说明
考生人数(全市),✅ 官方,138000人
考生人数(各区),⚠️ 民间估算,官方未统一公布分区人数
最低投档控制线,✅ 官方,615/615/501等
全市成绩分布(一分一段),⚠️ 部分,仅真实锚点+预测分档
分区成绩分布(一分一段),❌ 未公布·有代理,考试院仅公布全市一分一段，任何来源(含教培/自媒体)均无分区一分一段；新增『各区分数水平(平行志愿代理)』Sheet 用官方平行志愿线推算均值/高分占比作区级近似(非一分一段)
初中校考生人数(推算),⚠️ 推算,按到校名额占比反推，覆盖拿到到校名额的初中；精度受各区考生数(民间估算)与名额取整影响
初中校700分以上人数(民间统计),⚠️ 民间,教培/自媒体统计 113 所初中的700+人数与最高分(覆盖16区含金山/崇明)，仅高分段尾巴、非完整分布，可靠度逐行标注；另算700+占比%(推算)
初中学校排行榜(分区分榜),✅ 派生(区内为主),"由『名额到校录取线』算生源强度(全量703校·z分去市重难度)、『700+占比』算高分密度(113校)，并引入『声誉口碑(榜D)』(公开排名/口碑,主观)合成综合=A:B:D=2:1.5:6.5(声誉主导)；无声誉校回退A:B=6:4并标『声誉待补』；推算/民间/声誉均标数据完整度"
市重招生计划(各批次),✅ 官方/汇总,30728总，分4批
名额分配到区计划(市重77所),✅ 完整,citywide_到区计划.csv，合计7171
名额分配到校计划(逐校),✅ 16区已并入,初中×高中×计划数，合计12875；徐汇由用户手工补齐(899)，与全市12904差约29(个别区计划表极少量未解析)
平行志愿分数线,⚠️ 15区完整+宝山部分,原缺的闵行/嘉定/松江已从本地宝文本页补齐；宝山区官方图片仅提取到6所头部本区高中(其余官方图片未解析)
各区分数水平(平行志愿代理),✅ 派生(官方线推算),由『平行志愿分数线』官方线计算每区均值/中位数/高分占比，作区级分数水平代理；宝山区为偏高部分值
名额到区录取分数线,✅ 16区完整,按接收区
名额到校录取分数线,✅ 16区完整,初中×高中组合，浦东最全974行
各区统招计划数,⚠️ 部分区,10区已知，6区暂缺
