汇总透视（按高中 / 按区 汇总名额分配与分数线，便于快速看盘子）,,,,,
说明：『到校计划数(合计)』为16区『名额分配到校计划(逐校)』之和，现已 16 区计划CSV全部并入（含徐汇899，合计12875）；与全市口径12904差约29，系个别区计划表仍有极少量未解析单元格，非徐汇缺口。『到区录取线/平行志愿线』为各区最低值样本，前者800分制、后者750分制，二者不可相减、不可与计划数混淆。,,,,,
,,,,,
招生学校,到区计划数,到校计划数(合计),到校覆盖初中数,到区录取线(最低·800制),平行志愿线(最低·750制)
上海交通大学附属中学,336,82,67,426,705
上海市上海中学,291,73,55,424.5,705.5
复旦大学附属中学,271,65,54,425.5,709.5
上海师范大学附属中学,208,49,45,412.5,694.5
上海南汇中学,140,325,112,403.5,685
上海市大同中学,136,131,16,417,695
上海市青浦高级中学,135,314,28,399,671.5
上海市朱家角中学,129,300,28,385,655.5
上海市闵行中学,120,280,52,391,694
上海市七宝中学,120,280,50,415,705
上海大学附属中学,119,278,64,395.5,678
上海市行知中学,115,269,57,403.5,695
上海市洋泾中学,109,252,109,411,697
上海市进才中学,109,252,113,421,703.5
上海市建平中学,109,252,106,423.5,706
上海交通大学附属中学嘉定分校,107,252,31,424.5,699
上海市杨浦高级中学,103,240,20,403,691.5
上海市控江中学,103,240,19,421.5,699.5
上海市吴淞中学,100,234,61,396.5,681.5
上海市卢湾高级中学,96,131,20,393,669
上海外国语大学附属大境中学,96,131,16,386.5,674.5
上海市高桥中学,94,215,107,398.5,684
上海市奉贤中学,94,218,39,412,690
上海中学东校,94,215,110,414.5,700
上海市川沙中学,94,215,111,412.5,695.5
上海市南洋模范中学,90,209,30,418,705
上海市位育中学,90,209,25,411.5,700
上海市嘉定区第一中学,89,210,37,401,688
上海市宜川中学,89,210,37,392.5,686
上海市光明中学,86,131,19,391,663
同济大学第一附属中学,86,200,20,398.5,686
上海师范大学附属中学闵行分校,86,200,55,411.5,699.5
上海外国语大学附属外国语学校松江云间中学,84,196,34,412,692
上海市晋元高级中学,84,196,38,407.5,693.5
上海市松江二中,84,196,35,411,696
上海市松江一中,84,196,36,390,685.5
上海市南洋中学,82,193,29,392,685.5
上海市市北中学,82,190,33,403,690
上海市曹杨第二中学,82,192,32,412,700.5
华东师范大学第二附属中学闵行紫竹分校,82,191,60,425.5,702.5
上海市第三女子中学,78,,16,399,685.5
华东师范大学第三附属中学,78,182,23,392.5,665
复旦大学附属复兴中学,77,180,20,407,
上海市敬业中学,76,131,21,385.5,678.5
上海市育才中学,74,173,32,397,684.5
上海市金山中学,74,173,26,410.5,685.5
上海市新中高级中学,74,173,31,392.5,679.5
上海市市西中学,74,173,33,408,697
上海市延安中学,72,169,18,415,694
华东师范大学第一附属中学,71,166,22,401.5,
上海交通大学附属中学闵行分校,70,164,59,419.5,704.5
上海市浦东复旦附中分校,70,161,110,425.5,710
华东师范大学第二附属中学,67,415,154,415,704.5
华东师范大学第二附属中学临港奉贤分校,64,75,43,406.5,682.5
复旦大学附属中学青浦分校,62,146,28,423,695
上海市崇明中学,62,146,19,394,655.5
上海市回民中学,59,139,18,372.5,618
上海师范大学附属中学嘉定新城分校,58,137,37,392.5,690.5
上海财经大学附属北郊高级中学,56,131,21,389,
上海市第六十中学,56,131,31,370.5,650
上海市复旦中学,53,123,15,398,690
上海市第二中学,53,245,70,397.5,689.5
上海市实验学校,52,13,11,415,709
上海师范大学附属中学宝山分校,51,121,57,401.5,691
华东师范大学第二附属中学松江分校,50,118,35,418.5,702.5
