2026 年上海中考考生人数（全市 + 各区）,,,
,,,
区域,考生人数(人),数据性质,备注
全市,138000,官方,上海招考热线 2026-06-20 公布；16考区/214考点/4730考场
浦东新区,33348,民间估算,haoxue360 2026各区预计中考人数
闵行区,17374,民间估算,haoxue360；搜狐称考生超1.5万
宝山区,11555,民间估算,haoxue360
徐汇区,8754,民间估算,haoxue360
嘉定区,8675,民间估算,haoxue360
杨浦区,7289,民间估算,haoxue360
静安区,7351,民间估算,haoxue360
普陀区,7206,民间估算,haoxue360
松江区,10263,民间估算,haoxue360
青浦区,5551,民间估算,haoxue360
奉贤区,5637,民间估算,haoxue360
黄浦区,4153,民间估算,haoxue360
虹口区,4158,民间估算,haoxue360
长宁区,3791,民间估算,haoxue360
金山区,4298,民间估算,haoxue360
崇明区,2768,民间估算,haoxue360
16区估算合计,142171,民间估算,仅为各区估算之和，非官方口径
