2026 年上海中考数据集（收集汇编）,
,
数据截止,2026-07-24。绝大部分官方数据已于 2026-07-14~07-23 由上海市教育考试院及各区招考机构发布。
主要来源,上海招考热线 shmeea.edu.cn；各区教育局/招考机构官网；上海本地宝(sh.bendibao.com)等权威镜像；各机构公众号/自媒体汇总（搜狐、头条、haoxue360、vsxue 等）。
工作簿结构,本工作簿共 18 个 Sheet：说明与数据来源(本页)、字段数据字典、考生人数、各初中考生人数(推算)、初中校700分以上人数(民间统计)、初中学校排行榜(分区分榜)、最低投档控制线、全市成绩分布(一分一段)、市重招生计划汇总、名额分配到区计划(市重77所)、平行志愿分数线、各区分数水平(平行志愿代理)、名额到区录取分数线、名额到校录取分数线、名额分配到校计划(逐校)、各区统招(1-15志愿)计划、汇总透视、数据覆盖与缺口。
阅读顺序建议,第一次打开请先看『字段数据字典』(每个字段的口径与单位)，再看本页底部的『表关系与联动键』和『建议阅读路径』，最后按需查数据 Sheet。
口径说明,录取最低分在『名额分配(到区/到校)』批次按 800 分制(学业考750 + 综合考查50)；在『平行志愿(统一招生)』批次按 750 分制(学业考，不含综评)。两者不能直接相减或横向比高低，详见『字段数据字典』与下方警告。
同分比较规则,同分末位比较顺序：同分优待 → 综合素质评价 → 语数外 → 数学 → 语文 → 综合测试。
重要缺口1(已推算+民间补),『各初中学校的考生人数』官方从不公布，但可由『名额分配到校按应届毕业生占全区比例分配』反推：推算考生数=全区考生数×(该校到校名额合计÷全区到校名额合计)，已新增『各初中考生人数(推算)』Sheet(703所初中)。另从教培/自媒体公众号、视频号、今日头条挖掘到『初中校 700 分以上人数』民间统计（已扩至 113 所初中，覆盖 16 区含此前空白的金山/崇明，含最高分与部分 710+/720+ 分段），已新增『初中校700分以上人数(民间统计)』Sheet——这是分数分布的高分段尾巴，非完整分布；该表额外用推算考生数算出『700+占比%(推算)』便于横向比较各校高分密度。
重要缺口2(有区级代理),『全市和各区的成绩分布(一分一段)』考试院仅公布全市一分一段表且不提供可机读文本，任何公开来源(含教培/自媒体)均无分区一分一段。已新增『各区分数水平(平行志愿代理)』Sheet，用官方平行志愿线推算每区均值/中位数/高分占比，作为区级分数水平的近似代理（非一分一段）。
重要缺口3(基本补齐·宝山部分),闵行/嘉定/松江三区『1-15志愿(平行志愿)』原以图片形式发布，后从上海本地宝文本页补齐；其余各区亦已入表。仅宝山区官方以图片发布且无可机读文本，仅能从公开报道提取到 6 所头部本区高中分数，故『平行志愿分数线』Sheet 中宝山区为【部分】(其余 15 区完整)。
重要缺口4(已补齐),『名额分配到校招生计划(逐校明细)』现 16 区计划CSV已全部并入并新增『名额分配到校计划(逐校)』Sheet(初中×高中×计划数)；其中徐汇区官方初发图片版PDF、OCR 不可还原，后由用户手工将图片转为结构化 CSV 补齐(899=委属43+区属856，31所初中×11所高中)。16区计划合计12875，与全市口径12904差约29，系个别区计划表仍有极少量未解析单元格，非徐汇缺口。
数据性质标注,标注『官方』为考试院/教育局原文；标注『民间估算/预测』为机构汇总，仅供参考，请以官方公布为准。
免责声明,本数据集为公开信息汇编，可能存在转录误差或发布口径差异，正式用途请以上海市教育考试院及各区招考机构官方发布为准。
,
各 Sheet 含义速查,
Sheet 名称,一句话含义 / 用途
说明与数据来源,本页：总体说明、来源、口径、缺口、表关系与阅读路径。
字段数据字典,每个 Sheet 每个字段的含义、取值/单位、注意事项。读数据前必看。
考生人数,全市 13.8 万(官方) + 16 区估算人数，作为升学率分母。
各初中考生人数(推算),按到校名额占全区比例反推的各初中考生数(推算值)，附分区域自洽校验。
初中校700分以上人数(民间统计),教培/自媒体渠道统计的各初中 700+/710+/720+ 人数与最高分，仅高分段尾巴，可靠度逐行标注。
最低投档控制线,各批次最低投档线(自招/名额分配 615、普高 501 等)，低于此线不能投档。
全市成绩分布(一分一段),全市分数段累计位次：真实锚点 + 民间预测分档。
市重招生计划汇总,市重 30728 总计划按 4 批次拆解(自招/到区/到校/统招)，及全市高中构成。
名额分配到区计划(市重77所),每所市重分配到各区的『计划数』(供给量)，合计 7171。
平行志愿分数线,1-15志愿(统一招生)录取最低分，按区筛选。
名额到区录取分数线,名额分配到区实际录取最低分，按『接收区』筛选。
名额到校录取分数线,名额分配到校实际录取最低分，初中×高中组合(本数据集最细粒度)。
名额分配到校计划(逐校),名额分配到校的『计划数』(供给量)，初中×高中组合，16区已并入(徐汇由用户手工补入图片PDF转CSV)。
各区统招(1-15志愿)计划,各区统一招生批次的招生计划(本区/外区)，已知 10 区。
汇总透视,按高中/按区汇总的名额分配与分数线一览，快速看盘子(到区计划/到校计划/录取线)。
数据覆盖与缺口,逐项标注每个维度覆盖情况(✅/⚠️/❌)与说明。
,
表关系与联动键,
"① 市重招生计划汇总(各批次) 是『总盘子』，其 4 个批次分别映射到明细：
   - 名额分配到区 → 名额分配到区计划(市重77所)〔供给〕 + 名额到区录取分数线〔结果〕
   - 名额分配到校 → 名额分配到校计划(逐校)〔供给·初中×高中×计划数〕 + 名额到校录取分数线〔结果·初中×高中录取线〕
   - 平行志愿(统一招生) → 平行志愿分数线〔结果〕 + 各区统招(1-15志愿)计划〔供给〕
   - 自主招生 → 暂无明细 Sheet
② 联动键(用于跨表关联)：
   - 高中维度：优先用『招生学校』名称关联；『招生代码』更稳定，存在于『名额分配到区计划』与『平行志愿分数线』，但『名额到区/到校录取分数线』无代码列，只能靠校名关联(校名可能略有出入)。
   - 区维度：『名额到区』用『接收区』(考生来源区)；『名额到校』用『区』(初中所在区)；『平行志愿』用『区』(高中所在区)；三者口径不同，勿混淆。
   - 初中维度：仅『名额到校录取分数线』含『初中学校』，可按初中筛选其拿到哪些高中、各多少分。
③ 考生人数 是分母：可与各批次计划数相除估算升学率/竞争比，但各区人数为民间估算，仅作量级参考。
④ 最低投档控制线 是门槛：所有录取分均 ≥ 对应批次控制线。",
,
建议阅读 / 分析路径,
• 看整体盘子：市重招生计划汇总 → 考生人数(算市重录取率≈22%)。,
• 查某所市重点的名额分配：名额分配到区计划(找计划数) → 名额到区录取分数线(找实际录取线) → 名额到校录取分数线(看它分到哪些初中)。,
• 查某区统招：平行志愿分数线(按『区』筛选) + 各区统招(1-15志愿)计划。,
• 查某所初中升学：名额到校录取分数线(按『初中学校』筛选)，即得该校各高中录取线。,
• 估分数定位：全市成绩分布(一分一段) 看自己处于全市前百分之多少。,
,
⚠ 最关键口径警告（务必先读）,
"『录取最低分』在不同 Sheet 满分不同，切勿直接相减或横向比较：
  - 名额分配到区 / 名额分配到校：满分 800 = 学业考(750) + 综合考查(50，即综合素质评价)。
  - 1-15志愿(平行志愿)：满分 750 = 学业考，不含综合考查(综评在名额分配批次才计入)。
因此一所高中『到校线 780』和『平行志愿线 690』不是差 90 分，而是两个不同计分体系，不能相减。",
