year,district,high_school_code,middle_school_name,quota_count
2025,崇明区,102056,上海市崇明区建设中学,1
2025,金山区,102056,上海市罗星中学,19
2025,崇明区,102056,上海市崇明区凌云中学,1
2025,崇明区,512000,上海市崇明区庙镇学校,3
2025,崇明区,512001,上海市崇明区庙镇学校,1
2025,崇明区,152003,上海市崇明区大公中学,1
2025,崇明区,512000,上海新纪元双语学校,3
2025,崇明区,512001,上海新纪元双语学校,1
2025,崇明区,512000,上海市崇明区长江学校,1
2025,崇明区,512000,上海市崇明区新海学校,1
2025,崇明区,512001,上海市崇明区新海学校,1
2025,崇明区,512000,上海市实验学校附属东滩学校,3
2025,崇明区,512001,上海市实验学校附属东滩学校,12
2025,崇明区,512001,上海市崇明区建设中学,1
2025,崇明区,512000,上海市崇明区合兴中学,3
2025,崇明区,512000,上海市崇明区向化中学,2
2025,崇明区,512001,上海市崇明区向化中学,1
2025,崇明区,512001,上海市崇明区崇东中学,2
2025,崇明区,512000,上海市崇明区裕安中学,11
2025,崇明区,512001,上海市崇明区裕安中学,7
2025,崇明区,512000,上海市崇明区实验中学,20
2025,崇明区,512001,上海市崇明区实验中学,6
2025,崇明区,512000,上海市崇明区凌云中学,1
2025,崇明区,512001,上海市崇明区凌云中学,1
2025,崇明区,512000,上海市崇明区长兴中学,8
2025,崇明区,512000,上海市崇明区长明中学,4
2025,崇明区,512001,上海市崇明区长明中学,2
2025,崇明区,512000,上海师范大学附属崇明正大中学,16
2025,崇明区,512001,上海师范大学附属崇明正大中学,9
2025,崇明区,512000,上海市崇明区大新中学,3
2025,崇明区,512001,上海市崇明区大新中学,1
2025,崇明区,512000,上海市崇明区大公中学,4
2025,崇明区,512001,上海市崇明区大公中学,3
2025,崇明区,512000,上海民办民一中学,11
2025,崇明区,512001,上海民办民一中学,4
2025,崇明区,512000,上海市崇明区横沙中学,4
2025,崇明区,512001,上海市崇明区横沙中学,1
2025,闵行区,122002,上海市师资培训中心附属闵行实验中学,2
2025,闵行区,122003,上海市师资培训中心附属闵行实验中学,4
2025,闵行区,122004,上海市师资培训中心附属闵行实验中学,2
2025,闵行区,012006,上海市师资培训中心附属闵行实验中学,1
2025,闵行区,122001,上海市吴泾中学,2
2025,闵行区,123001,上海市吴泾中学,3
2025,闵行区,122002,上海市吴泾中学,1
2025,闵行区,122003,上海市吴泾中学,1
2025,闵行区,122004,上海市吴泾中学,1
2025,闵行区,042002,上海市吴泾中学,1
2025,闵行区,152006,上海市吴泾中学,1
2025,闵行区,122001,上海市闵行区七宝第三中学,7
2025,闵行区,122002,上海市闵行区七宝第三中学,5
2025,闵行区,122003,上海市闵行区七宝第三中学,6
2025,闵行区,122004,上海市闵行区七宝第三中学,6
2025,闵行区,012006,上海市闵行区七宝第三中学,3
2025,闵行区,042032,上海市闵行区七宝第三中学,1
2025,闵行区,122001,华东师范大学第二附属中学附属初级中学,7
2025,闵行区,123001,华东师范大学第二附属中学附属初级中学,6
2025,闵行区,122002,华东师范大学第二附属中学附属初级中学,4
2025,闵行区,122003,华东师范大学第二附属中学附属初级中学,5
2025,闵行区,122004,华东师范大学第二附属中学附属初级中学,4
2025,闵行区,012006,华东师范大学第二附属中学附属初级中学,1
2025,闵行区,042002,华东师范大学第二附属中学附属初级中学,2
2025,闵行区,042032,华东师范大学第二附属中学附属初级中学,1
2025,闵行区,122001,上海市闵行区浦航实验中学,4
2025,崇明区,512001,上海市崇明区三星中学,1
2025,金山区,102057,上海市罗星中学,20
2025,嘉定区,142004,上海市嘉定区启良中学,2
2025,嘉定区,142001,上海市嘉定区方泰中学,1
2025,嘉定区,142002,上海市嘉定区方泰中学,2
2025,嘉定区,142004,上海市嘉定区方泰中学,1
2025,嘉定区,142001,上海市曹杨二中附属江桥实验中学,8
2025,嘉定区,142002,上海市曹杨二中附属江桥实验中学,10
2025,嘉定区,142004,上海市曹杨二中附属江桥实验中学,3
2025,嘉定区,142001,上海市嘉定区迎园中学,11
2025,嘉定区,142002,上海市嘉定区迎园中学,13
2025,嘉定区,142004,上海市嘉定区迎园中学,4
2025,嘉定区,142001,上海市嘉定区南苑中学,4
2025,嘉定区,142002,上海市嘉定区南苑中学,5
2025,嘉定区,142004,上海市嘉定区南苑中学,1
2025,嘉定区,152003,上海市嘉定区黄渡中学,1
2025,嘉定区,142001,上海市嘉定区黄渡中学,6
2025,嘉定区,142002,上海市嘉定区黄渡中学,6
2025,嘉定区,142004,上海市嘉定区黄渡中学,2
2025,嘉定区,142001,上海市嘉定区徐行中学,2
2025,嘉定区,142002,上海市嘉定区徐行中学,2
2025,嘉定区,142004,上海市嘉定区徐行中学,1
2025,嘉定区,152003,上海市嘉定区马陆育才联合中学,1
2025,嘉定区,142001,上海市嘉定区马陆育才联合中学,4
2025,嘉定区,142002,上海市嘉定区马陆育才联合中学,4
2025,嘉定区,142004,上海市嘉定区马陆育才联合中学,2
2025,嘉定区,042032,上海市民办嘉一联合中学,1
2025,嘉定区,142001,上海市民办嘉一联合中学,8
2025,嘉定区,142002,上海市民办嘉一联合中学,11
2025,嘉定区,142004,上海市民办嘉一联合中学,3
2025,嘉定区,042032,上海市嘉定区丰庄中学,1
2025,嘉定区,142001,上海市嘉定区丰庄中学,6
2025,嘉定区,142002,上海市嘉定区丰庄中学,6
2025,嘉定区,142004,上海市嘉定区丰庄中学,2
2025,嘉定区,142001,上海市嘉定区外冈中学,3
2025,嘉定区,142002,上海市嘉定区外冈中学,4
2025,嘉定区,142004,上海市嘉定区外冈中学,1
2025,嘉定区,142001,上海民办华曜嘉定初级中学,7
2025,嘉定区,142002,上海民办华曜嘉定初级中学,8
2025,嘉定区,142004,上海民办华曜嘉定初级中学,3
2025,嘉定区,142001,上海市嘉定区震川中学,12
2025,嘉定区,142002,上海市嘉定区震川中学,14
2025,嘉定区,142004,上海市嘉定区震川中学,5
2025,嘉定区,142001,上海大学附属嘉定留云中学,5
2025,嘉定区,142002,上海大学附属嘉定留云中学,6
2025,嘉定区,142001,交大附中附属嘉定德富中学,8
2025,嘉定区,142002,交大附中附属嘉定德富中学,9
2025,嘉定区,142004,交大附中附属嘉定德富中学,3
2025,嘉定区,142001,同济大学附属实验中学,7
2025,嘉定区,142002,同济大学附属实验中学,9
2025,嘉定区,142004,同济大学附属实验中学,3
2025,嘉定区,142001,上海市嘉定区华江中学,5
2025,嘉定区,142002,上海市嘉定区华江中学,6
2025,嘉定区,142004,上海市嘉定区华江中学,2
2025,嘉定区,142001,上海市嘉定区新城实验中学,7
2025,嘉定区,142002,上海市嘉定区新城实验中学,9
2025,嘉定区,142004,上海市嘉定区新城实验中学,3
2025,嘉定区,142001,上海市嘉定区南翔中学,6
2025,嘉定区,142002,上海市嘉定区南翔中学,8
2025,嘉定区,142004,上海市嘉定区南翔中学,2
2025,嘉定区,102056,上海市嘉定区疁城实验学校,1
2025,嘉定区,142001,上海市嘉定区疁城实验学校,8
2025,嘉定区,142002,上海市嘉定区疁城实验学校,11
2025,嘉定区,142004,上海市嘉定区疁城实验学校,4
2025,嘉定区,042032,上海市嘉定区戬浜学校,1
2025,嘉定区,142001,上海市嘉定区戬浜学校,1
2025,嘉定区,142004,上海市嘉定区戬浜学校,1
2025,嘉定区,102056,上海市嘉定区朱桥学校,1
2025,嘉定区,142001,上海市嘉定区朱桥学校,2
2025,嘉定区,142002,上海市嘉定区朱桥学校,1
2025,嘉定区,142004,上海市嘉定区朱桥学校,1
2025,嘉定区,102057,上海市嘉定区苏民学校,1
2025,嘉定区,142001,上海市嘉定区苏民学校,6
2025,嘉定区,142002,上海市嘉定区苏民学校,8
2025,嘉定区,142004,上海市嘉定区苏民学校,3
2025,嘉定区,142001,上海市民办远东学校,4
2025,嘉定区,142002,上海市民办远东学校,5
2025,嘉定区,142004,上海市民办远东学校,1
2025,嘉定区,102057,上海市民办桃李园实验学校,1
2025,嘉定区,142001,上海市民办桃李园实验学校,11
2025,嘉定区,142002,上海市民办桃李园实验学校,12
2025,嘉定区,142004,上海市民办桃李园实验学校,4
2025,嘉定区,142001,上海市嘉定区华亭学校,1
2025,嘉定区,142002,上海市嘉定区华亭学校,1
2025,嘉定区,142004,上海市嘉定区华亭学校,1
2025,嘉定区,142001,上海市嘉定区娄塘学校,1
2025,嘉定区,142002,上海市嘉定区娄塘学校,1
2025,嘉定区,142004,上海市嘉定区娄塘学校,1
2025,嘉定区,142001,上海外国语大学嘉定外国语学校,8
2025,嘉定区,142002,上海外国语大学嘉定外国语学校,10
2025,嘉定区,142004,上海外国语大学嘉定外国语学校,3
2025,嘉定区,102057,上海市嘉定区练川实验学校,1
2025,嘉定区,142001,上海市嘉定区练川实验学校,5
2025,嘉定区,142002,上海市嘉定区练川实验学校,6
2025,嘉定区,142004,上海市嘉定区练川实验学校,1
2025,嘉定区,152006,上海华旭双语学校,1
2025,嘉定区,142001,上海华旭双语学校,1
2025,嘉定区,142002,上海华旭双语学校,1
2025,嘉定区,142004,上海华旭双语学校,1
2025,嘉定区,142001,中科院上海实验学校,10
2025,嘉定区,142002,中科院上海实验学校,13
2025,嘉定区,142004,中科院上海实验学校,4
2025,嘉定区,142001,上海嘉定区世界外国语学校,4
2025,嘉定区,142002,上海嘉定区世界外国语学校,4
2025,嘉定区,142004,上海嘉定区世界外国语学校,1
2025,嘉定区,142001,上海市嘉定区金鹤学校,7
2025,嘉定区,142002,上海市嘉定区金鹤学校,8
2025,嘉定区,142004,上海市嘉定区金鹤学校,3
2025,嘉定区,142001,上海师范大学附属第五嘉定实验学校,2
2025,嘉定区,142002,上海师范大学附属第五嘉定实验学校,2
2025,嘉定区,142004,上海师范大学附属第五嘉定实验学校,1
2025,嘉定区,142001,同济大学附属嘉定实验中学,2
2025,嘉定区,142002,同济大学附属嘉定实验中学,3
2025,嘉定区,142004,同济大学附属嘉定实验中学,1
2025,嘉定区,102056,交大附中附属嘉定洪德中学,1
2025,嘉定区,142001,交大附中附属嘉定洪德中学,4
