year,school_code,district,quota_count
2026,152006,上海市,208
2026,155001,上海市,52
2026,142001,嘉定区,14
2026,142002,嘉定区,10
2026,142004,嘉定区,6
2026,042032,嘉定区,11
2026,102056,嘉定区,14
2026,012001,黄浦区,3
2026,012002,黄浦区,20
2026,012003,黄浦区,3
2026,042001,徐汇区,7
2026,042002,徐汇区,22
2026,042008,徐汇区,9
2026,042035,徐汇区,9
2026,042036,徐汇区,3
2026,043015,徐汇区,9
2026,072001,普陀区,8
2026,072002,普陀区,8
2026,073003,普陀区,9
2026,073082,普陀区,5
2026,102057,嘉定区,10
2026,152003,嘉定区,10
2026,152006,嘉定区,1
2026,012001,嘉定区,5
2026,012003,嘉定区,3
2026,012007,嘉定区,2
2026,012008,嘉定区,2
2026,012010,嘉定区,10
2026,012011,嘉定区,4
2026,042001,嘉定区,3
2026,042008,嘉定区,3
2026,042035,嘉定区,1
2026,043015,嘉定区,2
2026,052001,嘉定区,6
2026,052002,嘉定区,5
2026,053004,嘉定区,4
2026,062002,嘉定区,9
2026,062003,嘉定区,3
2026,062004,嘉定区,2
2026,062011,嘉定区,4
2026,064001,嘉定区,6
2026,072001,嘉定区,16
2026,072002,嘉定区,9
2026,073003,嘉定区,10
2026,073082,嘉定区,10
2026,092001,嘉定区,5
2026,092002,嘉定区,3
2026,093001,嘉定区,2
2026,102004,嘉定区,3
2026,102032,嘉定区,5
2026,103002,嘉定区,1
2026,122001,嘉定区,5
2026,123001,嘉定区,10
2026,122002,嘉定区,4
2026,122003,嘉定区,2
2026,132001,嘉定区,8
2026,132002,嘉定区,12
2026,133001,嘉定区,9
2026,132003,嘉定区,6
2026,133003,嘉定区,6
2026,152001,嘉定区,3
2026,152002,嘉定区,7
2026,152004,嘉定区,14
2026,153001,嘉定区,5
2026,153004,嘉定区,5
2026,153005,嘉定区,6
2026,151078,嘉定区,2
2026,152005,嘉定区,4
2026,162000,嘉定区,2
2026,163002,嘉定区,3
2026,172001,嘉定区,1
2026,173001,嘉定区,4
2026,172002,嘉定区,2
2026,172004,嘉定区,3
2026,174003,嘉定区,5
2026,182001,嘉定区,14
2026,183002,嘉定区,10
2026,182002,嘉定区,6
2026,202001,嘉定区,3
2026,512000,嘉定区,3
2026,012005,黄浦区,2
2026,012006,黄浦区,15
2026,012007,黄浦区,3
2026,012008,黄浦区,3
2026,012009,黄浦区,3
2026,012010,黄浦区,3
