year,district,high_school_code,middle_school_name,quota_count
2026,奉贤区,012002,上海市奉贤区奉浦中学,1
2026,奉贤区,202001,上海奉贤区世外教育附属临港外国语学校,2
2026,静安区,062001,上海市五四中学,3
2026,嘉定区,142001,上海市嘉定区启良中学,6
2026,嘉定区,142002,上海市嘉定区启良中学,7
2026,嘉定区,142004,上海市嘉定区启良中学,4
2026,嘉定区,152006,上海市嘉定区方泰中学,1
2026,嘉定区,142001,上海市嘉定区方泰中学,2
2026,嘉定区,142002,上海市嘉定区方泰中学,2
2026,嘉定区,142004,上海市嘉定区方泰中学,1
2026,嘉定区,142001,上海市曹杨二中附属江桥实验中学,8
2026,静安区,062002,上海市五四中学,3
2026,嘉定区,142002,上海市曹杨二中附属江桥实验中学,9
2026,嘉定区,142004,上海市曹杨二中附属江桥实验中学,5
2026,嘉定区,152003,上海市嘉定区迎园中学,1
2026,嘉定区,142001,上海市嘉定区迎园中学,10
2026,嘉定区,142002,上海市嘉定区迎园中学,11
2026,嘉定区,142004,上海市嘉定区迎园中学,6
2026,嘉定区,142001,上海市嘉定区南苑中学,4
2026,嘉定区,142002,上海市嘉定区南苑中学,5
2026,嘉定区,142004,上海市嘉定区南苑中学,3
2026,嘉定区,142001,上海市嘉定区黄渡中学,6
2026,嘉定区,142002,上海市嘉定区黄渡中学,7
2026,嘉定区,142004,上海市嘉定区黄渡中学,4
2026,嘉定区,152003,上海市嘉定区徐行中学,1
2026,嘉定区,142001,上海市嘉定区徐行中学,3
2026,嘉定区,142002,上海市嘉定区徐行中学,3
2026,嘉定区,142004,上海市嘉定区徐行中学,1
2026,嘉定区,142001,上海市嘉定区马陆育才联合中学,4
2026,嘉定区,142002,上海市嘉定区马陆育才联合中学,5
2026,嘉定区,142004,上海市嘉定区马陆育才联合中学,2
2026,嘉定区,142001,上海市嘉定区丰庄中学,6
2026,嘉定区,142002,上海市嘉定区丰庄中学,7
2026,嘉定区,142004,上海市嘉定区丰庄中学,4
2026,嘉定区,142001,上海市嘉定区外冈中学,3
2026,嘉定区,142002,上海市嘉定区外冈中学,4
2026,嘉定区,142004,上海市嘉定区外冈中学,2
2026,嘉定区,042032,上海民办华曜嘉定初级中学,1
2026,嘉定区,142001,上海民办华曜嘉定初级中学,5
2026,嘉定区,142002,上海民办华曜嘉定初级中学,7
2026,嘉定区,142004,上海民办华曜嘉定初级中学,4
2026,静安区,062003,上海市五四中学,3
2026,嘉定区,102057,上海市嘉定区震川中学,1
2026,嘉定区,142001,上海市嘉定区震川中学,11
2026,嘉定区,142002,上海市嘉定区震川中学,15
2026,嘉定区,142004,上海市嘉定区震川中学,8
2026,嘉定区,102056,上海大学附属嘉定留云中学,1
2026,嘉定区,142001,上海大学附属嘉定留云中学,9
2026,嘉定区,142002,上海大学附属嘉定留云中学,11
2026,嘉定区,142004,上海大学附属嘉定留云中学,5
2026,嘉定区,142001,交大附中附属嘉定德富中学,7
2026,嘉定区,142002,交大附中附属嘉定德富中学,9
2026,嘉定区,142004,交大附中附属嘉定德富中学,5
2026,嘉定区,142001,同济大学附属实验中学,6
2026,嘉定区,142002,同济大学附属实验中学,8
2026,嘉定区,142004,同济大学附属实验中学,4
2026,嘉定区,142001,上海市嘉定区华江中学,6
2026,嘉定区,142002,上海市嘉定区华江中学,8
2026,嘉定区,142004,上海市嘉定区华江中学,4
2026,嘉定区,152003,上海市嘉定区新城实验中学,1
2026,嘉定区,142001,上海市嘉定区新城实验中学,7
2026,嘉定区,142002,上海市嘉定区新城实验中学,10
2026,嘉定区,142004,上海市嘉定区新城实验中学,5
2026,嘉定区,142001,上海市嘉定区南翔中学,7
2026,嘉定区,142002,上海市嘉定区南翔中学,9
2026,嘉定区,142004,上海市嘉定区南翔中学,5
