id,code,full_name,short_name,district,school_type_id,school_nature_id
161,125117,上海闵行区诺达双语学校,诺达双语,闵行区,GENERAL,PRIVATE
348,044181,上海民办位育中学,民办位育,徐汇区,GENERAL,PRIVATE
353,125029,上海市第二体育运动学校（上海市体育中学）,市体育中学,闵行区,GENERAL,PUBLIC
359,173004,上海对外经贸大学附属松江高级中学,外贸大松江高中,松江区,GENERAL,PUBLIC
366,153015,上海市浦东复旦附中分校,浦东复旦附中分校,浦东新区,CITY_MODEL,PUBLIC
59,044133,华东理工大学附属中学,华理附中,徐汇区,GENERAL,PUBLIC
343,094004,上海市友谊中学,友谊中学,虹口区,GENERAL,PUBLIC
73,054043,上海市民办新虹桥中学,新虹桥,长宁区,GENERAL,PRIVATE
88,063008,上海市久隆模范中学,久隆模范,静安区,DISTRICT_MODEL,PUBLIC
32,012003,上海市大同中学,大同中学,黄浦区,CITY_MODEL,PUBLIC
187,142003,上海市嘉定区嘉一实验高级中学,嘉一实验,嘉定区,DISTRICT_MODEL,PUBLIC
97,072002,上海市曹杨第二中学,曹杨二中,普陀区,CITY_MODEL,PUBLIC
124,103012,上海市市东实验学校（上海市市东中学）,市东实验,杨浦区,DISTRICT_MODEL,PUBLIC
63,044164,上海市西南模范中学,西南模范,徐汇区,GENERAL,PRIVATE
60,044162,上海市西南位育中学,西南位育,徐汇区,GENERAL,PRIVATE
367,181001,上海市青浦区实验中学,青浦实验中学,青浦区,,PUBLIC
107,074081,上海安生学校,安生学校,普陀区,GENERAL,PRIVATE
126,103049,上海市同济中学,同济中学,杨浦区,DISTRICT_MODEL,PUBLIC
132,102058,复旦大学第二附属中学,复旦二附,杨浦区,GENERAL,PUBLIC
242,155056,上海浦东新区民办康德学校,康德学校,浦东新区,GENERAL,PRIVATE
267,175018,上海市西外外国语学校,西外,松江区,GENERAL,PRIVATE
268,175021,上海民办包玉刚实验高中,包玉刚,松江区,GENERAL,PRIVATE
145,125028,华东师范大学附属闵行永德学校,华师永德,闵行区,GENERAL,PUBLIC
277,184006,上海青浦区世外高级中学,青浦世外,青浦区,GENERAL,PRIVATE
278,184007,上海青浦区宏润博源高级中学,宏润博源,青浦区,GENERAL,PRIVATE
286,204006,上海师范大学第四附属中学,上师大四附,奉贤区,GENERAL,PUBLIC
287,204008,上海市奉贤区景秀高级中学,景秀高中,奉贤区,GENERAL,PUBLIC
243,155057,上海浦东新区民办籽奥高级中学,籽奥高中,浦东新区,GENERAL,PRIVATE
108,074085,上海市曹杨第二中学东校,曹二东校,普陀区,GENERAL,PUBLIC
140,123002,上海市莘庄中学,莘庄中学,闵行区,DISTRICT_MODEL,PUBLIC
130,104066,上海市民星中学,民星中学,杨浦区,DISTRICT_MODEL,PUBLIC
322,044223,上海市紫竹园中学,紫竹园中学,徐汇区,DISTRICT_FEATURED,PUBLIC
129,104050,上海理工大学附属杨浦少云中学,少云中学,杨浦区,DISTRICT_MODEL,PUBLIC
257,174009,上海师范大学附属外国语中学,上师外附,松江区,DISTRICT_MODEL,PUBLIC
95,064024,上海市民办风范中学,风范中学,静安区,GENERAL,PRIVATE
149,124013,上海市闵行区实验高级中学,闵行实验,闵行区,GENERAL,PUBLIC
148,124012,上海市闵行中学东校,闵中东校,闵行区,GENERAL,PUBLIC
156,124114,上海市闵行区教育学院附属中学,闵教附中,闵行区,GENERAL,PUBLIC
143,124022,北京外国语大学附属上海闵行田园高级中学,北外田园,闵行区,DISTRICT_MODEL,PUBLIC
189,144006,上海市嘉定区封浜高级中学,封浜高中,嘉定区,DISTRICT_MODEL,PUBLIC
89,063077,上海市闸北第八中学,闸北八中,静安区,DISTRICT_MODEL,PUBLIC
368,069004,上海戏剧学院附属高级中学（艺术班）,上戏附中艺术班,静安区,DISTRICT_MODEL,PUBLIC
369,079016,上海音乐学院附属安师实验中学（艺术班）,上音安师艺术班,普陀区,DISTRICT_MODEL,PUBLIC
31,012001,上海市格致中学,格致中学,黄浦区,CITY_MODEL,PUBLIC
162,125119,上海闵行区民办德闳学校,德闳学校,闵行区,GENERAL,PRIVATE
75,062001,上海市市西中学,市西中学,静安区,CITY_MODEL,PUBLIC
176,134012,上海存志高级中学,存志高中,宝山区,GENERAL,PRIVATE
178,134014,上海创艺高级中学,创艺高中,宝山区,GENERAL,PRIVATE
173,134006,上海市高境第一中学,高境一中,宝山区,GENERAL,PUBLIC
181,135003,上海金瑞学校,金瑞学校,宝山区,GENERAL,PRIVATE
174,134009,上海市宝山区海滨中学,海滨中学,宝山区,GENERAL,PUBLIC
210,153012,华东理工大学附属浦东科技高级中学,华理浦东,浦东新区,DISTRICT_MODEL,PUBLIC
171,134005,上海市行知实验中学,行知实验,宝山区,DISTRICT_MODEL,PUBLIC
212,154003,上海市文建中学,文建中学,浦东新区,DISTRICT_MODEL,PUBLIC
47,014006,上海市同济黄浦设计创意中学,同济黄浦,黄浦区,GENERAL,PUBLIC
160,125115,上海闵行区万科双语学校,万科双语,闵行区,GENERAL,PRIVATE
96,072001,上海市晋元高级中学,晋元高中,普陀区,CITY_MODEL,PUBLIC
