district,school_name,min_score
黄浦区,华东师范大学第二附属中学临港奉贤分校,737.00
徐汇区,上海外国语大学附属大境中学,693.50
徐汇区,华东师范大学第二附属中学（普陀校区）,752.00
徐汇区,上海财经大学附属北郊高级中学,705.00
徐汇区,华东师范大学第二附属中学闵行紫竹分校,750.00
徐汇区,上海师范大学附属中学闵行分校,732.00
徐汇区,上海交通大学附属中学闵行分校,754.50
徐汇区,上海大学附属中学,719.50
徐汇区,上海师范大学附属中学宝山分校,726.00
徐汇区,华东师范大学第二附属中学（宝山校区）,748.00
徐汇区,上海交通大学附属中学嘉定分校,753.00
徐汇区,上海师范大学附属中学嘉定新城分校,710.00
徐汇区,上海中学东校,734.00
徐汇区,上海市浦东复旦附中分校,743.50
徐汇区,华东师范大学第三附属中学,698.50
徐汇区,上海外国语大学附属外国语学校松江云间中学,723.00
徐汇区,复旦大学附属中学青浦分校,752.00
徐汇区,华东师范大学第二附属中学临港奉贤分校,727.00
长宁区,上海外国语大学附属大境中学,700.00
长宁区,华东师范大学第二附属中学（普陀校区）,756.00
长宁区,复旦大学附属复兴中学,730.50
长宁区,华东师范大学第一附属中学,725.00
长宁区,华东师范大学第二附属中学闵行紫竹分校,752.00
徐汇区,上海市上海中学,760.00
徐汇区,上海市位育中学,742.50
徐汇区,上海市南洋中学,731.00
长宁区,上海市上海中学,751.00
长宁区,上海市延安中学,748.00
长宁区,上海市复旦中学,725.50
静安区,上海市上海中学,742.00
静安区,上海市市西中学,745.00
静安区,上海市市北中学,722.00
静安区,上海市回民中学,668.50
普陀区,上海市上海中学,765.00
普陀区,上海市宜川中学,717.50
虹口区,上海市上海中学,733.50
杨浦区,上海市上海中学,753.50
杨浦区,上海市控江中学,751.50
闵行区,上海市上海中学,763.00
闵行区,上海市七宝中学,759.50
闵行区,上海市闵行中学,731.50
宝山区,上海市上海中学,754.00
宝山区,上海市行知中学,744.00
宝山区,上海市吴淞中学,725.00
嘉定区,上海市上海中学,759.00
浦东新区,上海市进才中学,710.00
浦东新区,上海市建平中学,753.50
浦东新区,上海南汇中学,728.00
浦东新区,上海市洋泾中学,738.50
浦东新区,上海市高桥中学,721.50
浦东新区,上海市川沙中学,735.00
黄浦区,上海南汇中学,700.50
黄浦区,上海市格致中学,747.50
黄浦区,上海市大同中学,746.00
黄浦区,上海市向明中学,732.00
黄浦区,上海市光明中学,691.00
黄浦区,上海市敬业中学,719.50
黄浦区,上海市上海中学,761.50
金山区,上海市上海中学,733.50
金山区,上海市金山中学,748.50
