district,school_name,middle_school_name,min_score
静安区,上海市市西中学,风华初级中学,734.50
静安区,上海市市西中学,民立中学,722.00
黄浦区,上海市上海中学,敬业初级中学,743.50
黄浦区,复旦大学附属中学,光明初级中学,748.00
黄浦区,上海市格致中学（奉贤校区）,格致初级中学,714.00
黄浦区,上海市向明中学（浦江校区）,格致初级中学,706.50
黄浦区,上海市卢湾高级中学,格致初级中学,669.00
黄浦区,上海市格致中学（奉贤校区）,大同初级中学,708.00
黄浦区,上海市向明中学（浦江校区）,大同初级中学,704.50
黄浦区,上海市卢湾高级中学,大同初级中学,674.00
黄浦区,上海市格致中学（奉贤校区）,向明初级中学,716.50
黄浦区,上海市向明中学（浦江校区）,向明初级中学,704.00
黄浦区,上海市卢湾高级中学,向明初级中学,673.00
黄浦区,上海市格致中学（奉贤校区）,外国语大学附属大境初级中学,716.50
黄浦区,上海市向明中学（浦江校区）,外国语大学附属大境初级中学,713.00
黄浦区,上海市卢湾高级中学,外国语大学附属大境初级中学,683.00
黄浦区,上海市格致中学（奉贤校区）,光明初级中学,711.50
黄浦区,上海市向明中学（浦江校区）,光明初级中学,688.50
黄浦区,上海市卢湾高级中学,光明初级中学,677.00
黄浦区,上海市格致中学（奉贤校区）,敬业初级中学,719.00
黄浦区,上海市向明中学（浦江校区）,敬业初级中学,684.00
黄浦区,上海外国语大学附属大境中学,格致初级中学,683.00
黄浦区,上海外国语大学附属大境中学,大同初级中学,680.50
黄浦区,上海外国语大学附属大境中学,向明初级中学,675.00
黄浦区,上海外国语大学附属大境中学,外国语大学附属大境初级中学,689.50
黄浦区,上海外国语大学附属大境中学,光明初级中学,677.00
黄浦区,上海外国语大学附属大境中学,敬业初级中学,696.50
黄浦区,上海市上海中学,卢湾中学,751.00
静安区,上海市育才中学,风华初级中学,712.50
静安区,上海市育才中学,民立中学,702.50
静安区,上海市育才中学,彭浦第四中学,695.50
静安区,上海市育才中学,回民中学,691.50
黄浦区,上海市格致中学（奉贤校区）,卢湾中学,716.00
黄浦区,上海市向明中学（浦江校区）,卢湾中学,711.00
黄浦区,上海市卢湾高级中学,卢湾中学,675.50
