类别,说明
到区-校区分配,浦东新区|华东师范大学第二附属中学|752 -> 华东师范大学第二附属中学（宝山校区）(133003)
到区-校区分配,浦东新区|华东师范大学第二附属中学|763.5 -> 华东师范大学第二附属中学(152003)
到区-校区分配,嘉定区|华东师范大学第二附属中学|757.5 -> 华东师范大学第二附属中学（普陀校区）(073082)
到区-校区分配,嘉定区|华东师范大学第二附属中学|751 -> 华东师范大学第二附属中学（宝山校区）(133003)
到区-校区分配,嘉定区|华东师范大学第二附属中学|764.5 -> 华东师范大学第二附属中学(152003)
到区-校区分配,奉贤区|上海市格致中学|735.5 -> 上海市格致中学（奉贤校区）(012002)
到区-校区分配,奉贤区|上海市格致中学|737 -> 上海市格致中学(012001)
到区-校区分配,奉贤区|上海市第二中学|747 -> 上海市第二中学（梅陇校区）(042002)
到区-校区分配,奉贤区|华东师范大学第二附属中学|742 -> 华东师范大学第二附属中学（宝山校区）(133003)
到区-校区分配,奉贤区|华东师范大学第二附属中学|755 -> 华东师范大学第二附属中学(152003)
到区-校区分配,宝山区|上海市第二中学|668.5 -> 上海市第二中学（梅陇校区）(042002)
到区-校区分配,宝山区|华东师范大学第二附属中学|766.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到区-校区分配,宝山区|华东师范大学第二附属中学|764 -> 华东师范大学第二附属中学(152003)
到区-校区分配,崇明区|华东师范大学第二附属中学|759 -> 华东师范大学第二附属中学（宝山校区）(133003)
到区-校区分配,崇明区|华东师范大学第二附属中学|764.5 -> 华东师范大学第二附属中学(152003)
到区-校区分配,徐汇区|上海市第二中学|739.5 -> 上海市第二中学（梅陇校区）(042002)
到区-校区分配,徐汇区|上海市第二中学|738.5 -> 上海市第二中学(042001)
到区-校区分配,徐汇区|华东师范大学第二附属中学|763 -> 华东师范大学第二附属中学（普陀校区）(073082)
到区-校区分配,徐汇区|华东师范大学第二附属中学|750 -> 华东师范大学第二附属中学（宝山校区）(133003)
到区-校区分配,徐汇区|华东师范大学第二附属中学|756.5 -> 华东师范大学第二附属中学(152003)
到区-校区分配,普陀区|上海市第二中学|702 -> 上海市第二中学（梅陇校区）(042002)
到区-校区分配,普陀区|华东师范大学第二附属中学|769 -> 华东师范大学第二附属中学（宝山校区）(133003)
到区-校区分配,普陀区|华东师范大学第二附属中学|763.5 -> 华东师范大学第二附属中学（普陀校区）(073082)
到区-校区分配,普陀区|华东师范大学第二附属中学|767 -> 华东师范大学第二附属中学(152003)
到区-校区分配,杨浦区|上海市向明中学|720.5 -> 上海市向明中学（浦江校区）(012006)
到区-校区分配,杨浦区|华东师范大学第二附属中学|763 -> 华东师范大学第二附属中学（宝山校区）(133003)
到区-校区分配,杨浦区|华东师范大学第二附属中学|766 -> 华东师范大学第二附属中学（普陀校区）(073082)
到区-校区分配,松江区|上海市第二中学|678 -> 上海市第二中学（梅陇校区）(042002)
到区-校区分配,松江区|华东师范大学第二附属中学|752.5 -> 华东师范大学第二附属中学(152003)
到区-校区分配,松江区|华东师范大学第二附属中学|762.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到区-校区分配,虹口区|上海市第二中学|719 -> 上海市第二中学（梅陇校区）(042002)
到区-校区分配,虹口区|华东师范大学第二附属中学|748 -> 华东师范大学第二附属中学(152003)
到区-校区分配,虹口区|华东师范大学第二附属中学|753.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到区-校区分配,虹口区|华东师范大学第二附属中学|761.5 -> 华东师范大学第二附属中学（普陀校区）(073082)
到区-校区分配,金山区|华东师范大学第二附属中学|761 -> 华东师范大学第二附属中学（宝山校区）(133003)
到区-校区分配,长宁区|上海市格致中学|750.5 -> 上海市格致中学（奉贤校区）(012002)
到区-校区分配,长宁区|华东师范大学第二附属中学|762.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到区-校区分配,长宁区|华东师范大学第二附属中学|757.5 -> 华东师范大学第二附属中学（普陀校区）(073082)
到区-校区分配,长宁区|华东师范大学第二附属中学|762 -> 华东师范大学第二附属中学(152003)
到区-校区分配,闵行区|上海市向明中学|741.5 -> 上海市向明中学（浦江校区）(012006)
到区-校区分配,闵行区|上海市第二中学|741.5 -> 上海市第二中学（梅陇校区）(042002)
到区-校区分配,闵行区|华东师范大学第二附属中学|763 -> 华东师范大学第二附属中学（宝山校区）(133003)
到区-校区分配,闵行区|华东师范大学第二附属中学|763 -> 华东师范大学第二附属中学(152003)
到区-校区分配,闵行区|华东师范大学第二附属中学|764 -> 华东师范大学第二附属中学（普陀校区）(073082)
到区-校区分配,青浦区|华东师范大学第二附属中学|723 -> 华东师范大学第二附属中学（普陀校区）(073082)
到区-校区分配,青浦区|华东师范大学第二附属中学|757 -> 华东师范大学第二附属中学（宝山校区）(133003)
到区-校区分配,静安区|华东师范大学第二附属中学|762.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到区-校区分配,静安区|华东师范大学第二附属中学|757 -> 华东师范大学第二附属中学（普陀校区）(073082)
到区-校区分配,静安区|华东师范大学第二附属中学|753.5 -> 华东师范大学第二附属中学(152003)
到区-校区分配,黄浦区|上海市格致中学|753.5 -> 上海市格致中学(012001)
到区-校区分配,黄浦区|上海市格致中学|736 -> 上海市格致中学（奉贤校区）(012002)
到区-校区分配,黄浦区|上海市向明中学|747 -> 上海市向明中学(012005)
到区-校区分配,黄浦区|上海市向明中学|728 -> 上海市向明中学（浦江校区）(012006)
到区-校区分配,黄浦区|华东师范大学第二附属中学|764.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到区-校区分配,黄浦区|华东师范大学第二附属中学|750 -> 华东师范大学第二附属中学（普陀校区）(073082)
到区-校区分配,黄浦区|华东师范大学第二附属中学|760 -> 华东师范大学第二附属中学(152003)
到校-重复键丢弃,浦东新区|上海市临港实验中学|上海中学东校|丢弃750.5（保留748.5）
到校-重复键丢弃,浦东新区|上海市临港实验中学|上海市建平中学|丢弃754.5（保留755.5）
到校-重复键丢弃,浦东新区|上海市临港实验中学|上海市进才中学|丢弃750（保留752.5）
到校-重复键丢弃,浦东新区|上海市临港实验中学|上海南汇中学|丢弃733（保留737.5）
到校-校区分配,浦东新区|上海市临港实验中学|上海市浦东复旦附中分校|763.5 -> 上海市浦东复旦附中分校(153015)
到校-校区分配,浦东新区|上海市临港实验中学|上海市浦东复旦附中分校|761.5 -> 上海市浦东复旦附中分校(152005)
到校-重复键丢弃,浦东新区|上海市临港实验中学|上海市洋泾中学|丢弃735（保留740.5）
到校-重复键丢弃,浦东新区|上海市临港实验中学|上海市高桥中学|丢弃732（保留713.5）
到校-重复键丢弃,浦东新区|上海市临港实验中学|上海市川沙中学|丢弃746.5（保留735.5）
到校-重复键丢弃,浦东新区|上海市临港实验中学|华东师范大学第二附属中学临港奉贤分校|丢弃738.5（保留738）
到校-校区分配,浦东新区|上海中医药大学附属浦东鹤沙学校|华东师范大学第二附属中学|766 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,奉贤区|上海市奉贤区青少年业余体育学校|上海市格致中学|665 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区古华中学|上海市格致中学|727 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区实验中学|上海市格致中学|740.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤中学附属南桥中学|上海市格致中学|738 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区汇贤中学|上海市格致中学|752.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区塘外中学|上海市格致中学|716 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区青村中学|上海市格致中学|685.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区奉城第二中学|上海市格致中学|732 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区头桥中学|上海市格致中学|698.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区洪庙中学|上海市格致中学|722 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区四团中学|上海市格致中学|684.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区青溪中学|上海市格致中学|748 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区尚同中学|上海市格致中学|730.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海外国语大学附属奉贤实验中学|上海市格致中学|759.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区崇实中学|上海市格致中学|746 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区崇实中学|华东师范大学第二附属中学|758 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,奉贤区|上海市奉贤区待问中学|上海市格致中学|742.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤中学附属初级中学|上海市格致中学|752 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海师范大学附属奉贤实验中学|上海市格致中学|730 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区肖塘中学|上海市格致中学|717 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区育秀中学|上海市格致中学|741 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区华亭学校|上海市格致中学|742.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区西渡学校|上海市格致中学|726.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区新寺学校|上海市格致中学|700 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海奉贤区世外学校|上海市格致中学|747.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区柘林学校|上海市格致中学|725 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区阳光外国语学校|上海市格致中学|732.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区庄行学校|上海市格致中学|728 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区邬桥学校|上海市格致中学|724 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区齐贤学校|上海市格致中学|703.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海理工大学附属奉贤学校|上海市格致中学|730.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤中学附属三官堂学校|上海市格致中学|705 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区钱桥学校|上海市格致中学|733.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区平安学校|上海市格致中学|716.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区弘文学校|上海市格致中学|743 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区肇文学校|上海市格致中学|717 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区奉浦中学|上海市格致中学|732.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海大学附属奉贤实验学校|上海市格致中学|716.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海奉贤区世外教育附属临港外国语学校|上海市格致中学|714.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,宝山区|上海市淞谊中学|华东师范大学第二附属中学|751 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市宝山区教育学院附属中学|华东师范大学第二附属中学|759 -> 华东师范大学第二附属中学（宝山校区）(133003)
