区,700+校名(简称),推算匹配校名(全称),匹配方式,推算考生数,700+人数,700+占比%,说明
黄浦区,立达中学,民办立达中学,alias,288,,,人工别名(简称↔全称/分校)
黄浦区,大同初级中学,大同初级中学,exact,350,,,精确匹配
黄浦区,向明初级中学,向明初级中学,exact,379,,,精确匹配
黄浦区,格致初级中学,格致初级中学,exact,488,80,16.4,精确匹配
黄浦区,永昌中学,民办永昌学校,alias,75,,,人工别名(简称↔全称/分校)
徐汇区,华育中学,上海市民办华育中学,normalized,370,,,归一化子串(去歧义)
徐汇区,世外中学,,alias_missing,,,,别名目标不在推算表，占比留空
徐汇区,上汇实验中学,上海市徐汇区上汇实验学校,normalized,107,25,23.4,归一化子串(去歧义)
徐汇区,师三附中,上海师范大学第三附属实验学校,alias,204,22,10.8,人工别名(简称↔全称/分校)
徐汇区,徐汇中学,,ambiguous,,67,,多候选歧义，需人工确认，占比留空
徐汇区,园南中学,上海市园南中学,normalized,321,60,18.7,归一化子串(去歧义)
徐汇区,田林第三中学,上海市田林第三中学,normalized,487,50,10.3,归一化子串(去歧义)
徐汇区,市二初级中学,上海市第二初级中学,normalized,234,30,12.8,归一化子串(去歧义)
徐汇区,市四中学,上海市第四中学,normalized,438,22,5.0,归一化子串(去歧义)
徐汇区,康健外国语实验学校,上海市康健外国语实验中学,alias,321,22,6.9,人工别名(简称↔全称/分校)
徐汇区,徐教院附中,上海市徐汇区教育学院附属实验中学,alias,360,,,人工别名(简称↔全称/分校)
徐汇区,南模初级中学,上海民办南模中学,normalized,136,40,29.4,归一化子串(去歧义)
徐汇区,紫阳中学,上海市紫阳中学,normalized,243,30,12.3,归一化子串(去歧义)
徐汇区,中国中学,上海市中国中学,normalized,399,10,2.5,归一化子串(去歧义)
徐汇区,华理附中,华东理工大学附属中学,alias,302,10,3.3,人工别名(简称↔全称/分校)
长宁区,延安初级中学,上海市延安初级中学,alias,553,20,3.6,人工别名(简称↔全称/分校)
长宁区,西延安中学,上海市西延安中学,normalized,308,20,6.5,归一化子串(去歧义)
长宁区,开元学校,上海市开元学校,normalized,227,17,7.5,归一化子串(去歧义)
长宁区,娄山中学,上海市娄山中学,normalized,372,,,归一化子串(去歧义)
静安区,风华中学,上海市风华初级中学,alias,907,120,13.2,人工别名(简称↔全称/分校)
静安区,苏河湾实验中学,上海外国语大学苏河湾实验中学,normalized,140,,,归一化子串(去歧义)
静安区,市第一中学,上海市第一中学,normalized,167,5,3.0,归一化子串(去歧义)
虹口区,新华初级中学,上海市民办新华初级中学,normalized,349,,,归一化子串(去歧义)
虹口区,五十二中学,上海市第五十二中学,normalized,111,8,7.2,归一化子串(去歧义)
虹口区,新北郊中学,上海市民办新北郊初级中学,normalized,375,20,5.3,归一化子串(去歧义)
虹口区,新复兴中学,上海市民办新复兴初级中学,normalized,366,,,归一化子串(去歧义)
杨浦区,国和中学,上海市国和中学,normalized,299,15,5.0,归一化子串(去歧义)
杨浦区,辽阳双语学校,上海市辽阳中学,normalized,237,35,14.8,归一化子串(去歧义)
杨浦区,昆明学校,上海市昆明学校,normalized,247,,,归一化子串(去歧义)
宝山区,至德实验,上海民办至德实验学校,normalized,290,83,28.6,归一化子串(去歧义)
普陀区,梅陇中学,上海市梅陇中学,alias,607,100,16.5,人工别名(简称↔全称/分校)
普陀区,进华中学,上海华东师范大学附属进华中学,normalized,284,,,归一化子串(去歧义)
普陀区,江宁学校,上海市江宁学校,normalized,255,,,归一化子串(去歧义)
普陀区,晋元中学,,ambiguous,,,,多候选歧义，需人工确认，占比留空
普陀区,同济二附中,同济大学第二附属中学,alias,333,,,人工别名(简称↔全称/分校)
普陀区,长征中学,上海市长征中学,normalized,225,,,归一化子串(去歧义)
普陀区,曹杨附中,上海市曹杨第二中学附属实验中学,alias,157,,,人工别名(简称↔全称/分校)
普陀区,华外实验,华东师范大学附属外国语实验学校,alias,206,,,人工别名(简称↔全称/分校)
普陀区,培佳双语,上海培佳双语学校,normalized,215,40,18.6,归一化子串(去歧义)
闵行区,莘松中学,上海市闵行区莘松中学,normalized,1441,200,13.9,归一化子串(去歧义)
闵行区,闵华二附中,华东师范大学第二附属中学附属初级中学,alias,471,123,26.1,人工别名(简称↔全称/分校)
闵行区,圣华紫竹,上海民办圣华紫竹双语学校,normalized,135,41,30.4,归一化子串(去歧义)
闵行区,七宝三中,上海市闵行区七宝第三中学,alias,404,45,11.1,人工别名(简称↔全称/分校)
闵行区,七宝二中,上海市闵行区七宝第二中学,alias,1051,80,7.6,人工别名(简称↔全称/分校)
闵行区,实验西校,上海市实验学校西校,alias,498,80,16.1,人工别名(简称↔全称/分校)
闵行区,文来中学,上海市文来中学,alias,337,100,29.7,人工别名(简称↔全称/分校)
闵行区,七宝文来,上海市闵行区七宝文来学校,normalized,296,30,10.1,归一化子串(去歧义)
闵行区,龙茗中学,上海市闵行区龙茗中学,normalized,296,,,归一化子串(去歧义)
闵行区,交大二附中,上海交通大学附属第二中学,alias,498,109,21.9,人工别名(简称↔全称/分校)
闵行区,颛桥中学,上海市闵行区颛桥中学,normalized,377,,,归一化子串(去歧义)
闵行区,田园外语中学,上海市闵行区田园外国语中学,alias,364,,,人工别名(简称↔全称/分校)
闵行区,七宝鑫都,上海市七宝实验中学,normalized,323,,,归一化子串(去歧义)
闵行区,博世凯,上海博世凯外国语学校,normalized,108,20,18.5,归一化子串(去歧义)
