区,录取线校名,统一到plan校名(全称),匹配方式
浦东新区,上海市建平中学西校,上海市建平中学西校,exact
浦东新区,上海市建平中学西校,上海市建平中学西校,exact
浦东新区,上海市建平中学西校,上海市建平中学西校,exact
浦东新区,上海市建平中学西校,上海市建平中学西校,exact
浦东新区,上海市建平中学西校,上海市建平中学西校,exact
浦东新区,上海市建平中学西校,上海市建平中学西校,exact
浦东新区,上海市建平中学西校,上海市建平中学西校,exact
浦东新区,上海市建平中学西校,上海市建平中学西校,exact
浦东新区,上海市进才中学北校,上海市进才中学北校,exact
浦东新区,上海市进才中学北校,上海市进才中学北校,exact
浦东新区,上海市进才中学北校,上海市进才中学北校,exact
浦东新区,上海市进才中学北校,上海市进才中学北校,exact
浦东新区,上海市进才中学北校,上海市进才中学北校,exact
浦东新区,上海市进才中学北校,上海市进才中学北校,exact
浦东新区,上海市进才中学北校,上海市进才中学北校,exact
浦东新区,上海市进才中学北校,上海市进才中学北校,exact
浦东新区,华东师范大学附属东昌中学南校,华东师范大学附属东昌中学南校,exact
浦东新区,华东师范大学附属东昌中学南校,华东师范大学附属东昌中学南校,exact
浦东新区,华东师范大学附属东昌中学南校,华东师范大学附属东昌中学南校,exact
浦东新区,华东师范大学附属东昌中学南校,华东师范大学附属东昌中学南校,exact
浦东新区,华东师范大学附属东昌中学南校,华东师范大学附属东昌中学南校,exact
浦东新区,华东师范大学附属东昌中学南校,华东师范大学附属东昌中学南校,exact
浦东新区,华东师范大学附属东昌中学南校,华东师范大学附属东昌中学南校,exact
浦东新区,上海市洋泾中学东校,上海市洋泾中学东校,exact
浦东新区,上海市洋泾中学东校,上海市洋泾中学东校,exact
浦东新区,上海市洋泾中学东校,上海市洋泾中学东校,exact
浦东新区,上海市洋泾中学东校,上海市洋泾中学东校,exact
浦东新区,上海市洋泾中学东校,上海市洋泾中学东校,exact
浦东新区,上海市洋泾中学东校,上海市洋泾中学东校,exact
浦东新区,上海市洋泾中学东校,上海市洋泾中学东校,exact
浦东新区,上海市洋泾中学东校,上海市洋泾中学东校,exact
浦东新区,上海市上南中学东校,上海市上南中学东校,exact
浦东新区,上海市上南中学东校,上海市上南中学东校,exact
浦东新区,上海市上南中学东校,上海市上南中学东校,exact
浦东新区,上海市上南中学东校,上海市上南中学东校,exact
浦东新区,上海市上南中学东校,上海市上南中学东校,exact
浦东新区,上海市上南中学东校,上海市上南中学东校,exact
浦东新区,上海市上南中学东校,上海市上南中学东校,exact
浦东新区,上海市上南中学东校,上海市上南中学东校,exact
浦东新区,上海市上南中学东校,上海市上南中学东校,exact
浦东新区,上海市上南中学北校,上海市上南中学北校,exact
浦东新区,上海市上南中学北校,上海市上南中学北校,exact
浦东新区,上海市上南中学北校,上海市上南中学北校,exact
浦东新区,上海市上南中学北校,上海市上南中学北校,exact
浦东新区,上海市上南中学北校,上海市上南中学北校,exact
浦东新区,上海市上南中学北校,上海市上南中学北校,exact
浦东新区,上海市上南中学北校,上海市上南中学北校,exact
浦东新区,上海市三林中学北校,上海市三林中学北校,exact
浦东新区,上海市三林中学北校,上海市三林中学北校,exact
浦东新区,上海市三林中学北校,上海市三林中学北校,exact
浦东新区,上海市三林中学北校,上海市三林中学北校,exact
浦东新区,上海市三林中学北校,上海市三林中学北校,exact
浦东新区,上海市三林中学北校,上海市三林中学北校,exact
浦东新区,上海市三林中学北校,上海市三林中学北校,exact
浦东新区,上海市洪山中学,上海市洪山中学,exact
浦东新区,上海市洪山中学,上海市洪山中学,exact
浦东新区,上海市洪山中学,上海市洪山中学,exact
浦东新区,上海市洪山中学,上海市洪山中学,exact
浦东新区,上海市洪山中学,上海市洪山中学,exact
浦东新区,上海市洪山中学,上海市洪山中学,exact
浦东新区,上海市洪山中学,上海市洪山中学,exact
浦东新区,上海市洪山中学,上海市洪山中学,exact
浦东新区,上海市洪山中学,上海市洪山中学,exact
浦东新区,上海市上南中学南校,上海市上南中学南校,exact
浦东新区,上海市上南中学南校,上海市上南中学南校,exact
浦东新区,上海市上南中学南校,上海市上南中学南校,exact
浦东新区,上海市上南中学南校,上海市上南中学南校,exact
浦东新区,上海市上南中学南校,上海市上南中学南校,exact
浦东新区,上海市上南中学南校,上海市上南中学南校,exact
浦东新区,上海市上南中学南校,上海市上南中学南校,exact
浦东新区,上海市上南中学南校,上海市上南中学南校,exact
浦东新区,上海市清流中学,上海市清流中学,exact
浦东新区,上海市清流中学,上海市清流中学,exact
浦东新区,上海市清流中学,上海市清流中学,exact
浦东新区,上海市清流中学,上海市清流中学,exact
浦东新区,上海市清流中学,上海市清流中学,exact
浦东新区,上海市清流中学,上海市清流中学,exact
浦东新区,上海市清流中学,上海市清流中学,exact
浦东新区,上海市浦泾中学,上海市浦泾中学,exact
浦东新区,上海市浦泾中学,上海市浦泾中学,exact
浦东新区,上海市浦泾中学,上海市浦泾中学,exact
浦东新区,上海市浦泾中学,上海市浦泾中学,exact
浦东新区,上海市浦泾中学,上海市浦泾中学,exact
浦东新区,上海市浦泾中学,上海市浦泾中学,exact
浦东新区,上海市浦泾中学,上海市浦泾中学,exact
浦东新区,上海市浦泾中学,上海市浦泾中学,exact
浦东新区,上海市浦泾中学,上海市浦泾中学,exact
浦东新区,上海交通大学附属浦东实验中学,上海交通大学附属浦东实验中学,exact
浦东新区,上海交通大学附属浦东实验中学,上海交通大学附属浦东实验中学,exact
浦东新区,上海交通大学附属浦东实验中学,上海交通大学附属浦东实验中学,exact
浦东新区,上海交通大学附属浦东实验中学,上海交通大学附属浦东实验中学,exact
浦东新区,上海交通大学附属浦东实验中学,上海交通大学附属浦东实验中学,exact
浦东新区,上海交通大学附属浦东实验中学,上海交通大学附属浦东实验中学,exact
浦东新区,上海交通大学附属浦东实验中学,上海交通大学附属浦东实验中学,exact
浦东新区,上海交通大学附属浦东实验中学,上海交通大学附属浦东实验中学,exact
浦东新区,上海市浦东新区教育学院附属实验中学,上海市浦东新区教育学院附属实验中学,exact
浦东新区,上海市浦东新区教育学院附属实验中学,上海市浦东新区教育学院附属实验中学,exact
浦东新区,上海市浦东新区教育学院附属实验中学,上海市浦东新区教育学院附属实验中学,exact
浦东新区,上海市浦东新区教育学院附属实验中学,上海市浦东新区教育学院附属实验中学,exact
浦东新区,上海市浦东新区教育学院附属实验中学,上海市浦东新区教育学院附属实验中学,exact
浦东新区,上海市浦东新区教育学院附属实验中学,上海市浦东新区教育学院附属实验中学,exact
浦东新区,上海市洋泾中学南校,上海市洋泾中学南校,exact
浦东新区,上海市洋泾中学南校,上海市洋泾中学南校,exact
浦东新区,上海市洋泾中学南校,上海市洋泾中学南校,exact
浦东新区,上海市洋泾中学南校,上海市洋泾中学南校,exact
浦东新区,上海市洋泾中学南校,上海市洋泾中学南校,exact
浦东新区,上海市洋泾中学南校,上海市洋泾中学南校,exact
浦东新区,上海市洋泾中学南校,上海市洋泾中学南校,exact
浦东新区,上海市洋泾中学南校,上海市洋泾中学南校,exact
浦东新区,上海市东昌东校,上海市东昌东校,exact
浦东新区,上海市东昌东校,上海市东昌东校,exact
浦东新区,上海市东昌东校,上海市东昌东校,exact
浦东新区,上海市东昌东校,上海市东昌东校,exact
浦东新区,上海市东昌东校,上海市东昌东校,exact
浦东新区,上海市东昌东校,上海市东昌东校,exact
浦东新区,上海市东昌东校,上海市东昌东校,exact
浦东新区,上海市东昌东校,上海市东昌东校,exact
浦东新区,上海市罗山中学,上海市罗山中学,exact
浦东新区,上海市罗山中学,上海市罗山中学,exact
浦东新区,上海市罗山中学,上海市罗山中学,exact
浦东新区,上海市罗山中学,上海市罗山中学,exact
浦东新区,上海市罗山中学,上海市罗山中学,exact
浦东新区,上海市罗山中学,上海市罗山中学,exact
浦东新区,上海市罗山中学,上海市罗山中学,exact
浦东新区,上海市金杨中学,上海市金杨中学,exact
浦东新区,上海市金杨中学,上海市金杨中学,exact
浦东新区,上海市金杨中学,上海市金杨中学,exact
浦东新区,上海市金杨中学,上海市金杨中学,exact
浦东新区,上海市金杨中学,上海市金杨中学,exact
浦东新区,上海市金杨中学,上海市金杨中学,exact
浦东新区,上海市金川中学,,unmatched
浦东新区,上海市金川中学,,unmatched
浦东新区,上海市金川中学,,unmatched
浦东新区,上海市金川中学,,unmatched
浦东新区,上海市金川中学,,unmatched
浦东新区,上海市金川中学,,unmatched
浦东新区,上海市金川中学,,unmatched
浦东新区,上海市金川中学,,unmatched
浦东新区,上海市华林中学,上海市华林中学,exact
浦东新区,上海市华林中学,上海市华林中学,exact
浦东新区,上海市华林中学,上海市华林中学,exact
浦东新区,上海市华林中学,上海市华林中学,exact
浦东新区,上海市华林中学,上海市华林中学,exact
浦东新区,上海市华林中学,上海市华林中学,exact
浦东新区,上海市华林中学,上海市华林中学,exact
浦东新区,上海市华林中学,上海市华林中学,exact
浦东新区,上海市华林中学,上海市华林中学,exact
浦东新区,上海市孙桥中学,上海市孙桥中学,exact
浦东新区,上海市孙桥中学,上海市孙桥中学,exact
浦东新区,上海市孙桥中学,上海市孙桥中学,exact
浦东新区,上海市孙桥中学,上海市孙桥中学,exact
浦东新区,上海市孙桥中学,上海市孙桥中学,exact
浦东新区,上海市孙桥中学,上海市孙桥中学,exact
浦东新区,上海市孙桥中学,上海市孙桥中学,exact
浦东新区,上海市育人中学,上海市育人中学,exact
浦东新区,上海市育人中学,上海市育人中学,exact
浦东新区,上海市育人中学,上海市育人中学,exact
浦东新区,上海市育人中学,上海市育人中学,exact
浦东新区,上海市育人中学,上海市育人中学,exact
浦东新区,上海市育人中学,上海市育人中学,exact
浦东新区,上海市育人中学,上海市育人中学,exact
浦东新区,上海市育人中学,上海市育人中学,exact
浦东新区,上海市东林中学,上海市东林中学,exact
浦东新区,上海市东林中学,上海市东林中学,exact
浦东新区,上海市东林中学,上海市东林中学,exact
浦东新区,上海市东林中学,上海市东林中学,exact
浦东新区,上海市东林中学,上海市东林中学,exact
浦东新区,上海市东林中学,上海市东林中学,exact
浦东新区,上海市东林中学,上海市东林中学,exact
浦东新区,上海市东林中学,上海市东林中学,exact
浦东新区,上海市东林中学,上海市东林中学,exact
浦东新区,上海市施湾中学,上海市施湾中学,exact
浦东新区,上海市施湾中学,上海市施湾中学,exact
浦东新区,上海市施湾中学,上海市施湾中学,exact
浦东新区,上海市施湾中学,上海市施湾中学,exact
浦东新区,上海市施湾中学,上海市施湾中学,exact
浦东新区,上海市施湾中学,上海市施湾中学,exact
浦东新区,上海市施湾中学,上海市施湾中学,exact
浦东新区,上海市施湾中学,上海市施湾中学,exact
浦东新区,上海市黄楼中学,上海市黄楼中学,exact
浦东新区,上海市黄楼中学,上海市黄楼中学,exact
浦东新区,上海市黄楼中学,上海市黄楼中学,exact
浦东新区,上海市黄楼中学,上海市黄楼中学,exact
浦东新区,上海市黄楼中学,上海市黄楼中学,exact
浦东新区,上海市黄楼中学,上海市黄楼中学,exact
浦东新区,上海市黄楼中学,上海市黄楼中学,exact
浦东新区,上海市王港中学,上海市王港中学,exact
浦东新区,上海市王港中学,上海市王港中学,exact
浦东新区,上海市王港中学,上海市王港中学,exact
浦东新区,上海市王港中学,上海市王港中学,exact
浦东新区,上海市王港中学,上海市王港中学,exact
浦东新区,上海市王港中学,上海市王港中学,exact
浦东新区,上海市王港中学,上海市王港中学,exact
浦东新区,上海市王港中学,上海市王港中学,exact
浦东新区,上海市王港中学,上海市王港中学,exact
浦东新区,上海市杨园中学,上海市杨园中学,exact
浦东新区,上海市杨园中学,上海市杨园中学,exact
浦东新区,上海市杨园中学,上海市杨园中学,exact
浦东新区,上海市杨园中学,上海市杨园中学,exact
浦东新区,上海市杨园中学,上海市杨园中学,exact
浦东新区,上海市杨园中学,上海市杨园中学,exact
浦东新区,上海市杨园中学,上海市杨园中学,exact
浦东新区,上海市杨园中学,上海市杨园中学,exact
浦东新区,上海市杨园中学,上海市杨园中学,exact
浦东新区,上海市东沟中学,上海市东沟中学,exact
浦东新区,上海市东沟中学,上海市东沟中学,exact
浦东新区,上海市东沟中学,上海市东沟中学,exact
浦东新区,上海市东沟中学,上海市东沟中学,exact
浦东新区,上海市东沟中学,上海市东沟中学,exact
浦东新区,上海市东沟中学,上海市东沟中学,exact
浦东新区,上海师范大学附属高桥实验中学,上海师范大学附属高桥实验中学,exact
浦东新区,上海师范大学附属高桥实验中学,上海师范大学附属高桥实验中学,exact
浦东新区,上海师范大学附属高桥实验中学,上海师范大学附属高桥实验中学,exact
浦东新区,上海师范大学附属高桥实验中学,上海师范大学附属高桥实验中学,exact
浦东新区,上海师范大学附属高桥实验中学,上海师范大学附属高桥实验中学,exact
浦东新区,上海师范大学附属高桥实验中学,上海师范大学附属高桥实验中学,exact
浦东新区,上海师范大学附属高桥实验中学,上海师范大学附属高桥实验中学,exact
浦东新区,上海师范大学附属高桥实验中学,上海师范大学附属高桥实验中学,exact
浦东新区,上海师范大学附属高桥实验中学,上海师范大学附属高桥实验中学,exact
浦东新区,上海市凌桥中学,上海市凌桥中学,exact
浦东新区,上海市凌桥中学,上海市凌桥中学,exact
浦东新区,上海市凌桥中学,上海市凌桥中学,exact
浦东新区,上海市凌桥中学,上海市凌桥中学,exact
浦东新区,上海市凌桥中学,上海市凌桥中学,exact
浦东新区,上海市凌桥中学,上海市凌桥中学,exact
浦东新区,上海市凌桥中学,上海市凌桥中学,exact
浦东新区,上海市凌桥中学,上海市凌桥中学,exact
浦东新区,上海市凌桥中学,上海市凌桥中学,exact
浦东新区,上海市顾路中学,上海市顾路中学,exact
浦东新区,上海市顾路中学,上海市顾路中学,exact
浦东新区,上海市顾路中学,上海市顾路中学,exact
浦东新区,上海市顾路中学,上海市顾路中学,exact
浦东新区,上海市顾路中学,上海市顾路中学,exact
浦东新区,上海市顾路中学,上海市顾路中学,exact
浦东新区,上海市顾路中学,上海市顾路中学,exact
浦东新区,上海市浦东模范中学,上海市浦东模范中学,exact
浦东新区,上海市浦东模范中学,上海市浦东模范中学,exact
浦东新区,上海市浦东模范中学,上海市浦东模范中学,exact
浦东新区,上海市浦东模范中学,上海市浦东模范中学,exact
浦东新区,上海市浦东模范中学,上海市浦东模范中学,exact
浦东新区,上海市浦东模范中学,上海市浦东模范中学,exact
浦东新区,上海市浦东模范中学,上海市浦东模范中学,exact
浦东新区,上海市浦东模范中学,上海市浦东模范中学,exact
浦东新区,上海市川沙中学华夏西校,上海市川沙中学华夏西校,exact
浦东新区,上海市川沙中学华夏西校,上海市川沙中学华夏西校,exact
浦东新区,上海市川沙中学华夏西校,上海市川沙中学华夏西校,exact
浦东新区,上海市川沙中学华夏西校,上海市川沙中学华夏西校,exact
浦东新区,上海市川沙中学华夏西校,上海市川沙中学华夏西校,exact
浦东新区,上海市川沙中学华夏西校,上海市川沙中学华夏西校,exact
浦东新区,上海市川沙中学华夏西校,上海市川沙中学华夏西校,exact
浦东新区,上海市川沙中学华夏西校,上海市川沙中学华夏西校,exact
浦东新区,上海市川沙中学华夏西校,上海市川沙中学华夏西校,exact
浦东新区,上海市陆行中学北校,上海市陆行中学北校,exact
浦东新区,上海市陆行中学北校,上海市陆行中学北校,exact
浦东新区,上海市陆行中学北校,上海市陆行中学北校,exact
浦东新区,上海市陆行中学北校,上海市陆行中学北校,exact
浦东新区,上海市陆行中学北校,上海市陆行中学北校,exact
浦东新区,上海市陆行中学北校,上海市陆行中学北校,exact
浦东新区,上海市陆行中学北校,上海市陆行中学北校,exact
浦东新区,上海市陆行中学北校,上海市陆行中学北校,exact
浦东新区,上海市致远中学,上海市致远中学,exact
浦东新区,上海市致远中学,上海市致远中学,exact
浦东新区,上海市致远中学,上海市致远中学,exact
浦东新区,上海市致远中学,上海市致远中学,exact
浦东新区,上海市致远中学,上海市致远中学,exact
浦东新区,上海市致远中学,上海市致远中学,exact
浦东新区,上海市致远中学,上海市致远中学,exact
