政策类别,具体内容,数据来源,更新日期
考试总分,750分,沪教委基〔2026〕2号,2026-02-27
考试科目,语文、数学、外语、道德与法治、历史、体育与健身、综合测试（含物理、化学、跨学科案例分析、物理和化学实验操作）,沪教委基〔2026〕2号,2026-02-27
笔试时间,6月20-21日,沪教委基〔2026〕2号,2026-02-27
听说和实验考试时间,5月16-17日,沪教委基〔2026〕2号,2026-02-27
体育测试时间,4-5月,沪教委基〔2026〕2号,2026-02-27
录取批次,自主招生录取、名额分配综合评价录取、统一招生录取,沪教委基〔2026〕2号,2026-02-27
志愿填报时间,学业考试后、成绩公布前,沪教委基〔2026〕2号,2026-02-27
市实验性示范性高中自主招生比例,约10%,沪教委基〔2026〕2号,2026-02-27
市特色普通高中自主招生比例,不超过15%,沪教委基〔2026〕2号,2026-02-27
探索拔尖创新人才培养基地学校自主招生比例,约30%,沪教委基〔2026〕2号,2026-02-27
自主招生志愿数量,可填报2个志愿,沪教委基〔2026〕2号,2026-02-27
优秀体育学生、艺术骨干学生自主招生计划占比,不低于全市市实验性示范性高中、市特色普通高中自主招生计划总数的15%,沪教委基〔2026〕2号,2026-02-27
中本贯通志愿数量,可填报2个平行志愿,沪教委基〔2026〕2号,2026-02-27
五年一贯制和中高职贯通志愿数量,合计可填报5个平行志愿,沪教委基〔2026〕2号,2026-02-27
中职校提前招生志愿数量,可填报3个平行志愿,沪教委基〔2026〕2号,2026-02-27
名额分配综合评价录取批次占比,市实验性示范性高中约65%,沪教委基〔2026〕2号,2026-02-27
名额分配到区志愿数量,可填报1个志愿,沪教委基〔2026〕2号,2026-02-27
名额分配到校志愿数量,可填报2个志愿,沪教委基〔2026〕2号,2026-02-27
名额分配到校资格,限不选择生源初中在籍在读满3年的初三学生填报,沪教委基〔2026〕2号,2026-02-27
委属市实验性示范性高中到区计划比例,约占本校该批次招生计划的80%,沪教委基〔2026〕2号,2026-02-27
区属市实验性示范性高中到区计划比例,约占本校该批次招生计划的30%,沪教委基〔2026〕2号,2026-02-27
区属市实验性示范性高中到区计划分配到外区比例,90%-95%,沪教委基〔2026〕2号,2026-02-27
委属市实验性示范性高中到校计划比例,约占本校该批次计划的20%,沪教委基〔2026〕2号,2026-02-27
区属市实验性示范性高中到校计划比例,约占本校该批次招生计划的70%,沪教委基〔2026〕2号,2026-02-27
综合素质评价赋分,合格即赋50分,沪教委基〔2026〕2号,2026-02-27
统一招生录取志愿,1至15志愿和征求志愿,沪教委基〔2026〕2号,2026-02-27
普通高中班级学额,一般控制在45人以内,沪教委基〔2026〕2号,2026-02-27
随迁子女招生计划占比,五年一贯制和中高职贯通招生计划中约占总量的25%,沪教委基〔2026〕2号,2026-02-27
中职校提前招生计划占比,一般不超过本校当年招生总计划的25%,沪教委基〔2026〕2号,2026-02-27
