学校类型,招生类型,计划比例,备注,来源
市实验性示范性高中,自主招生,约10%,,沪教委基〔2026〕2号
市特色普通高中,自主招生,不超过15%,,沪教委基〔2026〕2号
探索建立拔尖创新人才培养基地项目学校,自主招生,约30%,,沪教委基〔2026〕2号
市实验性示范性高中/市特色普通高中,优秀体育学生/艺术骨干学生自主招生,不低于自主招生总数15%,市级统筹下达,沪教委基〔2026〕2号
市实验性示范性高中,名额分配综合评价录取,约65%,未完成计划调至统一招生,沪教委基〔2026〕2号
委属市实验性示范性高中,名额分配到区,约80%该批次计划,,沪教委基〔2026〕2号
委属市实验性示范性高中,名额分配到校,约20%该批次计划,各区自行制定分配方案,沪教委基〔2026〕2号
区属市实验性示范性高中,名额分配到区,约30%该批次计划,90%-95%分配到外区,沪教委基〔2026〕2号
区属市实验性示范性高中,名额分配到校,约70%该批次计划,分配到每所不选择生源初中,沪教委基〔2026〕2号
中职校,提前招生,一般不超过25%总计划,,沪教委基〔2026〕2号
五年一贯制/中高职贯通,招收随迁子女,约25%总量,,沪教委基〔2026〕2号
民办普通高中国际课程班,非上海生源,不超过50%国际课程班计划,,沪教委基〔2026〕2号
