时间节点,事项,适用对象,文件来源,更新日期
2026-01-19,应届生网上报名开始,本市在校应届初三学生,沪教委基〔2025〕31号,2026-01-12
2026-01-30 12:00,应届生网上报名截止,本市在校应届初三学生,沪教委基〔2025〕31号,2026-01-12
2026-02-25 10:00,往届生和返沪生网上报名开始,往届初中毕业生、返沪参加中招的外省市初中毕业生,沪教委基〔2025〕31号,2026-01-12
2026-02-27 12:00,往届生和返沪生网上报名截止,往届初中毕业生、返沪参加中招的外省市初中毕业生,沪教委基〔2025〕31号,2026-01-12
2026-03-01,往届生和返沪生现场确认报名信息开始,往届初中毕业生、返沪参加中招的外省市初中毕业生,沪教委基〔2025〕31号,2026-01-12
2026-03-02,往届生和返沪生现场确认报名信息截止,往届初中毕业生、返沪参加中招的外省市初中毕业生,沪教委基〔2025〕31号,2026-01-12
2026-03-13,随班就读残疾学生申请特殊教育学校报名评估截止,本市初中学校随班就读应届初三残疾学生,沪教委基〔2025〕31号,2026-01-12
2026-03-31前,特定学校招生方案报备,上海外国语大学附属外国语学校等特定学校,沪教委基〔2026〕2号,2026-02-27
2026-04-17,特殊教育学校学生报名和信息确认开始,特殊教育学校应届初三残疾学生,沪教委基〔2025〕31号,2026-01-12
2026-04-18,特殊教育学校学生报名和信息确认截止,特殊教育学校应届初三残疾学生,沪教委基〔2025〕31号,2026-01-12
2026-05-06,补报名开始,符合条件但未在统一报名时取得有效证明材料的学生,沪教委基〔2025〕31号,2026-01-12
2026-05-07,补报名截止,符合条件但未在统一报名时取得有效证明材料的学生,沪教委基〔2025〕31号,2026-01-12
2026-05-07,政策性照顾申请材料有效期截止,政策性照顾对象,沪教委基〔2025〕31号,2026-01-12
2026-05-16,外语听说测试、物理和化学实验操作考试开始,所有中招报名学生,沪教委基〔2026〕2号,2026-02-27
2026-05-17,外语听说测试、物理和化学实验操作考试结束,所有中招报名学生,沪教委基〔2026〕2号,2026-02-27
2026-05-31,政策性照顾申请截止,政策性照顾对象,沪教委基〔2026〕2号,2026-02-27
2026-05-31前,特定学校直升录取学生名单报送,上海外国语大学附属外国语学校等特定学校,沪教委基〔2026〕2号,2026-02-27
2026-06-20,初中学业水平考试笔试开始,所有中招报名学生,沪教委基〔2026〕2号,2026-02-27
2026-06-21,初中学业水平考试笔试结束,所有中招报名学生,沪教委基〔2026〕2号,2026-02-27
2026-08-31前,特定学校录取学生名单报送,上海音乐学院附属中等音乐专科学校等学校,沪教委基〔2026〕2号,2026-02-27
2025-12-02,应届生报名材料核查开始,本市应届初三学生,沪教委基〔2025〕31号,2025-11-26
2026-01-30,应届生报名材料核查截止,本市应届初三学生,沪教委基〔2025〕31号,2025-11-26
2025-12-31,《2026年上海中考中招指南》出版,学生、家长购买,上海招考热线,2025-12-29
