日期,事项,对象,来源文件,备注
2025-12-02至2026-01-30,报名材料核查,本市应届初三学生,沪教委基〔2025〕31号,学籍学校组织
2026-01-19 10:00至2026-01-30 12:00,网上报名及信息确认,本市应届初三学生,沪教委基〔2025〕31号,学籍学校统一组织
2026-01-19至2026-01-30,网上报名及信息确认,随迁子女应届生,沪教委职〔2025〕27号,中职校自主招生
2026-02-25 10:00至2026-02-27 12:00,网上报名,往届生和返沪生,沪教委基〔2025〕31号,个别报名
2026-03-01至2026-03-02,现场确认,往届生和返沪生,沪教委基〔2025〕31号,前往区招考机构
2026-03-13前,提出特殊教育学校报名申请,随班就读残疾学生,沪教委基〔2025〕31号,向所在学校提出
2026-03月底前,制定持外国护照学生招生办法,各区教育局,沪教委基〔2026〕2号,报市教育考试院备案
2026-03月底前,特定学校招生方案备案,特定学校,沪教委基〔2026〕2号,报市教委和市教育考试院
2026-04-03前,报送残疾学生评估结果,各区教育局,沪教委基〔2025〕31号,报市特殊学生教育评估中心
2026-04-10前,反馈特殊教育招生汇总信息,市特殊学生教育评估中心,沪教委基〔2025〕31号,向市教育考试院反馈
2026-04-17至2026-04-18,网上报名及现场确认,特殊教育学校学生,沪教委基〔2025〕31号,含通过评估的随班就读残疾学生
2026-04至05月,体育与健身统一测试,全体考生,沪教委基〔2026〕2号,具体安排另行发布
2026-05-06至2026-05-07,补报名,符合条件的学生,沪教委基〔2025〕31号,持有效证明材料向区招考机构申请
2026-05-07前,居住证及积分须有效,非本市户口学生,沪教委基〔2025〕31号,各类证明材料有效期要求
2026-05-16至2026-05-17,外语听说测试/物理化学实验操作考试,全体考生,沪教委基〔2026〕2号,统一考试
2026-05-31,政策性照顾申请截止,符合条件的学生,沪教委基〔2026〕2号,具体要求另行通知
2026-05月底前,报送直升录取学生名单,特定学校,沪教委基〔2026〕2号,报市教育考试院和所在区招考机构
2026-06-20至2026-06-21,笔试科目考试,全体考生,沪教委基〔2026〕2号,语文/数学/外语/道德与法治/历史/综合测试
2026-08月底前,报送录取学生名单,特定艺术体育学校,沪教委基〔2026〕2号,报市教育考试院
