日期,事项,对象,详情,来源,链接
2026-01-19,网上报名开始,应届初三学生,10:00开始,上海招考热线,https://www.shmeea.edu.cn/page/03300/20260112/20005.html
2026-01-30,应届生网上报名截止,应届初三学生,12:00截止,上海招考热线,https://www.shmeea.edu.cn/page/03300/20260112/20005.html
2026-02-25,往届生/返沪生网上报名开始,往届生/返沪生,10:00开始,上海招考热线,https://www.shmeea.edu.cn/page/03300/20260112/20005.html
2026-02-27,往届生/返沪生网上报名截止,往届生/返沪生,12:00截止,上海招考热线,https://www.shmeea.edu.cn/page/03300/20260112/20005.html
2026-03-01,现场确认开始,往届生/返沪生,前往区招考机构确认,上海招考热线,https://www.shmeea.edu.cn/page/03300/20260112/20005.html
2026-03-02,现场确认结束,往届生/返沪生,区招考机构确认,上海招考热线,https://www.shmeea.edu.cn/page/03300/20260112/20005.html
2026-03-13,特殊教育学校申请截止,随班就读应届初三残疾学生,向所在学校提出申请,上海招考热线,https://www.shmeea.edu.cn/page/03300/20260112/20005.html
2026-04-17,特殊教育学校报名开始,残疾学生,特殊教育学校学生报名和信息确认,上海招考热线,https://www.shmeea.edu.cn/page/03300/20260112/20005.html
2026-04-18,特殊教育学校报名结束,残疾学生,特殊教育学校学生报名和信息确认,上海招考热线,https://www.shmeea.edu.cn/page/03300/20260112/20005.html
2026-05-06,补报名开始,补报名学生,最迟5月7日前提出申请,上海招考热线,https://www.shmeea.edu.cn/page/03300/20260112/20005.html
2026-05-07,补报名截止,补报名学生,持有效证明材料向区招考机构提出申请,上海招考热线,https://www.shmeea.edu.cn/page/03300/20260112/20005.html
